"Daily Weather Observations for Aireys Inlet, Victoria for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW3001.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Aireys Inlet {station 090180}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.5","31.2","0","","","WNW","35","11:52","19.0","83","","NE","4","","26.3","55","","SE","11",""
"","2016-03-2","18.1","26.4","0","","","SSW","50","15:52","21.9","52","","S","4","","22.5","70","","SSW","24",""
"","2016-03-3","15.6","23.3","0","","","SSE","24","11:50","17.6","68","","SSE","13","","22.0","57","","S","13",""
"","2016-03-4","15.3","25.6","0","","","SW","30","20:09","18.3","84","","SSW","4","","23.9","66","","SSW","13",""
"","2016-03-5","18.2","22.6","0","","","SW","37","00:34","19.1","83","","S","9","","21.6","63","","S","11",""
"","2016-03-6","16.5","21.9","0","","","SSW","30","15:58","18.1","77","","ESE","4","","21.4","66","","S","17",""
"","2016-03-7","16.0","23.4","1.0","","","S","46","10:23","18.6","92","","SSW","15","","22.7","70","","SSW","17",""
"","2016-03-8","17.9","32.8","0","","","N","35","22:58","20.1","90","","ENE","7","","24.8","69","","E","7",""
"","2016-03-9","20.0","23.6","0","","","NW","61","00:04","22.6","70","","SW","13","","23.3","74","","S","13",""
"","2016-03-10","16.9","18.8","2.0","","","SSE","22","23:12","17.3","83","","SSE","6","","17.3","88","","E","7",""
"","2016-03-11","16.5","23.5","9.6","","","SW","26","18:43","18.8","91","","W","4","","22.3","76","","SSE","7",""
"","2016-03-12","18.1","20.5","0","","","SSW","30","16:11","18.3","95","","SSW","13","","19.4","84","","SSW","13",""
"","2016-03-13","16.4","20.8","0.2","","","SSW","26","21:21","17.3","83","","SSW","7","","19.9","74","","S","11",""
"","2016-03-14","15.8","19.4","0.6","","","S","46","21:40","16.3","84","","S","19","","18.4","62","","SSW","24",""
"","2016-03-15","15.7","19.6","0","","","ESE","57","15:38","18.0","81","","ESE","28","","19.2","69","","ESE","30",""
"","2016-03-16","16.5","24.4","0.2","","","E","50","23:22","18.4","75","","ESE","7","","23.5","59","","SSE","7",""
"","2016-03-17","16.9","35.1","0","","","N","54","15:53","24.1","48","","NW","24","","32.4","26","","NNW","17",""
"","2016-03-18","13.4","17.6","19.2","","","SW","85","13:21","13.9","87","","WSW","22","","14.9","68","","WSW","52",""
"","2016-03-19","10.9","17.5","1.6","","","SSW","52","08:07","14.2","57","","SSW","26","","16.3","55","","SW","24",""
"","2016-03-20","12.3","19.8","0.2","","","SSW","33","03:04","15.3","62","","SSE","15","","18.5","49","","SE","11",""
"","2016-03-21","14.8","20.2","0","","","SE","28","09:56","16.7","63","","SE","15","","17.9","63","","SSE","13",""
"","2016-03-22","14.7","20.8","0","","","ENE","24","08:15","17.1","76","","E","11","","20.2","67","","SE","7",""
"","2016-03-23","13.9","25.0","0","","","NW","39","09:37","19.7","44","","NW","24","","21.2","70","","SSW","13",""
"","2016-03-24","16.2","19.3","0","","","S","28","23:47","16.6","79","","SSE","7","","18.1","67","","S","9",""
"","2016-03-25","13.5","22.2","0","","","SSW","31","15:49","14.2","62","","W","17","","20.9","49","","S","13",""
"","2016-03-26","13.8","19.6","0","","","SW","41","15:57","15.6","77","","WSW","9","","19.2","69","","SSW","7",""
"","2016-03-27","12.6","18.0","2.4","","","SSW","35","23:14","13.9","60","","W","7","","17.3","58","","S","9",""
"","2016-03-28","13.9","18.5","0","","","SSW","26","01:41","15.0","50","","SSE","11","","16.9","51","","S","15",""
"","2016-03-29","14.1","19.2","0","","","SSE","31","04:32","14.6","65","","SE","13","","17.5","54","","S","15",""
"","2016-03-30","13.9","20.1","0","","","SW","35","10:19","14.6","53","","WSW","15","","17.7","45","","SSW","11",""
"","2016-03-31","11.5","22.2","0","","","W","35","10:40","14.8","79","","NW","20","","20.5","55","","WNW","15",""
