"Daily Weather Observations for Albion Park, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2001.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Albion Park (Wollongong Airport) {station 068241}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.2","28.2","0","","","NE","41","14:32","22.4","89","8","NNE","4","1022.1","27.6","63","","NE","28","1019.1"
"","2016-03-2","15.8","28.7","0","","","NE","39","13:30","23.2","77","","NNE","9","1020.6","27.7","62","","NE","30","1017.9"
"","2016-03-3","18.3","28.9","0","","","NE","39","16:48","25.0","78","","ENE","11","1020.7","28.4","65","","ENE","26","1018.8"
"","2016-03-4","16.9","29.6","0","","","NNW","46","10:09","25.2","69","","N","22","1021.8","27.4","63","","NE","31","1019.6"
"","2016-03-5","14.8","27.8","0","","","ENE","41","12:02","22.7","78","","N","6","1021.5","27.4","62","","ENE","28","1019.0"
"","2016-03-6","13.6","28.6","0","","","NE","46","13:42","23.2","76","5","W","9","1023.1","27.5","64","","NE","30","1020.4"
"","2016-03-7","16.0","27.9","0","","","NE","31","11:14","23.5","78","","WNW","6","1021.5","27.3","69","","NE","20","1018.6"
"","2016-03-8","17.9","28.4","0","","","NE","39","12:33","24.8","73","","NNW","7","1023.6","26.8","67","","NE","28","1022.2"
"","2016-03-9","21.4","28.8","0","","","ENE","33","12:51","25.9","69","","N","13","1021.2","27.6","68","","ENE","24","1017.5"
"","2016-03-10","18.1","30.0","0","","","ENE","33","12:36","22.7","91",""," ","Calm","1020.3","27.3","70","1","NNW","15","1019.0"
"","2016-03-11","20.3","27.9","0","","","NE","28","12:26","22.5","95","6"," ","Calm","1020.2","24.5","82","8","ENE","11","1018.8"
"","2016-03-12","16.6","28.6","0.4","","","NE","31","16:19","23.0","82","","W","4","1019.6","27.4","67","","NE","19","1018.0"
"","2016-03-13","17.7","28.7","0","","","NE","39","13:24","23.7","80","8","W","7","1020.8","25.9","68","8","NE","24","1017.7"
"","2016-03-14","18.2","29.3","0","","","S","46","12:52","22.4","86","8","W","7","1016.2","25.2","75","8","SSE","19","1015.4"
"","2016-03-15","20.0","26.8","","","","S","43","09:47","22.2","79","","SSW","19","1020.0","25.1","58","1","S","28","1019.1"
"","2016-03-16","17.8","25.7","","","","SSW","39","12:42","21.7","73","","SSW","15","1020.7","24.3","65","7","S","28","1018.5"
"","2016-03-17","17.7","25.8","","","","ENE","28","15:44","20.4","91","","SW","6","1017.3","24.4","69","","NE","17","1012.9"
"","2016-03-18","19.4","27.7","0","","","WSW","61","14:37","22.3","78","","N","13","1002.9","27.0","63","8","NW","22","995.3"
"","2016-03-19","13.9","22.4","1.2","","","W","57","03:52","18.5","45","","NNW","4","1011.1","21.4","40","6","SSE","22","1011.3"
"","2016-03-20","14.6","22.8","0","","","S","56","14:02","17.5","63","","SW","20","1018.3","20.8","61","1","S","37","1017.2"
"","2016-03-21","15.7","21.4","0","","","SW","44","08:29","18.6","68","2","SW","20","1018.6","20.2","66","8","SSW","20","1017.5"
"","2016-03-22","15.4","22.0","0","","","SSW","52","11:22","18.1","69","8","WSW","15","1018.3","19.6","70","8","SSW","26","1016.7"
"","2016-03-23","13.9","24.4","0","","","SW","24","01:09","19.0","70",""," ","Calm","1018.2","23.3","58","","NE","19","1016.5"
"","2016-03-24","12.3","27.5","0","","","NE","28","13:21","20.1","65",""," ","Calm","1020.3","26.7","39","1","NE","24","1018.5"
"","2016-03-25","17.6","25.8","0","","","S","35","16:53","21.3","70","8","NW","11","1018.7","22.9","57","7","SSW","9","1015.8"
"","2016-03-26","13.5","25.7","0.2","","","NE","28","14:14","19.8","84","3"," ","Calm","1018.7","24.9","67","8","ENE","17","1016.2"
"","2016-03-27","18.5","23.4","0","","","E","26","12:44","20.0","99","8","WSW","6","1019.1","22.0","80","8","SE","15","1017.6"
"","2016-03-28","18.0","25.1","0.2","","","E","24","14:50","19.7","83","8","SW","4","1019.4","24.3","69","8","E","9","1016.0"
"","2016-03-29","18.0","22.0","0","","","NW","19","14:47","19.6","89","8","W","9","1018.6","19.7","95","8","WNW","7","1016.5"
"","2016-03-30","16.4","26.6","0","","","WSW","31","11:37","19.8","76","","SW","7","1014.6","23.8","55","7","NE","17","1012.0"
"","2016-03-31","14.7","24.4","0","","","WSW","41","07:22","20.1","54","1","SSW","19","1017.0","23.0","55","4","SSE","19","1016.2"
