"Daily Weather Observations for Albury-Wodonga for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2002.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Albury airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Albury Airport AWS {station 072160}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.7","35.1","0","","","NW","37","12:47","20.8","63","","SE","7","1019.5","33.7","21","","WNW","13","1016.1"
"","2016-03-2","16.8","37.2","0","","","W","31","13:33","23.9","48","8","E","4","1018.1","36.4","10","","WNW","11","1015.9"
"","2016-03-3","16.7","35.0","0","","","NNW","50","16:42","25.3","37","7","ESE","9","1019.4","33.2","24","8","E","7","1016.2"
"","2016-03-4","15.9","37.0","0","","","N","26","14:07","23.0","57","","E","7","1020.0","36.3","22","","S","7","1016.1"
"","2016-03-5","20.3","38.5","0","","","NNE","28","12:49","25.9","50","","SE","4","1019.3","37.5","23","","SW","9","1016.5"
"","2016-03-6","20.5","37.1","0","","","NNE","46","17:24","25.7","54","8","NE","6","1019.8","34.1","29","8","SSE","11","1017.2"
"","2016-03-7","17.4","38.5","0.2","","","NNE","24","10:47","24.8","56","","ESE","6","1019.7","36.5","22","","S","9","1016.7"
"","2016-03-8","20.1","38.3","0","","","NE","30","10:22","25.6","56","","ESE","7","1020.1","37.0","14","","NNW","11","1017.2"
"","2016-03-9","18.7","38.3","0","","","WSW","39","20:12","25.7","49","1","SE","9","1018.9","35.2","24","2","WNW","20","1015.4"
"","2016-03-10","24.6","36.8","0","","","N","41","19:32","26.1","54","8","SE","4","1018.9","35.5","27","5","SE","9","1015.0"
"","2016-03-11","20.0","32.3","0.6","","","W","46","15:08","24.5","70","2","E","9","1017.5","30.6","43","8","NE","20","1015.1"
"","2016-03-12","20.0","34.0","6.6","","","S","28","15:24","23.1","80","8","ESE","7","1019.0","32.5","45","4","E","7","1016.9"
"","2016-03-13","19.4","35.2","0.2","","","W","30","15:26","22.7","71","","SSE","4","1018.6","33.5","26","","W","13","1015.1"
"","2016-03-14","18.0","35.1","0","","","SSW","37","14:36","22.5","59","","SE","7","1016.8","33.8","21","","SW","22","1013.7"
"","2016-03-15","20.4","31.8","0","","","SE","33","09:01","23.2","54","","SE","17","1018.0","30.0","35","","SSE","15","1015.4"
"","2016-03-16","19.2","30.8","0","","","SE","24","00:22","20.8","61","7","SE","7","1019.2","30.1","30","","ENE","11","1015.5"
"","2016-03-17","16.0","31.1","0.4","","","SE","26","13:00","20.5","64","","SE","6","1015.5","28.8","35","","SSE","11","1010.3"
"","2016-03-18","19.8","21.1","10.4","","","W","74","09:54","20.0","98","","N","22","996.0","19.9","55","1","W","37","1000.3"
"","2016-03-19","9.5","21.1","10.4","","","SE","46","21:57","12.9","67","","W","13","1013.7","19.4","38","8","WSW","13","1013.4"
"","2016-03-20","12.7","24.2","0","","","SSE","31","20:47","15.3","50","6","SE","20","1018.2","23.0","29","1","S","17","1016.5"
"","2016-03-21","12.4","25.2","0","","","SSE","35","20:09","16.6","54","","SE","19","1019.7","24.0","34","","SE","19","1016.5"
"","2016-03-22","11.0","26.5","0","","","SW","31","14:54","15.8","67","","S","6","1019.4","24.9","34","","E","9","1015.6"
"","2016-03-23","10.0","27.1","0","","","SW","30","14:21","14.2","81",""," ","Calm","1018.6","25.4","31","","W","13","1017.1"
"","2016-03-24","14.2","25.1","0","","","SSE","20","15:49","17.8","69","5"," ","Calm","1020.3","24.3","47","6","SSE","13","1017.8"
"","2016-03-25","15.5","28.4","0.2","","","W","35","16:49","16.6","85","2"," ","Calm","1018.7","26.9","39","1","W","22","1015.9"
"","2016-03-26","8.9","26.4","0","","","WSW","30","16:25","13.4","72",""," ","Calm","1018.4","25.3","32","","WSW","11","1016.3"
"","2016-03-27","10.0","27.4","0","","","NE","28","10:46","14.5","75","","E","2","1018.2","26.2","31","","NNW","9","1015.6"
"","2016-03-28","11.7","27.8","0","","","NW","30","14:32","15.3","74","6"," ","Calm","1017.4","26.9","31","","WNW","15","1014.0"
"","2016-03-29","13.8","26.2","0","","","NW","35","12:32","16.0","69","6"," ","Calm","1017.7","25.5","27","","W","11","1014.9"
"","2016-03-30","11.8","20.4","0.8","","","NNE","33","00:15","15.9","71",""," ","Calm","1017.5","17.9","66","6","SE","15","1016.1"
"","2016-03-31","9.5","25.5","0","","","SE","19","12:04","13.0","83","","SE","4","1018.9","23.1","42","","S","11","1016.4"
