"Daily Weather Observations for Applethorpe, Queensland for March 2016"
"Prepared at 13:06 GMT on Thursday 14 April 2016   IDCJDW4140.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from the  Automatic Weather Station at Applethorpe, about 5 km north of Stanthorpe."
"Similar observations are also available from Stanthorpe."
"Observations were drawn from Applethorpe {station 041175}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","16.6","21.4","0","","","ESE","31","08:28","18.1","89","","E","13","1018.9","20.9","79","","ESE","9","1018.1"
"","2016-03-2","16.1","27.0","0.8","","","E","26","17:39","21.2","75","","E","9","1020.9","26.5","53","","ENE","9","1017.9"
"","2016-03-3","17.0","27.4","0","","","E","26","16:24","21.0","73","","ENE","9","1021.3","26.5","47","","E","7","1018.5"
"","2016-03-4","15.6","26.2","0","","","ENE","26","14:12","21.4","66","","ENE","9","1021.0","24.0","53","","E","9","1017.5"
"","2016-03-5","14.3","24.8","0","","","E","26","22:01","18.6","72","","E","9","1021.1","24.5","47","","ESE","9","1018.3"
"","2016-03-6","14.6","25.2","0","","","ENE","31","14:56","20.4","67","","ENE","13","1021.3","24.3","49","","E","13","1018.7"
"","2016-03-7","16.5","24.1","0.2","","","ESE","30","16:49","19.6","79","","ENE","11","1021.3","23.1","59","","E","7","1019.0"
"","2016-03-8","13.7","24.4","0","","","ESE","31","14:32","19.5","82","","ESE","13","1020.9","20.5","85","","ESE","15","1019.3"
"","2016-03-9","17.5","26.0","1.2","","","NE","28","12:43","19.2","93","","E","9","1022.2","24.1","58","","ENE","9","1019.1"
"","2016-03-10","11.8","27.4","0","","","ENE","26","17:29","20.0","75","","ENE","7","1021.7","26.9","45","","ENE","9","1018.3"
"","2016-03-11","15.9","26.9","0","","","E","22","16:08","21.3","73","","ENE","9","1020.4","24.9","55","","E","9","1017.3"
"","2016-03-12","16.4","26.8","0","","","E","28","13:37","21.3","67","","E","11","1019.9","25.4","52","","E","9","1017.3"
"","2016-03-13","15.6","26.2","0","","","ESE","31","14:13","20.1","76","","ESE","13","1019.1","25.0","63","","E","11","1016.1"
"","2016-03-14","17.4","27.3","0.2","","","ESE","24","15:22","19.9","81","","ESE","9","1017.0","26.3","54","","ESE","9","1012.7"
"","2016-03-15","16.9","25.7","0","","","ESE","35","08:09","21.8","63","","ESE","9","1015.1","25.1","45","","E","9","1013.1"
"","2016-03-16","16.5","26.2","0","","","E","33","08:39","19.3","82","","ESE","17","1015.1","24.1","61","","E","9","1012.5"
"","2016-03-17","16.2","25.5","0","","","ESE","24","14:56","18.8","80","","ESE","11","1014.3","24.2","56","","ESE","11","1009.8"
"","2016-03-18","12.6","29.5","0","","","W","50","18:33","21.2","74","","N","6","1009.3","27.5","41","","WNW","7","1003.7"
"","2016-03-19","15.9","26.3","5.4","","","WSW","24","14:30","19.7","92","","WSW","7","1008.9","26.0","54","","W","11","1007.2"
"","2016-03-20","14.3","22.5","0","","","E","28","14:56","17.7","83","","E","7","1012.9","19.6","75","","E","13","1010.2"
"","2016-03-21","15.3","22.3","0","","","SSE","41","14:48","16.9","87","","ESE","7","1013.2","15.9","88","","SE","7","1009.5"
"","2016-03-22","12.2","23.4","8.8","","","E","24","16:58","17.1","69","","E","11","1013.6","22.9","50","","ENE","6","1010.2"
"","2016-03-23","11.9","24.3","3.8","","","WSW","24","12:47","18.7","74","","NE","4","1016.9","23.3","36","","SSW","9","1014.1"
"","2016-03-24","12.5","26.3","0.2","","","E","19","16:42","18.2","79","","NNE","6","1021.0","25.6","33","","WSW","6","1017.0"
"","2016-03-25","12.7","26.8","0","","","SW","22","14:57","19.4","70","","NE","4","1019.6","25.0","39","","WSW","11","1015.2"
"","2016-03-26","14.4","25.4","0","","","W","22","13:43","21.2","65","","W","6","1017.4","23.9","56","","NW","7","1013.5"
"","2016-03-27","15.3","23.9","0","","","SW","22","13:13","19.2","80",""," ","Calm","1017.0","15.6","88","","NNE","6","1014.8"
"","2016-03-28","13.9","25.6","13.8","","","NNE","19","13:37","20.0","76","","NE","6","1018.9","19.6","80","","SSW","4","1016.2"
"","2016-03-29","14.9","27.4","2.6","","","WSW","17","13:26","20.1","76","","N","6","1019.4","27.0","39","","W","6","1015.7"
"","2016-03-30","16.7","20.8","0.8","","","WNW","28","10:02","18.9","88","","WNW","6","1017.1","17.0","91","","WSW","9","1014.7"
"","2016-03-31","13.6","23.4","16.8","","","SW","24","11:21","16.5","85","","SW","4","1017.1","21.7","45","","SSW","9","1014.3"
