"Daily Weather Observations for Ararat, Victoria for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW3002.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Ararat Prison {station 089085}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","8.1","31.4","0","","","","","","13.6","84","2","S","11","1017.5","30.0","22","6","SW","15","1016.6"
"","2016-03-2","13.3","35.5","0","","","","","","19.8","50","2","WNW","15","1017.6","34.2","18","3","N","19","1015.7"
"","2016-03-3","13.8","31.3","0","","","","","","16.3","87","6","SE","15","1019.9","29.8","33","1","SSW","15","1017.8"
"","2016-03-4","13.0","36.1","0","","","","","","16.2","78","2","S","13","1017.8","34.5","22","4","S","19","1014.2"
"","2016-03-5","16.0","30.1","0","","","","","","17.8","87","7","SSE","9","1019.0","28.5","37","6","SSE","15","1018.5"
"","2016-03-6","13.5","35.6","0","","","","","","16.8","84","5","SE","11","1019.2","35.5","26","5","SSE","19","1016.3"
"","2016-03-7","16.2","29.0","0.5","","","","","","17.3","82","5","SSE","15","1019.2","26.1","58","4","SSE","11","1018.9"
"","2016-03-8","16.0","38.4","0","","","","","","18.3","89","4","SE","6","1018.3","38.0","16","5","NNE","7","1015.2"
"","2016-03-9","17.8","27.0","0.4","","","","","","21.5","79","7","SE","13","1016.3","25.1","61","7","SE","15","1016.7"
"","2016-03-10","17.2","21.8","4.0","","","","","","18.0","98","8","S","15","1020.4","21.0","86","8","E","15","1018.6"
"","2016-03-11","15.8","29.3","7.2","","","","","","17.7","93","5","NE","9","1017.8","27.8","50","5","SSW","15","1015.8"
"","2016-03-12","16.2","25.1","0","","","","","","17.2","99","8","S","7","1019.9","22.3","74","8","SE","13","1020.6"
"","2016-03-13","15.6","29.2","0","","","","","","16.0","95","8","S","15","1020.5","27.8","44","4","S","15","1018.4"
"","2016-03-14","15.0","23.1","0","","","","","","16.0","90","6","S","11","1020.5","22.9","53","4","SE","15","1019.9"
"","2016-03-15","12.3","27.0","0","","","","","","14.0","89","3","SE","13","1019.7","26.8","16","3","SE","11","1017.2"
"","2016-03-16","12.0","31.0","0","","","","","","13.8","91","4","SE","15","1017.6","29.0","31","1","NNE","17","1014.9"
"","2016-03-17","13.4","31.3","0","","","","","","21.3","59","4","N","11","1012.6","29.8","36","5","N","11","1007.3"
"","2016-03-18","11.0","16.8","15.5","","","","","","12.0","88","8","SE","15","1000.6","16.8","50","3","SE","15","1005.0"
"","2016-03-19","8.0","16.0","5.4","","","","","","11.5","92","8","SE","13","1015.7","16.0","51","8","SE","15","1017.5"
"","2016-03-20","10.8","20.0","0","","","","","","12.5","72","8","SE","13","1020.8","19.0","47","3","E","15","1019.4"
"","2016-03-21","9.0","23.0","0","","","","","","11.2","92","3","S","15","1021.6","21.4","42","0","E","7","1019.3"
"","2016-03-22","7.8","26.2","0","","","","","","8.7","97","8","S","4","1019.5","24.6","32","1","NE","9","1016.4"
"","2016-03-23","8.3","27.5","0","","","","","","17.4","49","7","E","11","1016.9","26.8","22","7","NNE","19","1016.0"
"","2016-03-24","15.2","24.0","0.4","","","","","","16.2","87","8","S","15","1020.1","22.6","55","6","S","19","1018.8"
"","2016-03-25","12.2","21.2","0","","","","","","12.8","71","6","S","13","1021.3","19.8","43","2","SE","22","1020.3"
"","2016-03-26","9.5","18.2","0","","","","","","14.2","87","5","SW","7","1020.8","17.8","62","6","SW","15","1020.6"
"","2016-03-27","11.5","18.8","0","","","","","","12.8","68","3","SW","19","1021.8","18.0","47","4","SE","22","1020.1"
"","2016-03-28","6.2","17.5","0","","","","","","9.0","87","6","S","11","1020.1","17.0","44","7","S","6","1018.5"
"","2016-03-29","8.6","19.0","0","","","","","","12.0","74","6","S","15","1021.1","18.2","43","5","S","17","1019.5"
"","2016-03-30","11.2","18.8","0","","","","","","12.0","65","7","S","15","1021.4","16.5","41","6","S","9","1020.6"
"","2016-03-31","4.6","21.5","0","","","","","","9.4","72","6","S","13","1020.7","20.0","56","6","SW","17","1018.3"
