"Daily Weather Observations for Armidale, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2004.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the Armidale Tree Group Nursery site in Mann Street, but some from Armidale Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Armidale (Tree Group Nursery) {station 056037}"
"Wind and pressure observations are from Armidale Airport AWS {station 056238}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","12.4","24.7","0","6.0","","E","37","07:45","17.1","81","7","E","20","1018.8","","","","ESE","22","1018.3"
"","2016-03-2","10.5","30.4","0","4.4","","ESE","37","16:36","17.6","67","2","ENE","11","1020.8","","","","S","13","1018.1"
"","2016-03-3","12.1","28.6","0","5.4","","E","35","14:31","17.9","85","2","W","6","1021.3","","","","SE","17","1019.0"
"","2016-03-4","11.9","28.3","0","5.6","","ESE","39","20:19","18.2","77","5","ENE","9","1020.7","","","","SSE","13","1017.6"
"","2016-03-5","11.8","28.5","0","5.4","","E","37","15:10","17.6","85","7","E","11","1020.8","","","","ENE","19","1018.1"
"","2016-03-6","9.9","27.0","0","5.4","","E","41","14:33","17.1","80","1","E","20","1021.3","","","","NNE","13","1019.2"
"","2016-03-7","13.9","28.4","0","4.8","","E","39","15:37","18.6","81","1","ENE","20","1021.3","","","","ESE","19","1018.5"
"","2016-03-8","9.0","27.5","0","5.8","","E","44","14:47","17.0","81","2","ESE","15","1022.1","","","","ESE","26","1019.5"
"","2016-03-9","15.9","29.0","0","5.4","","ENE","35","08:12","20.2","72","2","ENE","24","1022.1","","","","NNE","11","1019.2"
"","2016-03-10","10.6","29.5","0.4","3.6","","ESE","37","16:04","18.5","78","8","WNW","7","1021.2","","","","E","9","1017.9"
"","2016-03-11","13.1","27.6","0","3.8","","ENE","26","23:51","18.3","80","7","ENE","13","1020.3","","","","WNW","13","1017.3"
"","2016-03-12","12.4","28.9","0","3.4","","SE","35","12:16","18.1","85","1","ENE","17","1019.9","","","","ESE","20","1017.7"
"","2016-03-13","9.7","29.0","0","5.8","","E","37","17:23","17.0","78","1","ENE","17","1019.3","","","","NNE","13","1016.5"
"","2016-03-14","11.3","28.9","0","5.0","","SE","43","14:08","18.5","82","1","W","9","1016.8","","","","NE","9","1012.8"
"","2016-03-15","15.4","25.0","2.8","2.4","","E","39","11:14","17.6","94","7","ESE","20","1015.9","","","","SE","24","1014.4"
"","2016-03-16","14.2","24.9","0","4.0","","ESE","35","17:06","16.6","88","8","ESE","19","1016.0","","","","ESE","19","1013.8"
"","2016-03-17","14.4","24.5","0","3.2","","E","35","00:28","16.2","88","7","E","19","1014.4","","","","S","11","1010.4"
"","2016-03-18","10.1","26.8","0","3.0","","W","56","13:52","20.1","69","1","NW","22","1007.6","","","","WNW","35","1004.0"
"","2016-03-19","13.5","25.4","3.4","3.6","","E","41","22:02","14.9","79","8","WNW","13","1008.1","","","","W","19","1006.8"
"","2016-03-20","13.3","21.5","0","4.8","","E","44","15:56","14.0","83","8","E","30","1012.7","","","","ESE","24","1010.6"
"","2016-03-21","13.2","22.1","0","3.6","","S","67","14:48","14.0","94","8","E","19","1013.3","","","","ENE","15","1009.5"
"","2016-03-22","6.4","22.2","0.2","3.0","","ESE","33","23:57","12.4","89","5","E","15","1013.8","","","","SW","15","1010.7"
"","2016-03-23","3.9","24.6","0","2.8","","NW","41","11:56","9.6","99","7","ENE","13","1016.7","","","","WSW","15","1014.5"
"","2016-03-24","5.9","26.5","0","3.8","","E","31","20:10","13.1","88","1","ENE","6","1020.2","","","","NNW","7","1017.3"
"","2016-03-25","7.7","26.7","0","4.4","","W","43","10:19","14.0","86","2","NW","9","1018.7","","","","W","26","1015.6"
"","2016-03-26","11.3","26.6","0","4.2","","W","39","11:49","16.5","90","5","WNW","4","1016.8","","","","W","15","1013.8"
"","2016-03-27","13.5","26.8","0","4.4","","E","33","15:26","17.1","85","7","ENE","6","1016.4","","","","SSW","9","1013.8"
"","2016-03-28","9.7","27.1","2.6","2.8","","W","35","11:32","14.4","96","2","ENE","7","1017.9","","","","WNW","20","1014.8"
"","2016-03-29","10.3","26.6","0","4.4","","NW","46","13:40","18.2","76","7","NW","20","1018.3","","","","NW","26","1015.2"
"","2016-03-30","12.9","20.0","11.4","4.0","","WSW","39","16:14","14.1","91","7","NNW","9","1016.2","","","","W","22","1013.9"
"","2016-03-31","6.2","22.7","7.2","1.4","","WSW","33","15:23","11.9","95","0","WNW","11","1016.1","","","","WSW","22","1014.3"
