"Daily Weather Observations for Avalon, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3003.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Avalon Airport {station 087113}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.4","34.5","0","","","S","44","17:23","18.2","99","8","N","9","1017.5","30.9","34","","SE","19","1014.4"
"","2016-03-2","13.7","32.9","0","","","SSW","59","16:55","22.2","46","4","WSW","11","1016.6","30.6","32","","S","33","1014.8"
"","2016-03-3","17.0","24.7","0","","","S","35","15:26","19.1","68","1","SE","19","1021.4","23.7","52","","ESE","15","1019.6"
"","2016-03-4","13.8","32.8","0","","","SSW","48","16:43","19.7","88",""," ","Calm","1018.0","30.8","39","","SE","15","1013.6"
"","2016-03-5","18.4","22.0","0","","","SSW","33","02:13","20.2","82","8","S","11","1019.6","21.2","72","8","S","17","1020.4"
"","2016-03-6","15.0","25.3","0","","","S","39","14:19","19.3","84","8","NE","6","1020.5","24.0","63","","S","26","1018.7"
"","2016-03-7","17.2","25.3","0","","","S","46","11:47","19.6","84","8","WSW","11","1020.1","24.2","64","6","S","26","1021.1"
"","2016-03-8","19.1","34.6","0","","","S","39","23:02","21.5","92","8","ESE","7","1019.1","30.2","51","","SE","13","1014.6"
"","2016-03-9","21.5","25.0","0","","","NW","39","00:43","22.8","78","7","WSW","11","1016.3","23.0","77","3","SSW","24","1017.2"
"","2016-03-10","17.6","20.0","0.8","","","SE","30","23:08","18.1","88","8","SSE","11","1021.9","18.8","93","8","ENE","7","1019.6"
"","2016-03-11","18.0","26.2","4.6","","","S","37","16:28","19.9","100","8","SW","6","1017.5","25.0","72","","ESE","17","1015.9"
"","2016-03-12","19.6","22.6","0","","","SSW","33","14:54","19.9","88","8"," ","Calm","1020.3","22.3","75","8","S","17","1020.5"
"","2016-03-13","17.1","23.1","0","","","SSE","31","16:11","18.9","82","8","SSE","9","1021.3","22.3","69","8","SSE","15","1019.2"
"","2016-03-14","17.3","22.5","0.2","","","SSW","44","13:54","18.8","76","8","S","17","1021.2","20.4","54","5","S","30","1021.0"
"","2016-03-15","15.6","25.1","0","","","ESE","70","17:46","19.8","73","8","ESE","44","1020.8","24.7","55","1","ESE","50","1018.4"
"","2016-03-16","13.7","29.0","0","","","ESE","54","23:21","17.7","86",""," ","Calm","1019.1","27.8","46","","ESE","31","1014.6"
"","2016-03-17","16.8","35.6","0","","","NNW","48","16:02","24.7","50","","N","20","1011.4","33.7","26","6","N","26","1005.5"
"","2016-03-18","14.6","20.3","13.8","","","WSW","78","12:22","14.7","93","8","WNW","30","996.1","19.0","52","8","WSW","48","1002.1"
"","2016-03-19","11.3","19.4","0.6","","","SSW","46","17:35","13.4","91","6","W","20","1014.6","18.8","46","7","SSW","31","1017.1"
"","2016-03-20","11.6","21.7","0.2","","","S","39","15:50","15.6","63","","ESE","17","1020.8","20.3","51","","ESE","20","1019.8"
"","2016-03-21","12.8","21.9","0.2","","","S","43","16:30","16.5","73","","SE","19","1022.0","20.8","56","2","SSE","20","1020.4"
"","2016-03-22","14.5","23.6","0","","","ESE","39","01:06","16.3","78","","NE","7","1019.8","22.3","44","","ESE","17","1016.8"
"","2016-03-23","10.3","29.8","0","","","SSW","31","13:46","15.0","84","8","NNE","6","1016.0","25.0","47","8","ESE","20","1015.2"
"","2016-03-24","15.0","19.4","0","","","S","28","14:22","18.0","85","8","SSE","15","1020.9","19.0","70","8","S","19","1019.4"
"","2016-03-25","14.0","22.3","0","","","WSW","35","09:28","16.2","74","8","WSW","17","1021.3","20.2","47","3","SSE","20","1019.6"
"","2016-03-26","13.3","21.0","0","","","W","39","13:39","15.3","91","8","WNW","19","1020.3","19.9","64","8","WSW","20","1019.4"
"","2016-03-27","11.3","19.5","0.6","","","S","39","13:20","14.1","86","8","W","9","1021.9","19.0","54","5","S","28","1020.8"
"","2016-03-28","13.8","19.2","0","","","S","39","14:17","15.9","52","8","S","19","1020.6","17.4","55","6","S","26","1019.0"
"","2016-03-29","14.3","20.3","0","","","S","41","14:25","16.4","65","8","S","26","1021.1","17.6","61","8","S","28","1020.4"
"","2016-03-30","12.0","20.2","0","","","S","37","10:50","14.9","63","8","W","13","1021.0","19.3","43","8","S","26","1020.1"
"","2016-03-31","9.0","23.0","0","","","NW","39","13:55","15.8","75","8","NW","13","1019.8","22.3","50","8","W","15","1017.5"
