"Daily Weather Observations for Badgerys Creek, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2005.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Badgerys Creek AWS {station 067108}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.0","30.6","0","","","ENE","26","16:06","21.4","100","","S","2","1022.0","28.9","50","","NNE","15","1019.2"
"","2016-03-2","15.4","33.5","0","","","ENE","30","16:59","19.8","94","","N","2","1021.4","32.4","38","","ENE","11","1018.0"
"","2016-03-3","18.4","34.5","0","","","E","31","17:04","23.0","87","","NE","4","1021.3","32.7","38","","NNE","11","1018.3"
"","2016-03-4","17.4","31.4","0","","","ENE","30","15:31","23.4","87","","SSE","4","1022.0","30.0","49","","NE","11","1018.9"
"","2016-03-5","15.3","33.0","0","","","E","28","16:59","19.8","98","","ENE","2","1021.7","31.7","32","","NE","11","1018.2"
"","2016-03-6","15.3","32.3","0","","","ENE","30","16:16","21.0","93","","WSW","6","1023.0","31.7","49","","NNE","9","1019.8"
"","2016-03-7","17.2","33.0","0","","","E","28","15:56","21.6","94","","SE","4","1021.4","31.6","43","","ENE","9","1017.8"
"","2016-03-8","17.8","31.5","0","","","ENE","35","15:16","23.9","80","","SSE","2","1023.5","30.2","41","","E","22","1021.3"
"","2016-03-9","19.4","35.5","0","","","NNE","24","14:46","23.7","85","","NNE","4","1021.4","33.6","46","","E","11","1016.8"
"","2016-03-10","19.3","31.9","0","","","ESE","26","12:42","24.1","87","","SW","4","1019.9","31.3","56","","ESE","15","1018.3"
"","2016-03-11","21.4","30.8","0.2","","","SW","26","14:12","23.0","94","","S","4","1019.9","27.8","64","","SW","13","1017.8"
"","2016-03-12","18.9","34.1","0","","","E","30","15:49","23.4","83","","WNW","4","1019.7","33.5","38","","NE","7","1016.7"
"","2016-03-13","19.0","31.3","0","","","E","28","14:26","23.4","81","","E","2","1020.7","30.1","44","","ENE","7","1017.0"
"","2016-03-14","19.4","33.1","0","","","SSE","52","14:08","21.7","96",""," ","Calm","1016.3","28.6","59","","SE","24","1013.2"
"","2016-03-15","20.2","27.3","5.0","","","S","31","18:43","21.1","80","","SSW","11","1019.9","26.8","59","","SE","13","1018.5"
"","2016-03-16","17.8","27.9","1.2","","","SSE","30","11:29","19.2","93","","SW","11","1020.2","26.7","52","","SSE","13","1017.5"
"","2016-03-17","17.9","28.2","4.8","","","E","30","14:51","20.9","94","","SW","6","1017.0","26.9","60","","E","9","1012.1"
"","2016-03-18","16.2","28.9","0","","","WNW","44","14:45","18.9","100","","N","4","1003.3","27.6","65","","N","19","996.4"
"","2016-03-19","11.7","24.8","0.8","","","SE","31","16:30","17.8","51","","SSW","2","1011.0","23.8","31","","S","6","1010.5"
"","2016-03-20","15.3","24.9","0","","","SE","37","16:38","17.0","62","","SW","15","1017.6","21.9","55","","SSE","13","1016.0"
"","2016-03-21","14.8","22.4","1.4","","","ESE","28","16:05","16.4","81","","SW","13","1018.6","19.7","67","","S","17","1016.7"
"","2016-03-22","13.2","25.5","1.4","","","SSW","43","15:59","18.0","68","","SW","22","1017.7","24.9","47","","SSW","19","1015.0"
"","2016-03-23","12.1","28.0","0","","","E","28","16:00","17.4","79","","SW","9","1018.2","26.9","37","","NE","6","1015.8"
"","2016-03-24","12.8","30.1","0","","","E","28","16:47","16.9","94","","SE","4","1020.8","29.2","30","","NNE","13","1018.1"
"","2016-03-25","13.9","26.2","0","","","S","17","20:16","17.8","88",""," ","Calm","1018.9","23.8","55","","NNE","6","1016.2"
"","2016-03-26","14.4","29.0","0","","","ESE","28","15:56","19.0","83","","SW","4","1018.7","28.5","45","","ESE","7","1014.8"
"","2016-03-27","15.1","28.1","0","","","ESE","31","15:50","19.9","98","","NNW","6","1018.2","25.7","60","","E","19","1016.1"
"","2016-03-28","17.5","26.4","1.4","","","ESE","20","16:49","20.0","93","","SW","7","1018.7","25.2","68","","NE","11","1015.1"
"","2016-03-29","18.9","23.6","0","","","SSW","15","11:11","20.4","86","","SSW","4","1017.9","20.3","98","","WNW","6","1016.6"
"","2016-03-30","16.0","27.3","15.2","","","W","24","10:10","19.0","100","","WSW","4","1014.9","24.9","43","","SSW","4","1012.1"
"","2016-03-31","11.4","26.7","0.2","","","ESE","26","14:58","17.3","74","","NNE","2","1017.3","25.6","40","","SE","6","1015.6"
