"Daily Weather Observations for Bairnsdale, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3004.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Bairnsdale Airport {station 085279}"
"Evaporation observations are from Bairnsdale Waterworks {station 084100}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.6","33.1","0","","","S","35","13:14","18.8","90","","NE","9","1017.9","30.6","43","","SSE","26","1014.3"
"","2016-03-2","15.0","35.9","0","","","SSW","35","22:12","22.6","60","","NW","15","1016.8","34.4","25","","E","19","1014.7"
"","2016-03-3","16.7","25.3","0","","","ENE","39","09:46","18.2","83","8","S","6","1022.2","23.8","64","","SSE","20","1019.0"
"","2016-03-4","13.8","30.5","0","","","SW","44","20:15","18.6","96","8","N","9","1019.3","26.2","63","","ESE","22","1015.4"
"","2016-03-5","18.5","27.1","0","","","S","37","13:18","23.2","73","","WSW","11","1018.0","23.9","72","8","SSE","20","1019.3"
"","2016-03-6","16.6","28.2","0","","","SE","31","14:33","21.4","80","1","NW","9","1020.7","25.4","67","","SE","22","1018.3"
"","2016-03-7","17.9","29.0","0","","","SSE","31","13:44","19.6","100","8","W","15","1020.6","26.3","66","","SE","22","1020.2"
"","2016-03-8","19.1","29.4","0.2","","","SE","33","13:04","21.7","91","7","NW","9","1021.7","27.4","62","","SE","20","1018.1"
"","2016-03-9","17.0","33.7","0","","","NW","54","09:10","29.4","34","","WNW","20","1013.9","28.4","55","","S","20","1015.1"
"","2016-03-10","19.0","26.2","1.6","","","SSE","70","22:13","19.7","100","8","ENE","9","1021.8","24.5","77","","ESE","17","1018.6"
"","2016-03-11","18.8","27.8","40.2","","","SW","30","07:25","20.4","100","5","SW","19","1017.0","27.1","68","","E","11","1015.1"
"","2016-03-12","19.7","23.2","0.2","","","S","28","12:37","21.6","100","8","SSE","4","1020.1","22.3","84","8","SSE","17","1020.0"
"","2016-03-13","19.0","23.8","1.2","","","E","52","03:20","19.4","100","8","SE","13","1020.8","22.7","83","8","SE","13","1018.4"
"","2016-03-14","17.2","21.4","0.2","","","S","33","12:49","19.5","100","8","WSW","9","1019.5","19.9","77","8","SSE","20","1019.5"
"","2016-03-15","16.1","20.4","4.6","","","ESE","43","06:02","17.1","100","8","ESE","17","1023.6","19.0","80","8","E","24","1023.0"
"","2016-03-16","16.2","24.9","4.4","","","E","52","16:12","17.7","82","7","NE","13","1021.6","23.6","65","","E","30","1018.2"
"","2016-03-17","12.6","29.1","0","","","E","35","17:06","18.4","92","","E","9","1013.8","28.2","51","","ESE","19","1008.5"
"","2016-03-18","18.2","20.7","4.0","","","WSW","85","15:26","19.9","97","8","E","6","991.7","15.6","92","6","W","31","994.9"
"","2016-03-19","11.0","18.0","20.4","","","WNW","39","01:27","13.7","75","8","WSW","17","1012.5","16.0","63","8","S","22","1015.1"
"","2016-03-20","8.8","18.6","0","","","SSE","26","16:21","11.0","89","8","NW","11","1021.6","15.8","78","8","NE","6","1021.1"
"","2016-03-21","9.5","19.3","0.4","","","SE","41","12:43","14.1","92","2","NW","13","1022.3","17.6","74","8","SSE","17","1021.3"
"","2016-03-22","11.3","21.5","1.8","","","ESE","35","16:27","15.1","100","5","NW","13","1021.3","20.7","59","","ESE","20","1018.2"
"","2016-03-23","7.8","27.6","0","","","W","30","13:34","13.7","100","","NNW","7","1016.6","25.9","38","","W","17","1015.3"
"","2016-03-24","13.5","20.1","0.4","","","SSE","20","16:51","15.6","100","2"," ","Calm","1020.3","19.9","74","7","ENE","6","1019.2"
"","2016-03-25","15.2","21.5","0","","","S","31","15:21","15.7","88","8","W","6","1019.7","19.8","66","8","SW","20","1017.7"
"","2016-03-26","9.9","23.0","0","","","SW","37","15:46","13.9","88","8","NW","13","1019.5","20.7","56","2","SW","24","1017.3"
"","2016-03-27","13.6","18.3","0","","","S","33","13:21","14.8","84","8","NW","9","1021.2","17.5","64","8","S","19","1020.5"
"","2016-03-28","13.1","16.9","0","","","SE","19","14:17","14.1","77","8","NNW","6","1020.8","16.3","59","8","SE","9","1018.6"
"","2016-03-29","13.2","15.6","0","","","SW","20","14:45","13.9","85","8","NNW","9","1021.4","14.7","92","8","S","7","1019.7"
"","2016-03-30","12.6","14.8","4.6","","","SW","46","16:47","12.8","100","8","W","19","1018.1","14.3","100","8","W","20","1017.2"
"","2016-03-31","12.0","22.2","4.2","","","NNW","26","10:55","14.0","85","8","NW","11","1019.7","21.0","53","1","W","13","1017.0"
