"Daily Weather Observations for Ballarat, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3005.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","8.7","30.6","0","","","NW","48","14:14","18.9","64","","N","11","1017.4","29.2","22","","WNW","24","1016.4"
"","2016-03-2","14.6","35.1","0","","","SSW","56","16:31","22.5","29","1","NW","9","1017.8","32.9","15","","NNW","20","1015.8"
"","2016-03-3","14.6","30.3","0.6","","","ESE","50","06:32","15.9","92","1","ESE","31","1019.6","28.2","36","1","SE","13","1018.3"
"","2016-03-4","13.7","35.8","0","","","NNW","57","17:21","23.6","50","1","NNE","28","1017.8","34.3","23","1","NW","20","1015.0"
"","2016-03-5","13.4","30.8","0","","","S","37","14:18","16.2","98","8","SE","17","1019.2","29.9","40","8","S","20","1018.6"
"","2016-03-6","14.8","35.9","0","","","SE","52","13:54","20.1","68","1","SE","13","1019.4","32.5","31","1","SE","37","1017.1"
"","2016-03-7","17.0","26.8","0","","","SE","57","12:02","23.8","65","7","SSE","19","1018.7","23.5","63","","SE","43","1019.6"
"","2016-03-8","15.5","37.9","0","","","N","52","12:40","26.8","48","3","NNE","15","1018.9","36.8","15","","N","30","1016.4"
"","2016-03-9","21.7","27.6","0","","","WSW","39","06:35","21.8","69","8","SE","13","1016.5","25.6","57","4","SSE","22","1017.2"
"","2016-03-10","16.6","19.7","2.0","","","ESE","35","23:08","17.3","100","8","ESE","17","1020.7","19.1","98","7","E","11","1019.0"
"","2016-03-11","14.9","28.7","6.6","","","SE","30","21:18","19.6","93","3"," ","Calm","1017.7","27.0","51","3","W","11","1016.3"
"","2016-03-12","16.2","27.2","0","","","S","35","15:50","17.6","","1","S","7","1019.8","24.9","65","","S","20","1019.7"
"","2016-03-13","15.1","29.6","0","","","SE","39","23:56","16.1","98","6","ESE","24","1020.1","28.4","31","","SW","11","1018.0"
"","2016-03-14","14.4","21.7","0","","","S","54","15:02","15.2","98","7","SSE","26","1020.4","20.6","54","1","SSE","30","1019.5"
"","2016-03-15","12.9","25.7","0","","","SE","61","18:58","15.6","85","6","ESE","35","1019.3","24.5","47","1","ESE","24","1017.5"
"","2016-03-16","12.0","29.9","0","","","SE","52","23:04","19.8","65","","NNE","28","1017.9","27.7","34","","NNE","19","1015.3"
"","2016-03-17","17.7","30.8","0","","","N","48","15:49","21.0","56","","NNE","24","1013.4","28.0","37","","N","31","1007.7"
"","2016-03-18","11.1","15.9","22.0","","","W","72","04:38","11.7","99","8","WSW","24","997.9","14.1","64","7","SW","35","1003.8"
"","2016-03-19","8.2","14.6","4.4","","","S","39","11:26","9.9","100","8","SSW","13","1014.5","13.4","65","8","S","24","1016.8"
"","2016-03-20","9.4","18.8","0","","","SE","41","20:26","11.1","75","8","SSE","20","1019.7","18.3","43","","ESE","20","1018.9"
"","2016-03-21","9.9","20.4","0.2","","","SE","48","20:45","12.3","82","","ESE","24","1020.8","19.1","48","","SE","30","1019.0"
"","2016-03-22","7.3","24.8","0","","","ESE","28","23:12","11.9","96","","NNE","4","1019.1","23.9","31","","NNW","9","1016.3"
"","2016-03-23","11.9","27.4","0","","","WNW","43","12:59","17.5","46","7","NNE","17","1017.0","25.6","22","8","WSW","24","1016.1"
"","2016-03-24","14.5","20.9","0.8","","","ESE","37","02:40","15.1","99","8","ESE","15","1019.9","19.9","66","7","E","9","1018.3"
"","2016-03-25","11.4","19.6","0","","","SSW","37","15:42","11.7","98","8","S","20","1020.8","18.5","44","","SW","19","1019.4"
"","2016-03-26","8.8","16.8","0","","","W","30","10:55","12.1","100","7","SW","13","1020.1","16.3","69","8","SW","17","1019.7"
"","2016-03-27","8.4","18.2","0","","","S","41","12:57","10.3","98","7","S","19","1021.0","16.4","44","","SSE","24","1019.2"
"","2016-03-28","6.7","15.6","0","","","SE","43","11:02","10.5","69","5","SSE","24","1018.8","14.2","59","8","SE","26","1017.8"
"","2016-03-29","9.4","16.6","0","","","SSE","43","23:09","11.9","69","4","S","30","1019.5","14.4","63","8","SSE","30","1018.8"
"","2016-03-30","8.0","17.1","0","","","SSE","37","14:55","11.4","71","8","S","15","1020.5","16.2","41","4","S","17","1019.5"
"","2016-03-31","7.5","20.3","0","","","SSW","50","07:23","12.2","98","8","SW","9","1019.8","18.6","58","6","WSW","9","1017.8"
