"Daily Weather Observations for Bankstown, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2008.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.6","29.8","0.2","","","E","35","15:53","23.5","70","5","SSW","2","1022.1","27.7","42","4","NNE","11","1019.4"
"","2016-03-2","17.4","32.1","0.8","","","NE","35","17:22","22.4","71","","WSW","7","1021.4","31.3","38","","ENE","19","1018.1"
"","2016-03-3","20.0","32.9","0","","","NE","39","17:59","23.3","75","","NNW","6","1021.5","31.5","35","","ENE","22","1018.5"
"","2016-03-4","19.0","30.0","0","","","E","39","13:49","23.9","71","8","N","11","1022.1","29.2","38","","ENE","20","1019.3"
"","2016-03-5","16.8","31.1","0","","","E","33","14:18","22.8","69",""," ","Calm","1021.7","29.1","38","","E","22","1018.6"
"","2016-03-6","16.5","30.5","0","","","E","39","13:17","21.6","73","","SW","6","1023.3","28.6","45","","ENE","28","1020.4"
"","2016-03-7","18.5","32.6","0","","","ENE","35","15:06","24.3","70",""," ","Calm","1021.5","31.9","35","","NNW","11","1017.9"
"","2016-03-8","19.3","30.3","0","","","ENE","37","14:48","24.5","62","1","NE","6","1023.5","28.8","35","1","E","24","1022.0"
"","2016-03-9","20.4","34.9","0","","","ENE","31","14:41","24.4","74","1","N","6","1021.6","32.5","36","","ENE","20","1016.9"
"","2016-03-10","20.6","30.7","0","","","SE","37","15:51","23.9","73",""," ","Calm","1019.9","28.4","56","","ESE","26","1018.8"
"","2016-03-11","22.8","30.5","0","","","E","28","12:37","24.2","72","8","NE","6","1020.2","28.7","51","8","ESE","20","1017.5"
"","2016-03-12","19.4","33.0","0","","","E","35","14:01","23.7","73","","W","4","1019.7","32.0","35","","E","22","1017.0"
"","2016-03-13","19.4","30.0","0","","","NE","31","14:20","25.1","63","","NNE","6","1020.7","27.8","41","","NE","20","1017.4"
"","2016-03-14","20.6","32.1","0","","","SE","48","14:14","23.2","79","8"," ","Calm","1016.5","27.6","54","","SE","35","1014.2"
"","2016-03-15","19.5","27.0","1.2","","","SE","43","15:37","20.0","84","8","SSW","13","1019.8","26.2","45","6","SSE","28","1018.7"
"","2016-03-16","18.6","28.1","9.0","","","S","46","11:41","19.2","84","8","WSW","11","1020.1","25.6","43","8","SE","20","1018.0"
"","2016-03-17","18.4","27.8","5.4","","","E","31","14:48","21.0","80","2","WSW","6","1017.1","27.0","51","8","NNE","13","1012.5"
"","2016-03-18","18.0","28.4","0.2","","","NNW","50","14:38","22.2","76","","N","11","1003.4","26.5","64","8","NNW","28","996.7"
"","2016-03-19","13.8","23.7","0.2","","","ESE","43","15:08","18.4","47","","WSW","15","1011.2","21.8","38","7","ESE","22","1011.2"
"","2016-03-20","16.5","24.5","0","","","SE","56","15:01","18.2","59","6","SW","13","1017.6","21.3","61","8","SE","33","1016.6"
"","2016-03-21","15.5","21.5","6.2","","","SSE","46","12:10","16.7","80","8"," ","Calm","1018.9","20.9","64","6","S","13","1016.6"
"","2016-03-22","13.9","24.6","0.4","","","S","43","16:44","18.1","71","","SSW","17","1017.9","23.8","50","8","SSE","26","1015.5"
"","2016-03-23","13.1","26.5","0","","","ESE","31","15:11","17.4","73","","SW","9","1018.4","26.2","39","","ESE","7","1016.3"
"","2016-03-24","14.2","30.1","0","","","E","31","14:58","18.5","75","8","WNW","7","1021.1","29.4","30","1","N","9","1018.3"
"","2016-03-25","16.0","25.2","0","","","NNE","17","12:47","19.1","84","8"," ","Calm","1019.0","24.2","58","8","NNW","11","1016.2"
"","2016-03-26","15.7","27.7","0","","","E","31","14:36","19.4","75","","W","7","1018.8","26.9","55","3","E","20","1015.4"
"","2016-03-27","15.9","26.2","0","","","E","39","11:02","20.6","86",""," ","Calm","1018.3","25.2","60","8","E","24","1016.6"
"","2016-03-28","19.1","26.4","0","","","ESE","31","14:24","21.4","78","8","SE","9","1019.0","25.2","64","8","ESE","19","1015.5"
"","2016-03-29","18.6","24.3","0","","","ESE","35","11:34","21.2","80","7","S","9","1017.8","20.4","89","8","SSE","11","1016.3"
"","2016-03-30","17.4","28.1","4.4","","","WSW","31","10:37","20.4","84","","WNW","7","1015.1","26.3","34","","SW","13","1012.1"
"","2016-03-31","12.7","26.1","0","","","SSE","33","13:46","18.2","63","","SW","9","1017.6","24.6","44","4","ESE","20","1016.0"
