"Daily Weather Observations for Ben Nevis, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3045.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Ben Nevis, but cloud and pressure from Ararat."
"Temperature, humidity, wind and rainfall observations are from Pyrenees (Ben Nevis) {station 079101}"
"Pressure and cloud observations are from Ararat Prison {station 089085}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","","","","","","","","","","","2","","","1017.5","","","6","","","1016.6"
"","2016-03-2","","","","","","","","","","","2","","","1017.6","","","3","","","1015.7"
"","2016-03-3","","","","","","","","","","","6","","","1019.9","","","1","","","1017.8"
"","2016-03-4","","","","","","","","","","","2","","","1017.8","","","4","","","1014.2"
"","2016-03-5","","","","","","","","","","","7","","","1019.0","","","6","","","1018.5"
"","2016-03-6","","","","","","","","","","","5","","","1019.2","","","5","","","1016.3"
"","2016-03-7","","","","","","","","","","","5","","","1019.2","","","4","","","1018.9"
"","2016-03-8","","","","","","","","","","","4","","","1018.3","","","5","","","1015.2"
"","2016-03-9","","","","","","","","","","","7","","","1016.3","","","7","","","1016.7"
"","2016-03-10","","","","","","","","","","","8","","","1020.4","","","8","","","1018.6"
"","2016-03-11","","","","","","","","","","","5","","","1017.8","","","5","","","1015.8"
"","2016-03-12","","","","","","","","","","","8","","","1019.9","","","8","","","1020.6"
"","2016-03-13","","","","","","","","","","","8","","","1020.5","","","4","","","1018.4"
"","2016-03-14","","","","","","","","","","","6","","","1020.5","","","4","","","1019.9"
"","2016-03-15","","","","","","","","","","","3","","","1019.7","","","3","","","1017.2"
"","2016-03-16","","","","","","","","","","","4","","","1017.6","","","1","","","1014.9"
"","2016-03-17","","","","","","NNE","56","20:33","","","4","","","1012.6","26.4","40","5","N","19","1007.3"
"","2016-03-18","","12.8","","","","SW","85","04:59","9.0","99","8","WSW","30","1000.6","10.2","92","3","SW","33","1005.0"
"","2016-03-19","5.8","11.6","5.2","","","SW","50","01:19","7.3","99","8","SSW","22","1015.7","10.8","64","8","SSW","15","1017.5"
"","2016-03-20","6.3","15.5","0","","","SSE","41","20:13","7.6","77","8","SSE","19","1020.8","14.2","54","3","SE","15","1019.4"
"","2016-03-21","7.5","17.8","0.2","","","ESE","41","23:15","10.9","56","3","ESE","20","1021.6","17.4","50","0","SE","13","1019.3"
"","2016-03-22","10.8","22.5","0","","","E","26","23:04","15.0","54","8","SW","6","1019.5","20.9","36","1","NNW","7","1016.4"
"","2016-03-23","14.1","25.5","0","","","WSW","39","15:44","15.5","45","7","N","19","1016.9","22.5","25","7","NW","9","1016.0"
"","2016-03-24","13.1","20.8","0.2","","","SSW","31","18:47","13.8","74","8","E","13","1020.1","19.4","58","6","SW","11","1018.8"
"","2016-03-25","7.7","17.0","0","","","SSW","35","13:10","7.7","99","6","SSE","15","1021.3","15.9","52","2","SSW","17","1020.3"
"","2016-03-26","7.2","14.3","0","","","SSW","46","03:43","9.1","99","5","SSW","22","1020.8","12.3","81","6","WSW","19","1020.6"
"","2016-03-27","6.5","14.8","0.4","","","S","44","19:50","7.0","81","3","S","20","1021.8","13.4","50","4","S","20","1020.1"
"","2016-03-28","6.2","12.3","0","","","SSE","43","00:22","7.3","72","6","SE","19","1020.1","11.6","59","7","SSE","15","1018.5"
"","2016-03-29","6.7","14.0","0","","","SSE","54","01:48","7.9","72","6","SSE","26","1021.1","13.2","62","5","S","20","1019.5"
"","2016-03-30","6.2","14.6","0","","","S","48","04:54","7.5","65","7","S","17","1021.4","13.3","47","6","SSW","19","1020.6"
"","2016-03-31","7.5","18.1","0","","","SSW","35","23:20","9.7","99","6","SW","19","1020.7","15.7","66","6","WNW","6","1018.3"
