"Daily Weather Observations for Benalla, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3007.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Benalla Airport {station 082170}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","11.6","34.7","0","","","","","","22.7","54","0","E","9","1018.6","","","","","",""
"","2016-03-2","12.6","37.0","0","","","","","","22.2","39","1","SE","6","1017.3","","","","","",""
"","2016-03-3","18.1","37.7","0","","","","","","23.6","51","7","SE","6","1018.4","","","","","",""
"","2016-03-4","15.9","37.2","0","","","","","","23.7","51","3","E","4","1018.8","","","","","",""
"","2016-03-5","23.0","38.8","0","","","","","","27.1","43","3","E","4","1018.0","","","","","",""
"","2016-03-6","23.4","38.9","0","","","","","","27.1","46","4","SSE","4","1018.3","","","","","",""
"","2016-03-7","19.4","39.0","0","","","","","","27.9","39","2","E","6","1018.1","","","","","",""
"","2016-03-8","19.9","38.1","0","","","","","","25.1","60","0","S","4","1019.1","","","","","",""
"","2016-03-9","23.6","37.4","0","","","","","","26.7","41","7","E","11","1017.3","","","","","",""
"","2016-03-10","23.1","35.7","0.2","","","","","","24.6","65","8","S","7","1018.6","","","","","",""
"","2016-03-11","20.2","32.5","2.0","","","","","","22.9","79","7","ESE","4","1016.7","","","","","",""
"","2016-03-12","19.4","32.8","0","","","","","","24.9","69","6","E","7","1018.1","","","","","",""
"","2016-03-13","18.8","34.1","0","","","","","","22.4","69","1","SSE","9","1018.1","","","","","",""
"","2016-03-14","14.6","33.4","0","","","","","","21.6","62","0","S","9","1016.5","","","","","",""
"","2016-03-15","14.0","32.0","0","","","","","","21.1","58","2","SSE","11","1017.7","","","","","",""
"","2016-03-16","14.3","32.1","0","","","","","","19.9","58","2","SE","6","1018.4","","","","","",""
"","2016-03-17","13.4","31.9","0","","","","","","19.0","65","2","SSE","4","1014.7","","","","","",""
"","2016-03-18","18.2","20.0","16.6","","","","","","20.0","95","8","NW","7","994.4","","","","","",""
"","2016-03-19","8.5","19.0","11.2","","","","","","13.0","74","3","NW","7","1014.2","","","","","",""
"","2016-03-20","11.1","23.4","0.4","","","","","","14.3","54","6","SSE","7","1018.4","","","","","",""
"","2016-03-21","9.0","25.2","0","","","","","","15.5","55","0","SE","7","1019.6","","","","","",""
"","2016-03-22","9.5","26.0","0","","","","","","15.0","68","0","SE","7","1018.9","","","","","",""
"","2016-03-23","8.6","26.9","0","","","","","","15.5","69","2","SE","6","1017.7","","","","","",""
"","2016-03-24","15.2","24.5","0.2","","","","","","17.4","82","8","SE","2","1019.3","","","","","",""
"","2016-03-25","14.1","26.9","0","","","","","","17.9","73","4","SE","2","1018.3","","","","","",""
"","2016-03-26","9.0","25.2","0","","","","","","14.5","68","0","WNW","2","1018.2","","","","","",""
"","2016-03-27","12.2","25.8","0","","","","","","16.9","55","0","SSE","9","1017.6","","","","","",""
"","2016-03-28","11.0","25.0","0","","","","","","15.1","65","2","SE","6","1016.6","","","","","",""
"","2016-03-29","14.5","25.2","0","","","","","","15.6","63","8","SSE","11","1017.4","","","","","",""
"","2016-03-30","13.3","23.1","0","","","","","","14.0","74","7","SSE","11","1017.0","","","","","",""
"","2016-03-31","8.2","24.3","0","","","","","","13.6","69","0","SE","4","1018.7","","","","","",""
