"Daily Weather Observations for Bendigo, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3008.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bendigo Airport {station 081123}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.3","32.6","0","","","NNE","31","13:18","20.4","63","","ESE","11","1017.9","31.1","18","","WNW","22","1015.7"
"","2016-03-2","14.1","36.8","0","","","SSE","52","20:40","23.4","32","","SE","11","1017.2","34.7","13","1","NW","9","1015.4"
"","2016-03-3","19.5","35.9","0","","","S","35","19:34","21.4","67","2","SSE","19","1018.0","33.3","25","","NW","7","1016.4"
"","2016-03-4","18.9","37.8","0","","","NNW","85","14:56","23.4","54","1","ESE","9","1018.3","36.5","20","3","NNE","20","1013.5"
"","2016-03-5","19.8","37.5","2.0","","","SSE","46","16:54","24.6","54","","SE","11","1017.4","36.3","22","1","WNW","4","1016.0"
"","2016-03-6","19.4","39.2","0.2","","","SSE","35","19:08","24.3","51","","SE","15","1018.5","37.8","20","1","N","4","1015.2"
"","2016-03-7","23.8","39.3","0","","","SSE","44","19:34","26.8","47","5","ESE","15","1017.2","38.3","17","2","ENE","13","1015.3"
"","2016-03-8","21.4","39.3","0","","","N","48","14:01","26.5","44","","E","11","1018.7","38.9","14","2","NE","22","1015.2"
"","2016-03-9","25.8","36.4","0","","","WSW","57","18:41","26.1","34","7","E","11","1014.9","36.3","22","","SW","15","1013.7"
"","2016-03-10","20.0","25.6","4.4","","","SE","41","15:24","21.1","81","8","S","19","1018.7","21.6","86","4","S","19","1018.0"
"","2016-03-11","19.3","31.2","8.8","","","SW","20","16:41","21.9","79","","SE","11","1016.8","29.4","47","2","NNW","4","1014.8"
"","2016-03-12","19.2","32.9","0","","","SSE","39","18:37","22.7","71","","SSE","15","1018.8","31.4","37","1","WSW","11","1017.2"
"","2016-03-13","17.2","32.8","0","","","SSE","30","04:13","19.1","75","","SE","20","1019.4","31.2","26","","SE","7","1016.5"
"","2016-03-14","16.4","28.0","0","","","S","44","18:19","19.0","72","","SSE","20","1018.9","27.6","34","","SSE","22","1016.6"
"","2016-03-15","14.3","30.6","0","","","ENE","39","10:30","17.8","67","","SSE","19","1017.9","28.1","35","","E","9","1015.9"
"","2016-03-16","16.6","31.5","0","","","NNE","46","14:11","20.7","59","","ESE","11","1018.3","29.8","35","","N","15","1014.7"
"","2016-03-17","18.2","31.3","0","","","NNE","43","13:52","20.6","61","3","E","15","1013.8","29.6","36","1","N","24","1007.4"
"","2016-03-18","14.0","18.7","13.2","","","NW","70","00:26","14.2","89","8","W","17","997.4","15.5","59","8","SW","41","1003.5"
"","2016-03-19","8.9","18.9","4.2","","","WSW","35","14:29","12.1","79","1","WSW","17","1014.9","17.3","46","8","SSW","13","1015.6"
"","2016-03-20","9.6","22.8","0.2","","","SE","37","08:38","12.5","62","","SSE","22","1019.1","20.9","32","","E","7","1017.5"
"","2016-03-21","11.0","25.0","0","","","SE","33","15:43","14.2","65","","SE","15","1020.1","23.4","30","","ESE","13","1017.4"
"","2016-03-22","11.7","26.6","0","","","SSE","26","23:04","15.8","64","","SSE","13","1018.9","25.0","29","","SSE","11","1015.9"
"","2016-03-23","10.5","29.3","0","","","WSW","35","19:54","16.7","56","","SSE","7","1017.5","28.0","22","1","N","11","1015.6"
"","2016-03-24","16.6","24.2","0.2","","","SW","30","02:54","17.3","76","8"," ","Calm","1019.6","22.3","57","8","SSE","11","1017.7"
"","2016-03-25","13.6","24.5","0.2","","","SW","35","15:36","16.2","77","","SSE","15","1019.1","24.0","29","","WSW","20","1017.6"
"","2016-03-26","10.2","22.3","0","","","SSW","37","22:17","14.8","72","8","SSW","11","1020.1","20.7","50","7","SSW","20","1018.7"
"","2016-03-27","11.0","21.5","0","","","SSE","37","13:42","14.4","65","","SSW","17","1020.2","20.2","37","","SE","22","1017.9"
"","2016-03-28","9.9","20.0","0","","","S","37","08:23","13.8","52","","SSE","20","1018.0","18.9","36","7","SSE","19","1016.2"
"","2016-03-29","11.3","22.6","0","","","S","44","16:48","13.9","59","","SSE","26","1018.0","21.3","39","5","S","15","1016.5"
"","2016-03-30","10.0","20.8","0","","","S","39","11:28","13.4","64","8","SSW","13","1019.4","19.4","41","7","SSW","17","1017.9"
"","2016-03-31","7.0","23.0","0","","","WSW","28","11:12","13.9","67",""," ","Calm","1020.0","22.9","44","2","W","15","1017.1"
