"Daily Weather Observations for Bundoora, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3009.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bundoora, but some from Viewbank."
"Temperature, humidity, wind, cloud, evaporation, sunshine and rainfall observations are from Bundoora (Latrobe University) {station 086351}"
"Pressure observations are from Viewbank {station 086068}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","16.0","34.5","0","3.6","9.1","","","","18.4","88","0","NNE","6","1017.8","","","","","","1014.8"
"","2016-03-2","14.0","37.5","0","7.4","11.2","","","","23.0","49","1","SE","2","1016.6","","","","","","1014.1"
"","2016-03-3","17.3","25.8","0","7.6","9.3","","","","17.9","75","6","S","6","1020.9","","","","","","1018.7"
"","2016-03-4","13.9","38.2","0","4.4","9.4","","","","20.5","65","1","SSE","4","1017.8","","","","","","1013.4"
"","2016-03-5","20.2","26.2","0","6.9","5.2","","","","20.6","85","8","SW","6","1019.4","","","","","","1019.3"
"","2016-03-6","17.0","29.3","0","4.4","8.3","","","","19.5","80","7","","2","1020.3","","","","","","1017.1"
"","2016-03-7","18.1","25.2","0","5.2","0.4","","","","19.3","89","7","","","1019.1","","","","","","1020.1"
"","2016-03-8","19.1","40.0","0.2","1.6","8.5","","","","19.2","98","5","","","1019.4","","","","","","1014.6"
"","2016-03-9","","31.2","0","8.0","1.0","","","","28.6","34","8","SSW","19","1014.7","","","","","","1016.5"
"","2016-03-10","17.8","21.4","0.6","4.2","0.1","","","","18.0","91","8","S","7","1021.5","","","","","","1019.7"
"","2016-03-11","18.0","28.9","8.8","0.2","7.8","","","","19.6","97","7","","","1017.5","","","","","","1015.2"
"","2016-03-12","17.7","22.6","0","5.3","0.3","","","","19.8","92","8"," ","Calm","1020.1","","","","","","1019.9"
"","2016-03-13","17.1","25.1","0.1","1.1","5.1","","","","17.8","92","8","SSW","9","1020.9","","","","","","1018.3"
"","2016-03-14","17.5","22.0","0","3.8","3.2","","","","18.9","78","7","S","13","1020.7","","","","","","1020.0"
"","2016-03-15","12.1","28.1","0","3.2","9.3","","","","16.4","81","6","SSW","2","1020.2","","","","","","1016.9"
"","2016-03-16","12.9","32.5","0","4.4","9.4","","","","17.1","84","2","S","2","1019.2","","","","","","1014.5"
"","2016-03-17","17.4","","0","5.8","9.7","","","","26.0","48","1","N","26","1012.9","","","","","","1006.8"
"","2016-03-18","14.7","18.8","10.8","6.6","0.6","","","","14.9","93","8","S","13","997.9","","","","","","1001.7"
"","2016-03-19","10.2","17.8","8.0","3.9","1.7","","","","12.4","94","8","WSW","7","1014.4","","","","","","1016.5"
"","2016-03-20","8.0","23.8","0.1","2.3","9.0","","","","13.4","73","0","SSE","13","1020.5","","","","","","1018.7"
"","2016-03-21","8.7","22.9","0","4.0","10.5","","","","12.5","94","1","SSE","2","1021.5","","","","","","1018.7"
"","2016-03-22","8.5","26.2","0","4.0","11.0","","","","13.0","99","0","S","4","1019.9","","","","","","1016.1"
"","2016-03-23","10.8","29.9","0","4.0","3.8","","","","15.0","79","7","S","6","1016.6","","","","","","1015.0"
"","2016-03-24","15.0","21.5","0","3.0","0.5","","","","17.1","89","8","S","4","1020.6","","","","","","1018.4"
"","2016-03-25","13.9","20.4","0","2.3","7.0","","","","16.0","81","8"," ","Calm","1020.5","","","","","","1019.3"
"","2016-03-26","11.1","19.8","0","3.4","0.0","","","","15.3","81","7","SSW","6","1020.2","","","","","","1019.2"
"","2016-03-27","13.8","19.4","1.0","1.8","5.5","","","","14.9","80","7","SE","9","1021.3","","","","","","1020.0"
"","2016-03-28","9.3","19.4","0","3.8","2.3","","","","14.0","60","3","SSE","13","1019.9","","","","","","1017.6"
"","2016-03-29","14.0","17.8","0","4.0","0.8","","","","15.0","62","8","SE","11","1020.4","","","","","","1019.2"
"","2016-03-30","14.8","17.8","0","3.8","0.8","","","","15.1","73","8","S","4","1020.3","","","","","","1019.4"
"","2016-03-31","7.9","22.9","0","2.2","8.3","","","","13.8","69","1","","4","1020.3","","","","","","1017.3"
