"Daily Weather Observations for Camden, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2024.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.1","30.0","0","","","N","33","14:51","22.0","79",""," ","Calm","1022.2","27.4","49","","N","13","1019.2"
"","2016-03-2","15.1","33.5","0","","","N","31","14:46","19.7","88","","SSW","6","1021.4","32.0","33","","NNE","15","1017.9"
"","2016-03-3","18.0","33.9","0","","","ENE","37","17:26","22.5","83","8"," ","Calm","1021.4","32.9","35","","N","17","1018.1"
"","2016-03-4","16.3","31.4","0","","","E","39","14:48","22.7","82","2","SE","7","1022.2","30.9","42","1","NE","13","1018.9"
"","2016-03-5","13.3","32.7","0","","","NE","30","17:05","19.7","86",""," ","Calm","1021.8","31.3","28","","NE","9","1018.4"
"","2016-03-6","13.4","31.4","0","","","ENE","35","15:27","20.3","81","","SE","2","1023.2","29.6","47","1","NE","19","1019.8"
"","2016-03-7","17.1","33.1","0","","","ENE","31","15:54","21.9","82","","SW","2","1021.6","31.8","35","","N","9","1017.8"
"","2016-03-8","17.6","31.4","0","","","NE","39","13:47","23.4","75",""," ","Calm","1023.7","30.0","37","1","ENE","19","1021.4"
"","2016-03-9","19.7","35.2","0.2","","","NE","30","16:03","24.5","76",""," ","Calm","1021.6","33.1","38","","N","13","1016.7"
"","2016-03-10","19.1","32.2","0","","","ENE","30","11:54","23.0","81",""," ","Calm","1019.9","31.2","49","","ESE","15","1018.2"
"","2016-03-11","21.6","30.0","0.4","","","N","26","12:21","23.1","88","8"," ","Calm","1019.9","26.7","65","5","SW","13","1018.2"
"","2016-03-12","18.5","34.2","0","","","NE","33","15:46","23.4","76","","S","4","1019.6","32.9","36","","NNE","9","1016.6"
"","2016-03-13","19.1","30.5","0","","","NE","33","16:35","23.3","77","3"," ","Calm","1020.7","29.4","43","","NNW","7","1017.1"
"","2016-03-14","19.0","32.8","0","","","SSW","52","13:46","21.7","91","3"," ","Calm","1016.4","20.3","88","8","WSW","26","1015.5"
"","2016-03-15","19.6","27.8","13.2","","","SSE","35","16:02","20.6","75","8","SSE","7","1019.9","26.6","45","3","SSE","17","1018.5"
"","2016-03-16","18.1","27.6","1.6","","","S","31","11:28","20.4","78","8","SSW","13","1020.2","26.4","44","1","SSE","11","1017.5"
"","2016-03-17","18.1","27.2","15.4","","","NE","28","15:07","20.4","85","8","W","2","1017.1","24.9","63","8","ESE","11","1012.3"
"","2016-03-18","17.1","29.5","0","","","W","65","14:38","19.5","90","8","NNW","7","1003.6","28.3","52","","NNW","17","996.1"
"","2016-03-19","11.1","23.9","0.8","","","E","30","15:24","17.3","46","","WSW","9","1011.0","23.4","37","4","ENE","7","1010.5"
"","2016-03-20","13.7","24.0","0","","","S","37","16:18","17.2","57","6","SW","15","1017.7","21.6","47","8","SSE","17","1016.0"
"","2016-03-21","14.8","23.3","0.2","","","S","43","15:56","17.6","63","2","SW","15","1018.7","20.5","57","7","S","19","1016.6"
"","2016-03-22","12.9","24.8","0","","","SW","35","10:45","18.2","63","2","SW","19","1018.0","23.4","46","8","S","19","1015.4"
"","2016-03-23","10.5","27.8","0","","","ENE","31","15:31","16.4","75","","SE","6","1018.3","26.6","37","","N","9","1015.6"
"","2016-03-24","12.8","29.3","0","","","NNE","28","15:10","16.0","83","6","SSE","6","1021.0","28.4","27","","NNE","9","1018.0"
"","2016-03-25","14.4","24.9","0","","","SSE","19","19:32","17.5","83","8"," ","Calm","1019.1","23.9","60","5","N","9","1015.9"
"","2016-03-26","13.2","28.7","0.2","","","NE","30","15:19","18.1","81","1"," ","Calm","1018.8","27.8","40","","N","13","1014.9"
"","2016-03-27","15.4","26.8","0","","","ENE","30","13:03","19.7","86","","SSE","6","1018.3","26.3","53","3","ENE","19","1016.2"
"","2016-03-28","17.7","26.1","0.2","","","ENE","24","12:12","20.1","83","7"," ","Calm","1018.8","24.8","63","1","NE","13","1015.3"
"","2016-03-29","18.9","23.8","0","","","S","19","09:35","20.5","81","7","SW","4","1017.8","19.9","92","8","SSW","6","1016.6"
"","2016-03-30","16.7","27.5","5.2","","","W","33","15:36","19.0","93","1","N","4","1015.0","25.4","35","8","WSW","20","1012.1"
"","2016-03-31","9.9","27.2","0","","","SW","28","09:11","17.2","69","","E","6","1017.3","26.1","32","1","NW","6","1015.4"
