"Daily Weather Observations for Byron Bay, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2022.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Byron Bay (Cape Byron AWS) {station 058216}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","21.7","25.4","62.6","","","ESE","57","07:24","23.6","92","","ESE","44","1018.6","25.2","84","","ESE","39","1018.2"
"","2016-03-2","20.7","29.1","5.4","","","ESE","41","23:03","21.4","100","","WSW","13","1020.7","26.5","84","","E","13","1019.6"
"","2016-03-3","21.1","29.4","6.6","","","ENE","30","04:46","23.2","94","","ESE","15","1021.7","28.1","73","","E","17","1020.7"
"","2016-03-4","22.6","29.3","0.2","","","E","35","19:25","24.5","74","","ENE","15","1021.6","27.3","58","","E","19","1019.8"
"","2016-03-5","20.6","26.8","0","","","ESE","35","16:01","22.4","86","","SSW","13","1021.3","26.2","72","","ESE","26","1020.0"
"","2016-03-6","20.1","29.5","0","","","E","41","20:47","22.3","88","","SSW","11","1021.9","29.0","69","","E","19","1020.5"
"","2016-03-7","21.4","28.1","13.6","","","ESE","35","17:54","25.3","81","","E","15","1021.8","27.4","76","","E","24","1020.1"
"","2016-03-8","21.0","29.3","3.8","","","ESE","54","07:53","22.7","98","","SE","39","1021.0","27.5","79","","E","19","1020.4"
"","2016-03-9","21.9","28.9","12.2","","","ENE","35","02:11","25.5","87","","E","19","1022.7","27.6","71","","E","17","1021.0"
"","2016-03-10","21.1","28.4","0.2","","","E","28","15:49","22.8","91","","SW","15","1021.9","27.1","82","","SE","20","1020.1"
"","2016-03-11","22.8","29.3","0","","","E","26","00:51","26.1","83","","E","17","1020.2","28.3","74","","E","13","1018.9"
"","2016-03-12","23.2","27.7","0","","","E","44","17:06","25.0","78","","ESE","20","1020.2","27.2","68","","ESE","26","1018.8"
"","2016-03-13","23.1","27.2","0.4","","","E","50","11:27","25.3","88","","E","37","1018.7","24.5","94","","E","22","1016.8"
"","2016-03-14","23.3","28.6","10.6","","","ESE","26","11:00","26.4","79","","E","19","1017.0","28.2","75","","E","20","1014.5"
"","2016-03-15","21.2","26.2","0","","","SE","61","15:34","22.9","89","","SW","22","1015.2","25.2","83","","S","33","1014.0"
"","2016-03-16","21.3","23.3","49.2","","","SSW","56","12:54","21.3","100","","SW","26","1014.8","22.0","100","","SE","20","1013.7"
"","2016-03-17","20.0","25.1","90.0","","","SSW","44","11:10","22.1","98","","SW","28","1014.2","24.7","86","","S","30","1011.3"
"","2016-03-18","20.9","27.5","2.2","","","N","46","17:17","23.6","89","","SW","2","1009.8","26.7","78","","NNE","22","1005.3"
"","2016-03-19","21.8","26.2","1.8","","","ESE","54","14:31","23.8","92","","S","11","1007.8","25.8","82","","SSE","37","1007.2"
"","2016-03-20","19.1","24.1","2.0","","","SE","57","17:09","20.9","88","","WSW","30","1013.1","23.4","92","","SSE","33","1011.9"
"","2016-03-21","19.7","24.2","9.8","","","S","67","17:36","20.6","98","","WSW","19","1013.3","24.0","82","","SSE","20","1011.3"
"","2016-03-22","16.9","23.8","5.0","","","SSW","50","12:17","18.6","87","","WSW","30","1014.2","23.2","79","","SSW","39","1012.3"
"","2016-03-23","18.1","24.6","0","","","SSW","44","23:11","20.2","80","","SW","20","1017.2","24.4","64","","SSE","24","1015.9"
"","2016-03-24","19.3","26.6","0.4","","","ESE","41","15:01","21.1","82","","WSW","19","1021.1","25.5","72","","ESE","26","1018.7"
"","2016-03-25","20.3","28.0","0","","","NNE","33","19:08","22.1","81","","SW","9","1020.3","26.6","59","","E","11","1017.1"
"","2016-03-26","20.0","27.8","0","","","SSW","44","18:16","23.4","79","","N","9","1017.6","27.0","67","","NE","28","1014.9"
"","2016-03-27","18.4","23.8","36.0","","","NE","35","16:42","19.3","99","","W","20","1017.7","23.6","92","","ENE","19","1016.3"
"","2016-03-28","19.3","27.4","2.4","","","NE","28","21:47","21.4","94","","WSW","15","1019.6","26.9","79","","E","13","1017.3"
"","2016-03-29","20.2","28.9","0","","","N","46","22:34","24.2","81","","N","6","1019.6","28.3","61","","ENE","20","1016.6"
"","2016-03-30","23.1","27.8","0","","","WSW","69","13:02","24.1","87","","NNW","13","1017.0","19.8","100","","SE","19","1015.5"
"","2016-03-31","18.9","24.7","14.8","","","WSW","35","06:47","21.8","88","","WSW","19","1016.5","24.0","60","","S","26","1015.0"
