"Daily Weather Observations for Cape Nelson, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3010.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cape Nelson Lighthouse {station 090184}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.4","27.0","0","","","NE","37","00:43","18.0","82","","NNE","19","1016.0","22.8","63","","W","13","1015.2"
"","2016-03-2","15.6","22.8","0","","","S","35","16:39","19.2","79",""," ","Calm","1016.9","19.9","76","","S","22","1018.2"
"","2016-03-3","16.4","20.7","0","","","E","39","22:45","18.3","69","","ESE","19","1021.9","20.3","66","","ESE","19","1020.4"
"","2016-03-4","17.2","21.4","0","","","E","41","01:42","18.1","83","","E","28","1017.5","20.5","73","","SSE","20","1016.4"
"","2016-03-5","16.9","22.0","0","","","ESE","41","20:13","17.8","76","","SE","19","1020.6","21.7","66","","ESE","17","1020.8"
"","2016-03-6","16.7","20.7","0","","","E","46","17:51","17.1","84","","ENE","28","1019.5","20.4","73","","ESE","20","1020.2"
"","2016-03-7","17.0","19.6","0","","","SE","54","08:13","17.4","88","","SE","35","1021.0","18.6","82","","E","35","1021.1"
"","2016-03-8","17.2","24.5","0.2","","","E","54","03:13","18.7","92","","E","30","1017.7","22.3","78","","ENE","19","1014.5"
"","2016-03-9","16.2","20.4","0","","","SE","37","21:37","19.1","91","","SW","7","1016.9","18.9","84","","SSE","19","1017.9"
"","2016-03-10","16.1","18.1","3.2","","","E","46","11:26","16.2","96","","E","35","1020.8","17.7","86","","E","33","1018.3"
"","2016-03-11","16.0","21.2","0.4","","","ESE","28","23:09","17.9","97","","ENE","9","1017.5","20.6","83","","SSE","11","1017.1"
"","2016-03-12","14.5","19.3","0.6","","","S","26","06:18","17.2","91","","SSE","9","1021.4","18.6","82","","SE","17","1022.3"
"","2016-03-13","16.2","19.3","0","","","S","41","19:52","17.3","83","","E","24","1021.1","19.1","77","","E","19","1020.2"
"","2016-03-14","15.4","18.5","0.4","","","SE","57","20:48","15.7","75","","SSE","35","1023.0","17.9","62","","SE","28","1023.2"
"","2016-03-15","15.3","19.5","0","","","SE","57","23:13","17.3","83","","E","24","1021.6","19.0","78","","E","39","1019.1"
"","2016-03-16","15.3","23.0","0","","","E","43","00:41","16.7","82","","ENE","30","1016.9","21.2","74","","E","15","1014.0"
"","2016-03-17","16.6","36.5","0","","","N","54","10:31","23.0","55","","N","31","1007.8","34.1","26","","NNW","28","1002.1"
"","2016-03-18","13.6","16.9","12.2","","","SE","65","17:13","14.5","76","","S","30","1001.0","16.0","59","","SSE","24","1006.6"
"","2016-03-19","12.9","16.6","0.6","","","S","56","04:36","14.5","66","","S","26","1016.8","14.9","68","","SSE","17","1019.4"
"","2016-03-20","12.9","17.7","0.2","","","SSE","43","18:25","14.9","67","","SE","15","1022.2","16.8","59","","SSE","22","1022.2"
"","2016-03-21","14.8","19.1","0","","","E","37","21:35","16.8","78","","ENE","15","1022.7","18.4","69","","E","26","1021.1"
"","2016-03-22","13.4","20.1","0","","","E","37","23:10","15.1","84","","ENE","22","1018.9","19.9","73","","E","11","1016.5"
"","2016-03-23","15.1","20.4","0","","","SE","39","22:48","17.0","69","","WNW","15","1015.5","19.6","80","","S","13","1017.3"
"","2016-03-24","15.0","17.4","0","","","SE","39","23:05","15.3","77","","S","20","1022.1","16.9","70","","S","9","1020.9"
"","2016-03-25","14.1","19.2","0","","","W","43","15:25","15.9","65","","W","17","1021.7","18.6","67","","WNW","17","1020.9"
"","2016-03-26","14.2","18.7","2.2","","","W","44","04:59","16.1","81","","NNW","17","1020.3","18.3","73","","NNW","9","1020.7"
"","2016-03-27","13.9","17.8","0.6","","","SSW","39","02:19","14.7","53","","S","22","1023.3","16.7","56","","S","17","1022.8"
"","2016-03-28","14.3","17.8","0","","","SE","33","22:18","15.1","56","","SSE","19","1021.4","15.1","70","","SE","17","1020.8"
"","2016-03-29","14.3","17.2","0","","","SSE","39","01:41","15.2","59","","SSE","19","1022.9","16.5","52","","ESE","13","1022.3"
"","2016-03-30","13.5","19.6","0","","","WNW","31","22:54","15.4","54","","NNE","6","1022.2","17.4","63","","WNW","20","1021.1"
"","2016-03-31","14.5","20.6","0","","","WNW","44","15:25","15.8","91","","NW","26","1019.0","18.7","74","","WNW","28","1017.4"
