"Daily Weather Observations for Cape Otway, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3011.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cape Otway Lighthouse {station 090015}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.2","24.3","0","","","ENE","37","08:11","19.8","81","","ENE","22","1016.9","20.4","82","","SE","7","1015.7"
"","2016-03-2","16.6","24.9","0","","","SSW","31","17:33","21.2","55","","NNW","11","1016.6","20.8","77","","SW","20","1017.7"
"","2016-03-3","15.2","20.3","0","","","ESE","35","15:38","17.2","72","","ESE","26","1022.0","19.4","69","","ESE","26","1020.7"
"","2016-03-4","14.7","22.2","0","","","ENE","31","21:01","18.3","83","","E","15","1018.0","21.4","78","","E","17","1015.3"
"","2016-03-5","17.4","21.7","0","","","ESE","20","21:25","17.5","87","","SSW","7","1020.6","20.6","65","","SE","9","1021.3"
"","2016-03-6","16.2","20.2","0","","","ENE","43","21:57","17.6","77","","ENE","15","1020.7","19.3","74","","ESE","26","1020.2"
"","2016-03-7","16.7","21.2","0","","","ESE","43","05:29","17.8","89","","S","9","1022.2","19.7","76","","E","20","1021.9"
"","2016-03-8","17.3","23.8","0.2","","","ENE","56","06:31","19.5","94","","E","33","1018.2","20.5","92","","ESE","24","1015.1"
"","2016-03-9","18.6","20.4","0.4","","","NW","43","00:03","19.7","88","","WNW","13","1016.4","18.6","91","","SW","9","1017.6"
"","2016-03-10","16.2","17.5","0","","","ESE","37","00:15","16.5","82","","ESE","22","1022.0","17.0","87","","E","20","1019.3"
"","2016-03-11","15.9","19.6","7.2","","","E","20","23:30","17.3","96","","WNW","11","1018.2","18.9","89","","WSW","11","1017.2"
"","2016-03-12","16.5","19.1","0.8","","","SSW","24","07:20","16.7","97","","SSW","11","1021.3","17.6","88","","SSW","11","1021.9"
"","2016-03-13","16.0","18.7","0.2","","","ESE","24","06:45","16.8","84","","E","15","1021.5","18.3","82","","S","7","1020.3"
"","2016-03-14","14.8","18.2","1.2","","","SE","35","21:17","15.1","80","","SW","20","1022.1","17.1","65","","SW","15","1022.6"
"","2016-03-15","15.1","19.1","1.6","","","E","74","22:06","17.6","85","","E","35","1021.9","18.5","70","","E","37","1020.7"
"","2016-03-16","17.2","25.2","0","","","ENE","76","23:31","17.9","80","","E","31","1018.6","21.0","72","","ENE","28","1015.5"
"","2016-03-17","17.9","33.9","0","","","N","57","09:56","25.2","45","","N","26","1009.9","33.6","25","","N","22","1004.4"
"","2016-03-18","13.8","16.3","16.4","","","SW","87","13:44","15.2","76","","SW","44","996.5","15.1","65","","SW","56","1003.3"
"","2016-03-19","12.3","16.2","5.0","","","SSW","59","04:11","14.8","57","","SSW","24","1014.9","15.4","57","","SSW","20","1018.2"
"","2016-03-20","13.7","18.8","0","","","ESE","31","22:26","15.3","57","","SE","9","1021.5","18.2","62","","ESE","19","1021.6"
"","2016-03-21","15.3","19.8","0","","","ESE","35","06:06","15.7","75","","ESE","24","1022.9","17.8","63","","ESE","19","1021.8"
"","2016-03-22","15.0","19.9","0","","","E","48","09:22","17.0","77","","ENE","22","1019.7","18.7","72","","E","22","1017.0"
"","2016-03-23","13.7","21.7","0","","","NNE","22","23:01","17.3","63","","WNW","7","1015.7","19.1","73","","WNW","9","1016.7"
"","2016-03-24","15.3","20.1","0","","","S","19","02:50","15.5","77","","SW","7","1021.9","18.3","62","","SE","11","1020.5"
"","2016-03-25","14.4","18.5","0","","","W","43","15:34","15.4","62","","W","17","1020.8","18.3","60","","W","24","1020.0"
"","2016-03-26","14.1","18.0","0.8","","","WSW","50","06:13","16.2","76","","WSW","24","1019.5","15.2","91","","WSW","26","1019.8"
"","2016-03-27","14.5","17.1","0.4","","","SW","44","03:44","14.8","62","","SSW","20","1022.3","15.8","53","","SSW","17","1021.8"
"","2016-03-28","14.5","16.8","0.2","","","ESE","28","09:13","14.9","57","","SW","15","1021.0","16.6","56","","S","9","1020.1"
"","2016-03-29","13.5","17.3","0","","","SSW","35","23:55","14.8","62","","SW","7","1022.3","17.0","54","","SSW","7","1021.8"
"","2016-03-30","14.7","17.8","0","","","SW","31","04:55","15.2","49","","SSW","20","1021.7","16.6","58","","SW","19","1020.7"
"","2016-03-31","14.0","19.3","0","","","WNW","35","11:53","15.6","81","","NNW","19","1019.0","17.9","78","","WNW","22","1017.4"
