"Daily Weather Observations for Casino, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2026.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Casino Airport AWS {station 058208}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","20.2","25.3","8.0","","","ESE","30","15:15","21.1","88","","S","17","1019.8","24.1","84","","SW","11","1018.7"
"","2016-03-2","18.7","29.6","5.4","","","SE","31","12:33","22.0","87","","W","6","1020.9","24.7","82","","E","19","1019.5"
"","2016-03-3","18.5","24.9","3.4","","","NNE","26","16:01","22.1","93",""," ","Calm","1021.9","22.2","88","","W","11","1020.6"
"","2016-03-4","18.3","29.0","21.8","","","E","35","12:15","21.2","93","","SSE","4","1021.9","27.6","54","","ESE","17","1019.0"
"","2016-03-5","16.4","29.6","0","","","E","33","16:16","20.6","82","","WNW","7","1021.7","27.3","51","","E","13","1019.5"
"","2016-03-6","16.8","30.8","0.2","","","ESE","35","12:31","22.1","77","","S","7","1022.0","30.0","50","","ESE","20","1019.7"
"","2016-03-7","18.9","30.9","0.6","","","E","35","13:10","23.5","82","","SSE","6","1022.0","29.4","51","","ESE","22","1019.4"
"","2016-03-8","19.4","26.7","5.8","","","ESE","35","15:20","23.0","85","","S","9","1021.3","25.1","86","","ESE","13","1019.9"
"","2016-03-9","19.7","31.0","10.8","","","E","37","15:31","24.2","86","","SE","7","1022.6","29.4","58","","E","20","1019.6"
"","2016-03-10","15.9","31.3","0","","","ESE","31","16:13","21.2","93","","NW","9","1022.1","30.9","47","","ENE","11","1019.1"
"","2016-03-11","18.8","30.5","0","","","ESE","39","12:37","22.6","92","","WSW","6","1020.5","28.1","67","","ENE","20","1018.1"
"","2016-03-12","17.8","30.9","0","","","E","35","15:28","22.9","84","","WSW","2","1020.4","30.2","43","","ESE","22","1018.4"
"","2016-03-13","18.4","28.1","1.4","","","E","44","13:01","21.7","91","","SW","9","1019.6","23.7","88","","ENE","22","1017.3"
"","2016-03-14","19.3","30.6","6.8","","","ESE","28","15:55","23.3","86","","SE","4","1017.4","30.5","53","","E","13","1013.6"
"","2016-03-15","17.0","30.7","0","","","ESE","41","15:01","21.6","88",""," ","Calm","1015.9","29.3","55","","ESE","24","1013.9"
"","2016-03-16","20.4","27.1","4.0","","","SE","41","14:28","21.6","89","","SSW","11","1015.7","25.7","72","","ESE","26","1013.6"
"","2016-03-17","19.4","28.5","1.6","","","SE","30","15:04","23.2","79","","S","9","1014.9","26.8","62","","ESE","15","1010.7"
"","2016-03-18","16.9","32.5","5.2","","","S","31","19:40","22.3","85","","NNW","11","1009.7","31.5","47","","N","17","1003.6"
"","2016-03-19","19.2","29.3","0.8","","","ESE","39","13:33","25.1","76","","SSW","4","1007.6","26.4","61","","SE","24","1007.3"
"","2016-03-20","19.2","26.9","4.6","","","ESE","33","15:57","20.7","78","","SW","7","1014.1","24.6","64","","SSE","15","1012.2"
"","2016-03-21","18.9","27.0","0","","","SSE","35","14:54","21.0","82","","SSW","9","1014.1","26.3","61","","SSE","17","1011.3"
"","2016-03-22","16.4","27.9","2.8","","","E","33","14:53","20.3","74","","WNW","7","1014.9","26.4","47","","E","13","1011.8"
"","2016-03-23","14.9","29.1","0.8","","","ESE","35","15:29","20.6","77","","NW","9","1017.7","28.3","41","","SE","7","1015.1"
"","2016-03-24","15.9","30.3","0","","","ESE","35","15:25","21.7","75","","NW","13","1021.3","29.1","38","","E","9","1018.0"
"","2016-03-25","14.9","29.7","0","","","ENE","26","16:47","20.9","82","","NW","9","1020.5","29.5","43","","N","13","1016.0"
"","2016-03-26","17.1","31.4","0","","","SSW","61","16:57","22.0","78","","NW","9","1017.4","28.8","48","","NE","9","1013.6"
"","2016-03-27","17.0","26.6","28.4","","","E","20","16:18","20.5","94","","NNW","7","1017.6","25.4","67","","NE","11","1015.5"
"","2016-03-28","18.2","29.5","0","","","NE","28","15:57","21.2","90","","WSW","7","1019.9","28.9","50","","E","7","1016.4"
"","2016-03-29","15.0","31.3","0","","","NNW","24","11:43","21.3","85","","NNW","7","1019.6","30.4","47","","NE","9","1015.6"
"","2016-03-30","20.2","28.6","0","","","SW","67","12:01","22.2","85","","SW","7","1016.7","20.3","93","","N","11","1015.6"
"","2016-03-31","15.6","29.2","11.2","","","ESE","33","15:47","21.1","83","","NW","7","1017.0","28.3","38","","ENE","9","1014.3"
