"Daily Weather Observations for Casterton, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3012.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Casterton, pressure taken from Hamilton."
"Hamilton Airport is several kilometres southeast of Casterton, so the pressures will sometimes be markedly different."
"Temperature, humidity, wind and rainfall observations are from Casterton {station 090182}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"
"Pressure observations are from Hamilton Airport {station 090173}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","10.6","33.4","0","4.2","9.7","NW","41","13:01","15.5","97","","ENE","6","1016.8","31.4","20","","NW","19","1015.3"
"","2016-03-2","13.0","29.5","0","5.8","10.8","SSW","43","16:40","18.6","66","","E","11","1017.0","27.4","43","","SSW","20","1016.2"
"","2016-03-3","13.7","29.7","0","6.0","11.2","ESE","43","08:32","16.2","80","","SE","19","1020.6","27.3","33","","E","15","1018.3"
"","2016-03-4","13.7","33.6","0","3.6","11.3","SSW","33","16:09","16.2","94","","E","17","1016.9","32.7","30","","SSW","15","1014.2"
"","2016-03-5","14.3","29.1","0","6.4","8.2","SE","35","08:17","17.4","90","","SE","19","1019.5","27.3","40","","SE","17","1019.1"
"","2016-03-6","15.0","33.1","0","4.6","7.9","SSW","39","14:07","17.2","87","","E","19","1018.5","33.0","27","","S","22","1017.6"
"","2016-03-7","17.2","27.7","0","4.8","3.2","ESE","44","13:38","18.5","90","","SE","22","1019.7","25.6","46","","SE","30","1019.4"
"","2016-03-8","16.1","37.3","0","4.0","7.8","SW","46","18:28","18.7","91","","ESE","15","1017.4","34.4","35","","SW","22","1013.8"
"","2016-03-9","17.9","25.6","0","3.4","1.6","SE","39","22:53","18.6","98","","SSE","17","1017.0","22.8","87","","ENE","11","1017.1"
"","2016-03-10","15.8","23.7","5.6","3.2","0.4","SE","33","00:06","16.3","100","","SE","13","1019.9","20.2","98","","ESE","11","1017.7"
"","2016-03-11","16.2","29.9","1.0","0.8","6.1","WSW","30","15:29","17.9","100","","NE","6","1017.6","28.3","56","","WSW","17","1016.0"
"","2016-03-12","17.3","23.0","0","3.6","1.2","S","30","15:25","17.5","99","","SSE","11","1020.8","21.8","71","","SSE","15","1020.7"
"","2016-03-13","15.1","27.6","0","2.4","6.5","S","31","20:41","16.1","99","","ESE","17","1020.5","24.8","59","","ESE","11","1018.7"
"","2016-03-14","14.4","19.1","0","4.2","4.3","SSE","44","18:49","14.5","99","","SSE","20","1021.5","17.9","61","","SE","22","1021.2"
"","2016-03-15","13.5","28.4","0","4.0","10.1","E","52","09:41","16.5","88","","SE","19","1020.3","26.9","39","","E","22","1017.3"
"","2016-03-16","13.9","32.9","0","5.2","10.7","ESE","39","23:21","16.3","89","","E","13","1016.9","31.5","26","","N","17","1013.8"
"","2016-03-17","14.2","34.8","0","6.8","5.6","N","56","15:23","24.8","46","","N","20","1010.4","32.6","26","","N","28","1004.7"
"","2016-03-18","11.2","16.6","22.6","7.6","5.9","SW","65","01:14","11.7","99","","WSW","15","1001.3","15.5","63","","SW","31","1007.1"
"","2016-03-19","8.6","17.5","5.4","3.0","2.4","SSW","39","16:19","11.0","99","","WSW","7","1016.3","16.7","54","","S","17","1018.2"
"","2016-03-20","10.0","18.1","0","2.6","0.6","S","30","14:46","11.4","98","","SSE","6","1021.6","16.1","59","","SSE","17","1020.7"
"","2016-03-21","7.2","23.7","0","1.2","10.3","ENE","37","11:25","12.5","98","","ESE","19","1021.9","21.8","37","","SE","19","1019.4"
"","2016-03-22","9.4","27.5","0","5.2","10.4","ESE","31","00:02","12.5","98","","ENE","11","1018.9","25.7","32","","WNW","7","1015.9"
"","2016-03-23","12.4","25.5","0","5.0","2.1","SSW","31","14:52","15.0","91",""," ","Calm","1016.1","23.8","41","","SSW","17","1016.1"
"","2016-03-24","14.9","19.8","0.4","1.2","0.1","S","33","16:03","15.3","98","","SSE","13","1020.9","18.7","70","","S","13","1019.2"
"","2016-03-25","6.3","20.7","0","2.4","4.2","SSW","31","14:14","12.0","98",""," ","Calm","1021.7","19.4","50","","SW","19","1020.8"
"","2016-03-26","12.0","18.9","0.4","2.2","2.1","WSW","33","14:39","13.7","99","","WNW","11","1021.0","18.7","76","","WSW","13","1020.5"
"","2016-03-27","11.4","18.1","0.6","1.4","0.0","SSE","28","15:27","12.7","98","","SW","7","1022.5","16.7","48","","SW","9","1021.3"
"","2016-03-28","10.1","17.1","0","2.6","0.0","S","31","17:07","12.0","72","","E","6","1020.8","16.2","51","","SSW","13","1019.9"
"","2016-03-29","10.8","18.4","0","0.6","0.9","S","33","13:39","13.0","79","","S","7","1021.8","15.9","58","","SSW","20","1020.8"
"","2016-03-30","11.5","19.5","0","3.2","2.3","SW","35","13:13","12.4","82","","W","4","1022.1","18.2","48","","SSW","19","1020.7"
"","2016-03-31","11.0","23.6","0","1.8","6.2","WNW","35","12:37","13.4","99","","NW","13","1020.4","21.5","51","","WNW","17","1017.8"
