"Daily Weather Observations for Castlemaine, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3013.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Castlemaine, but pressure from Bendigo."
"Bendigo Airport is almost 40 kilometres north of Castlemaine, so the pressures will sometimes be markedly different."
"Temperature, humidity, wind, cloud and rainfall observations are from Castlemaine Prison {station 088110}"
"Pressure observations are from Bendigo Airport {station 081123}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","12.8","31.3","0","","","","","","20.2","67","0","E","13","1017.9","","","","","","1015.7"
"","2016-03-2","15.8","36.0","0","","","","","","21.1","45","3","E","15","1017.2","","","","","","1015.4"
"","2016-03-3","18.0","34.4","0.2","","","","","","19.6","75","7","SE","15","1018.0","","","","","","1016.4"
"","2016-03-4","18.5","35.1","0","","","","","","21.6","67","1","E","28","1018.3","","","","","","1013.5"
"","2016-03-5","19.0","36.0","7.0","","","","","","22.7","67","6","E","11","1017.4","","","","","","1016.0"
"","2016-03-6","18.4","37.4","0","","","","","","22.3","57","4","E","31","1018.5","","","","","","1015.2"
"","2016-03-7","21.9","35.0","0","","","","","","25.3","54","6","E","30","1017.2","","","","","","1015.3"
"","2016-03-8","21.0","37.7","0.8","","","","","","27.0","44","3","ENE","28","1018.7","","","","","","1015.2"
"","2016-03-9","25.0","34.8","0","","","","","","25.4","38","8","E","19","1014.9","","","","","","1013.7"
"","2016-03-10","19.0","24.0","3.4","","","","","","20.0","91","8"," ","Calm","1018.7","","","","","","1018.0"
"","2016-03-11","17.1","30.1","7.0","","","","","","21.7","82","6","E","9","1016.8","","","","","","1014.8"
"","2016-03-12","17.4","30.5","0.2","","","","","","20.0","91","8"," ","Calm","1018.8","","","","","","1017.2"
"","2016-03-13","15.2","31.6","0.2","","","","","","18.5","78","2","E","13","1019.4","","","","","","1016.5"
"","2016-03-14","14.7","24.5","0","","","","","","18.5","73","1","E","7","1018.9","","","","","","1016.6"
"","2016-03-15","14.0","26.0","0","","","","","","16.4","79","1","E","7","1017.9","","","","","","1015.9"
"","2016-03-16","16.2","","0","","","","","","20.1","64","4","E","4","1018.3","","","","","","1014.7"
"","2016-03-17","15.4","29.8","0","","","","","","20.1","64","2","E","15","1013.8","","","","","","1007.4"
"","2016-03-18","11.0","18.1","22.0","","","","","","13.0","77","8","SW","11","997.4","","","","","","1003.5"
"","2016-03-19","7.5","16.3","3.2","","","","","","10.0","93","8","W","7","1014.9","","","","","","1015.6"
"","2016-03-20","6.1","20.8","0.2","","","","","","9.4","86","4","SW","7","1019.1","","","","","","1017.5"
"","2016-03-21","9.1","23.0","0","","","","","","14.4","60","0","E","22","1020.1","","","","","","1017.4"
"","2016-03-22","9.0","25.1","0","","","","","","11.6","87","0"," ","Calm","1018.9","","","","","","1015.9"
"","2016-03-23","11.4","27.1","0","","","","","","14.6","67","8"," ","Calm","1017.5","","","","","","1015.6"
"","2016-03-24","14.4","23.0","0.2","","","","","","17.0","82","8"," ","Calm","1019.6","","","","","","1017.7"
"","2016-03-25","12.0","22.8","0","","","","","","13.9","92","2"," ","Calm","1019.1","","","","","","1017.6"
"","2016-03-26","7.0","19.6","0","","","","","","13.1","82","8","SW","11","1020.1","","","","","","1018.7"
"","2016-03-27","10.1","19.2","0","","","","","","12.0","72","2"," ","Calm","1020.2","","","","","","1017.9"
"","2016-03-28","10.6","18.0","0","","","","","","12.8","56","8","SE","15","1018.0","","","","","","1016.2"
"","2016-03-29","11.6","19.8","0","","","","","","13.5","62","8","SE","19","1018.0","","","","","","1016.5"
"","2016-03-30","5.8","19.5","0","","","","","","9.1","70","4"," ","Calm","1019.4","","","","","","1017.9"
"","2016-03-31","5.0","","0","","","","","","10.8","80","7"," ","Calm","1020.0","","","","","","1017.1"
