"Daily Weather Observations for Cerberus, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3014.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cerberus {station 086361}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","12.5","33.7","0","","","NNW","35","12:39","18.9","83","","NNW","7","1017.4","31.7","22","","NNW","15","1014.8"
"","2016-03-2","12.3","32.7","0","","","SSW","39","14:43","21.7","62","","E","2","1016.6","27.2","34","","SSW","19","1015.2"
"","2016-03-3","15.3","23.4","0","","","S","31","13:17","18.7","67","","SSE","9","1021.3","22.0","55","","S","17","1019.4"
"","2016-03-4","12.9","33.0","0","","","SW","24","16:00","19.5","77","","NE","2","1018.2","31.2","37","","ESE","11","1014.0"
"","2016-03-5","19.6","22.4","0","","","SW","31","01:15","20.1","80","","SSW","7","1019.3","20.7","69","","S","13","1020.5"
"","2016-03-6","15.9","24.6","0","","","SSW","31","15:32","19.3","78","","SSE","6","1020.6","21.8","69","","SSW","15","1019.3"
"","2016-03-7","16.9","24.8","0.8","","","S","31","14:58","19.8","90",""," ","Calm","1018.9","23.5","58","","S","17","1020.7"
"","2016-03-8","17.9","36.5","0","","","ENE","35","09:28","20.7","88",""," ","Calm","1019.6","33.2","37","","SE","9","1015.2"
"","2016-03-9","20.7","25.5","0","","","NW","43","07:20","24.1","64","","SW","17","1015.3","22.0","79","","SSW","17","1017.0"
"","2016-03-10","17.2","20.9","0.6","","","SE","19","23:41","17.6","87",""," ","Calm","1021.7","20.1","82",""," ","Calm","1019.9"
"","2016-03-11","17.5","25.7","4.4","","","SW","22","15:21","20.6","91",""," ","Calm","1017.3","24.5","64","","SSW","13","1016.1"
"","2016-03-12","15.8","22.3","0","","","SSW","26","15:42","19.0","92",""," ","Calm","1020.2","21.0","78","","SSW","13","1020.6"
"","2016-03-13","17.7","23.0","0","","","S","28","14:32","18.7","80","","SSE","6","1021.1","20.3","74","","SW","15","1019.1"
"","2016-03-14","17.8","21.6","0","","","S","37","10:48","18.8","70","","S","11","1020.7","20.1","56","","SSW","19","1020.8"
"","2016-03-15","15.5","23.6","0","","","E","50","17:18","18.2","78","","ESE","17","1022.2","22.6","52","","ESE","20","1020.1"
"","2016-03-16","17.1","29.4","0","","","ENE","35","09:59","20.0","67","","ENE","15","1019.6","27.9","38","","ENE","13","1015.6"
"","2016-03-17","15.8","34.1","0","","","NNW","37","09:07","19.7","70","","NNE","2","1012.2","33.0","23","","NNW","17","1006.2"
"","2016-03-18","14.9","18.5","10.0","","","SW","80","12:29","15.0","89","","W","13","995.8","18.0","60","","SW","43","1000.1"
"","2016-03-19","12.0","18.0","14.8","","","SW","44","01:23","15.5","62","","SW","19","1013.6","14.6","72","","WSW","20","1017.1"
"","2016-03-20","6.1","21.2","0","","","SSE","31","16:02","13.3","86",""," ","Calm","1021.1","20.3","50","","SSE","17","1019.9"
"","2016-03-21","12.8","21.2","0","","","S","35","14:56","17.0","70","","ESE","11","1022.1","20.0","58","","SSE","19","1020.4"
"","2016-03-22","13.0","24.8","0","","","ENE","30","10:57","16.9","75",""," ","Calm","1020.1","24.0","39","","ENE","9","1016.8"
"","2016-03-23","11.4","28.1","0","","","W","35","13:01","14.2","85",""," ","Calm","1016.0","25.1","32","","SSW","19","1015.4"
"","2016-03-24","14.2","20.5","0","","","SSW","24","14:14","17.2","85",""," ","Calm","1021.0","18.6","64","","SSW","15","1019.5"
"","2016-03-25","11.6","20.1","0","","","SW","35","12:11","16.7","74","","SW","13","1020.6","18.9","45","","SW","19","1019.5"
"","2016-03-26","9.1","19.9","0","","","SSW","31","14:04","16.5","78","","W","4","1019.5","18.6","69","","SSW","19","1019.1"
"","2016-03-27","14.1","19.4","2.2","","","SSW","28","15:27","15.8","57","","S","6","1021.5","18.7","47","","S","15","1020.8"
"","2016-03-28","7.4","18.9","0","","","SSE","30","14:39","15.2","59","","ESE","7","1020.4","17.5","49","","SSE","17","1018.7"
"","2016-03-29","14.3","17.3","0","","","SE","24","10:07","16.1","57","","SE","4","1021.1","16.7","51","","SSE","11","1020.3"
"","2016-03-30","13.4","19.1","0","","","SSW","33","12:21","16.2","63","","SSW","17","1020.2","17.5","50","","SSW","20","1019.8"
"","2016-03-31","7.9","22.8","0","","","W","26","13:44","14.9","77","","NNW","6","1019.6","22.0","49","","WNW","13","1017.3"
