"Daily Weather Observations for Charlton, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3092.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Charlton, but some from Kerang and St Arnaud."
"Temperature, humidity, wind, pressure and rainfall observations are from Charlton {station 080128}"
"Cloud observations are from Kerang {station 080023}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","12.2","33.6","0","","","N","28","10:44","19.6","61","0","ENE","6","1017.4","30.9","16","3","NW","11","1015.4"
"","2016-03-2","16.1","38.5","0","","","SE","43","22:04","24.0","25","1","E","6","1017.0","37.4","13","3","NW","7","1014.6"
"","2016-03-3","19.6","36.0","0.4","","","SE","31","02:14","21.3","68","7","SSE","9","1018.1","33.9","27","3","WNW","7","1016.3"
"","2016-03-4","21.1","39.5","0","","","NNW","39","14:23","25.5","44","1","NE","17","1016.1","37.0","19","5","NNW","19","1012.8"
"","2016-03-5","19.9","39.3","0","","","SSW","30","17:16","25.1","50","5","SSE","11","1017.1","37.6","19","6","S","6","1015.2"
"","2016-03-6","20.3","41.2","0","","","WSW","35","21:13","27.2","41","5","SE","13","1017.4","39.7","18","4","N","11","1014.0"
"","2016-03-7","24.2","41.0","0","","","SSE","44","16:51","28.8","38","4","E","15","1015.5","39.2","17","4","SSW","7","1014.3"
"","2016-03-8","22.1","40.3","0.6","","","N","43","17:00","27.1","46","1","ENE","15","1017.1","39.1","13","5","NW","15","1014.2"
"","2016-03-9","24.8","38.0","0","","","WSW","56","16:18","28.8","35","6","SW","7","1014.6","36.5","23","7","NW","7","1013.1"
"","2016-03-10","21.1","23.4","6.6","","","SE","33","13:06","21.8","87","7","SSE","15","1018.7","22.5","82","8","SSE","17","1016.1"
"","2016-03-11","18.7","32.2","1.6","","","SSW","20","16:56","21.7","86","4","SSE","7","1016.4","30.7","48","4","SW","6","1014.7"
"","2016-03-12","18.9","33.2","0.2","","","SW","28","14:54","21.6","83","6","SSE","7","1018.8","31.5","42","","SW","9","1017.7"
"","2016-03-13","16.9","34.3","0","","","ESE","24","08:09","19.9","76","5","SE","13","1019.2","32.0","29","3","SSW","9","1016.4"
"","2016-03-14","17.2","30.9","0","","","SSE","41","21:21","19.9","67","2","SSE","26","1019.0","29.8","30","5","SSE","19","1016.3"
"","2016-03-15","14.1","31.5","0","","","SSE","35","23:03","17.5","66","3","SE","20","1018.0","29.4","31","2","ENE","9","1015.3"
"","2016-03-16","17.5","32.9","0","","","ENE","33","08:36","22.3","59","1","ENE","19","1016.8","30.8","33","4","ENE","13","1013.7"
"","2016-03-17","21.1","32.9","0","","","NW","43","22:02","22.9","52","1","NE","15","1012.2","32.7","32","6","NE","19","1006.1"
"","2016-03-18","12.8","20.0","13.2","","","W","65","08:13","14.3","88","7","W","28","1000.7","17.6","63","6","WSW","22","1005.5"
"","2016-03-19","8.9","20.0","0.6","","","SSE","39","12:38","11.6","91","1","SW","9","1016.1","18.4","47","7","SSW","19","1016.4"
"","2016-03-20","11.1","22.9","0","","","SSE","35","08:36","14.5","64","0","S","17","1020.0","21.1","34","1","S","11","1018.2"
"","2016-03-21","10.8","25.6","0","","","SSE","28","16:09","14.7","72","0","SE","13","1020.2","24.3","26","0","SSE","13","1017.6"
"","2016-03-22","10.4","28.2","0","","","SSE","20","00:13","15.8","72","0","ESE","11","1018.8","26.1","25","1","S","6","1015.8"
"","2016-03-23","12.7","30.2","0","","","W","41","16:42","18.4","46","7","NNE","9","1016.9","29.3","17","7","WNW","13","1015.4"
"","2016-03-24","17.6","28.0","0","","","W","24","14:55","19.0","72","8"," ","Calm","1018.9","25.5","42","7","SW","11","1017.0"
"","2016-03-25","13.6","25.0","0","","","SSW","31","14:16","16.5","75","0","SSW","9","1020.0","23.9","29","2","SSW","17","1018.7"
"","2016-03-26","9.5","23.8","0","","","SSW","28","14:24","13.6","80","0","SSW","2","1021.0","21.3","48","2","SW","15","1019.5"
"","2016-03-27","11.4","23.3","0","","","SSE","31","12:38","14.8","66","1","S","13","1021.4","21.2","33","6","SSW","13","1018.7"
"","2016-03-28","11.4","20.9","0","","","SSE","33","01:44","13.3","63","6","S","11","1019.2","19.8","36","7","SSW","11","1017.5"
"","2016-03-29","8.9","23.1","0","","","SSE","31","08:48","13.9","64","1","S","13","1019.5","21.9","33","2","SSE","19","1017.4"
"","2016-03-30","9.4","21.9","0","","","SW","33","14:44","12.4","68","4","SSW","13","1021.0","21.6","29","3","SW","15","1018.9"
"","2016-03-31","7.4","24.0","0","","","SW","30","13:28","12.0","61","1"," ","Calm","1020.9","23.4","44","4","WSW","11","1017.9"
