"Daily Weather Observations for Coffs Harbour, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2030.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Prior to February 2015, observations were recorded against Coffs Harbour MO (site number 059040)."
"Observations were drawn from Coffs Harbour Airport {station 059151}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","19.8","27.4","0.2","","","WSW","30","08:28","20.7","91","8","SW","19","1021.4","26.0","62","7","SE","15","1020.3"
"","2016-03-2","20.0","28.1","0.4","","","NE","33","14:02","22.6","82","8","WSW","15","1021.4","27.4","71","8","NE","20","1019.7"
"","2016-03-3","21.4","27.7","0.8","","","ENE","39","12:14","25.2","79","4","NNE","7","1021.8","25.8","70","8","NE","24","1021.3"
"","2016-03-4","20.7","26.1","7.4","","","NNW","26","23:03","22.7","84","8","ESE","7","1022.2","25.5","66","8","NE","9","1020.2"
"","2016-03-5","17.8","27.6","2.2","","","E","28","12:50","23.0","79","","W","6","1021.9","27.2","54","","E","19","1020.4"
"","2016-03-6","17.3","27.8","0.6","","","NE","35","17:52","21.8","89","8","W","7","1022.7","27.2","67","","ESE","15","1021.0"
"","2016-03-7","20.3","28.7","0.4","","","NE","31","14:38","24.8","79","8","W","9","1022.5","27.8","61","","ENE","20","1020.5"
"","2016-03-8","18.8","28.2","0.2","","","","","","24.0","72","","WSW","17","1022.4","27.1","72","3","SSE","19","1021.4"
"","2016-03-9","21.0","28.8","19.0","","","NNE","41","15:31","25.3","84","8","WSW","7","1023.1","27.6","68","","NE","28","1020.7"
"","2016-03-10","20.1","30.2","0","","","NE","46","13:32","24.9","63","","NW","11","1021.5","27.4","68","","NE","35","1019.2"
"","2016-03-11","20.4","28.0","0","","","NNE","33","12:29","24.2","76","","W","2","1020.6","27.0","68","","NE","20","1018.5"
"","2016-03-12","19.5","28.7","0","","","NE","28","13:58","24.2","75","","NW","6","1020.6","28.1","66","8","ENE","17","1019.6"
"","2016-03-13","18.7","27.3","4.8","","","NNE","28","16:39","22.2","88","8","W","9","1020.5","26.4","74","","ESE","15","1018.1"
"","2016-03-14","20.2","28.6","0","","","NNE","35","14:14","23.6","83",""," ","Calm","1017.5","28.0","63","","NE","24","1014.0"
"","2016-03-15","19.5","28.3","0.2","","","SSW","33","11:20","23.5","81","1","SW","15","1016.8","27.6","61","","SSE","20","1015.5"
"","2016-03-16","20.5","27.2","1.4","","","SW","35","11:38","22.0","84","8","WSW","20","1016.7","25.2","72","7","S","28","1015.2"
"","2016-03-17","20.8","27.5","7.0","","","","","","23.5","75","7","SW","17","1015.4","26.2","67","","SSE","17","1011.7"
"","2016-03-18","18.2","31.5","","","","NNE","59","13:58","25.0","68","","NNW","15","1008.1","26.6","72","3","NNE","44","1002.4"
"","2016-03-19","22.3","25.6","6.4","","","S","50","05:14","23.2","63","8","SSW","28","1009.4","23.2","55","8","S","20","1009.5"
"","2016-03-20","19.5","25.9","0","","","SW","41","09:38","20.9","69","8","SW","19","1015.1","24.5","58","4","S","22","1013.6"
"","2016-03-21","17.9","24.2","11.6","","","S","56","11:17","21.0","77","","SW","28","1014.9","23.3","68","5","SSW","30","1013.2"
"","2016-03-22","18.1","25.2","0.4","","","SW","41","08:14","21.2","61","","SW","28","1015.1","24.3","63","3","SSE","28","1012.6"
"","2016-03-23","14.0","26.2","0","","","WSW","37","09:15","21.8","59","","SW","20","1017.2","25.5","57","","SSE","24","1015.9"
"","2016-03-24","14.9","26.5","0","","","SE","22","11:05","21.7","73","","WSW","9","1021.2","25.9","60","","ESE","15","1019.1"
"","2016-03-25","16.1","28.2","0","","","NE","44","13:35","23.1","71","","NW","13","1020.2","26.6","60","","NE","31","1015.7"
"","2016-03-26","18.7","27.1","0.4","","","ESE","30","18:26","21.4","87","8","SSW","9","1017.5","26.3","66","","SE","17","1015.4"
"","2016-03-27","20.2","25.7","3.4","","","NE","30","11:51","21.8","91","5","WSW","9","1017.5","24.0","77","2","NE","17","1016.4"
"","2016-03-28","17.6","27.6","0","","","NNE","43","14:12","23.6","77","","WNW","11","1019.4","26.5","65","","NE","31","1016.3"
"","2016-03-29","21.4","30.7","0","","","NE","50","12:19","25.0","66","","NNW","19","1018.6","26.6","69","8","NNE","35","1014.6"
"","2016-03-30","20.0","24.7","4.6","","","N","26","11:12","22.4","84","5","S","7","1016.4","23.3","75","8","NW","6","1014.4"
"","2016-03-31","14.4","26.8","0","","","SW","31","09:39","21.5","64","","WSW","15","1016.6","25.7","44","","SSE","20","1015.0"
