"Daily Weather Observations for Coldstream, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3016.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Coldstream {station 086383}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.0","34.5","0","","","N","39","11:06","19.0","81",""," ","Calm","1018.0","32.6","22","","NNW","17","1014.9"
"","2016-03-2","9.9","37.1","0","","","W","39","18:21","21.5","53","","ESE","2","1017.0","36.6","14","","ENE","17","1014.4"
"","2016-03-3","17.0","30.3","0","","","W","33","17:42","18.1","76","","SSE","9","1020.8","27.2","47","","SSW","9","1018.4"
"","2016-03-4","11.9","38.1","0","","","NW","61","17:02","20.5","69",""," ","Calm","1017.8","35.1","23","","N","19","1013.9"
"","2016-03-5","18.6","29.4","0","","","SSE","28","15:01","21.0","82","","SW","9","1019.5","27.2","57","","SSE","15","1018.9"
"","2016-03-6","15.7","34.7","0","","","SE","31","16:10","18.3","85","","NNW","2","1020.4","33.7","36","","S","7","1016.7"
"","2016-03-7","16.4","28.8","0","","","SE","28","14:05","19.9","80","","N","4","1019.2","28.1","57","","SSE","13","1019.5"
"","2016-03-8","18.5","39.9","0","","","N","35","13:29","21.0","82","","ENE","6","1019.5","38.5","19","","N","20","1015.2"
"","2016-03-9","19.3","32.3","0","","","WSW","35","12:54","29.6","33","","NNE","15","1014.3","29.2","51","","SSE","11","1015.7"
"","2016-03-10","18.1","20.8","1.4","","","SE","28","23:16","18.3","97","","WNW","7","1021.7","20.7","93","","W","9","1019.1"
"","2016-03-11","18.1","30.8","10.0","","","S","28","20:58","19.6","99",""," ","Calm","1017.6","28.6","58","","NW","7","1015.2"
"","2016-03-12","17.7","24.6","0","","","SE","24","15:50","19.5","94",""," ","Calm","1020.2","24.4","69","","SE","9","1019.8"
"","2016-03-13","17.9","28.4","0","","","WSW","30","16:04","18.4","87","","SSE","9","1020.9","26.2","57","","WNW","9","1018.0"
"","2016-03-14","17.2","22.2","0.6","","","S","35","13:58","18.1","84","","S","11","1020.7","19.5","66","","SSE","20","1019.8"
"","2016-03-15","9.0","28.1","0","","","SE","52","12:42","14.2","88","","NW","6","1020.2","27.0","44","","SE","31","1017.1"
"","2016-03-16","11.0","31.9","0","","","SE","31","17:43","15.3","90","","NNW","2","1019.2","29.8","36","","NNE","7","1015.0"
"","2016-03-17","13.0","32.8","0","","","N","41","12:17","24.5","53","","N","13","1013.5","30.9","33","","NNE","17","1007.2"
"","2016-03-18","14.5","18.7","10.2","","","NW","89","06:30","14.6","92","","W","19","998.2","17.7","58","","SW","39","1001.5"
"","2016-03-19","9.9","17.6","22.6","","","SW","35","13:37","11.2","98","","N","7","1014.4","15.5","68","","SSW","19","1016.6"
"","2016-03-20","7.0","23.2","2.8","","","SE","31","19:54","9.6","92","","NW","2","1020.6","21.7","38","","SSE","9","1018.7"
"","2016-03-21","5.8","23.6","0","","","SE","35","15:09","10.4","94","","NNW","7","1021.6","22.5","48","","SSE","19","1018.7"
"","2016-03-22","6.0","26.3","0","","","SSE","20","23:17","10.8","99",""," ","Calm","1020.2","24.5","36","","SSW","6","1016.4"
"","2016-03-23","7.3","26.3","0","","","N","28","11:44","12.6","99",""," ","Calm","1017.1","26.0","36","","NE","15","1015.5"
"","2016-03-24","12.6","20.3","0","","","SSE","24","19:42","16.1","91","","SE","6","1020.9","19.0","75","","NNE","7","1018.9"
"","2016-03-25","11.2","21.2","0","","","SW","35","13:04","14.6","90","","ESE","2","1020.7","20.8","51","","SW","19","1019.1"
"","2016-03-26","8.5","20.1","0","","","SSW","17","15:05","12.2","92",""," ","Calm","1020.4","19.0","62","","SSW","6","1019.3"
"","2016-03-27","12.2","20.4","0","","","S","37","17:17","14.9","75","","S","11","1021.3","19.2","45","","SSE","13","1020.1"
"","2016-03-28","11.2","19.6","0","","","SSE","33","08:53","14.2","64","","SSE","13","1019.4","18.2","52","","SE","19","1017.4"
"","2016-03-29","13.6","19.5","0","","","SE","39","09:10","14.8","63","","SSE","15","1019.8","18.0","57","","SSE","19","1018.8"
"","2016-03-30","13.2","17.0","0","","","S","24","11:27","13.4","86","","SW","6","1020.4","16.7","59","","SSE","9","1019.3"
"","2016-03-31","1.9","23.3","0","","","S","19","14:32","8.4","99",""," ","Calm","1020.6","22.0","46","","SW","6","1017.4"
