"Daily Weather Observations for Combienbar, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3017.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Combienbar AWS {station 084143}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.1","31.8","0","","","N","30","04:42","20.1","69","","SSE","4","1019.0","29.4","35","","SSW","2","1016.6"
"","2016-03-2","19.3","32.7","0","","","NW","19","10:51","25.5","38","","N","2","1018.6","31.9","25","","NW","4","1017.4"
"","2016-03-3","15.5","29.7","0","","","NNW","41","22:13","17.2","83",""," ","Calm","1022.1","27.1","60","","NNE","2","1019.9"
"","2016-03-4","17.0","33.0","0","","","NNW","19","22:38","27.5","44",""," ","Calm","1020.1","31.5","30","","E","6","1018.3"
"","2016-03-5","23.7","34.2","0","","","NNW","26","23:56","27.7","38","","WSW","2","1019.2","30.9","51","","SSW","4","1019.3"
"","2016-03-6","18.6","34.5","0","","","NNE","24","17:16","23.8","66",""," ","Calm","1021.1","33.8","34","","SSW","2","1019.1"
"","2016-03-7","20.9","28.8","0","","","SW","9","14:42","26.6","26",""," ","Calm","1019.9","28.6","57","","SW","4","1020.7"
"","2016-03-8","16.6","35.7","0","","","N","35","22:33","22.5","72",""," ","Calm","1022.5","33.5","35","","S","2","1019.9"
"","2016-03-9","19.4","32.5","0","","","WNW","39","08:44","25.9","37","","NW","6","1017.2","29.6","39","","SW","2","1017.3"
"","2016-03-10","17.2","25.4","0","","","NE","20","21:09","17.6","87",""," ","Calm","1023.5","22.9","71","","NNE","4","1020.7"
"","2016-03-11","17.3","25.7","0.2","","","N","20","05:44","19.9","79","","NW","4","1018.0","24.6","74",""," ","Calm","1017.0"
"","2016-03-12","18.0","24.2","0","","","ENE","6","08:04","20.2","93",""," ","Calm","1020.4","22.8","84",""," ","Calm","1020.0"
"","2016-03-13","17.4","25.9","4.2","","","ENE","13","10:52","18.1","98",""," ","Calm","1021.1","25.5","72",""," ","Calm","1018.5"
"","2016-03-14","16.5","21.7","3.6","","","SSW","9","11:55","16.6","98",""," ","Calm","1019.2","19.3","82","","SSW","2","1018.6"
"","2016-03-15","12.9","15.2","1.0","","","E","20","02:53","13.3","96","","SSE","2","1023.1","14.2","95","","E","2","1022.8"
"","2016-03-16","12.8","24.1","0.8","","","NE","19","22:49","15.1","93","","NNE","4","1022.3","23.6","54","","NNE","2","1019.3"
"","2016-03-17","12.5","27.2","0.8","","","NNE","20","20:42","18.7","78","","NNE","4","1015.1","26.9","53","","NNE","2","1011.0"
"","2016-03-18","17.7","21.3","1.4","","","NNE","48","05:41","17.9","78","","NE","6","993.9","13.4","98",""," ","Calm","992.9"
"","2016-03-19","8.4","13.1","0.4","","","SW","31","07:36","8.7","80","","SW","11","1009.7","11.3","79","","SW","4","1012.7"
"","2016-03-20","7.9","15.9","0.2","","","W","9","13:00","10.5","93","","WNW","2","1019.4","15.6","70","","SW","2","1018.8"
"","2016-03-21","9.0","15.3","0.2","","","","","","10.4","95",""," ","Calm","1020.4","13.3","93",""," ","Calm","1019.0"
"","2016-03-22","9.6","17.6","0","","","E","7","23:03","11.4","97",""," ","Calm","1020.2","16.5","73",""," ","Calm","1017.8"
"","2016-03-23","9.9","22.5","0.2","","","SW","20","10:41","15.8","61",""," ","Calm","1016.4","20.5","53","","SW","4","1016.2"
"","2016-03-24","14.7","18.0","0","","","WNW","7","23:38","15.2","67",""," ","Calm","1020.6","17.6","72",""," ","Calm","1019.1"
"","2016-03-25","13.0","17.4","0","","","SW","9","22:12","13.3","98",""," ","Calm","1018.0","16.0","83","","SW","2","1016.5"
"","2016-03-26","9.1","18.7","0","","","SSE","7","10:14","11.7","80",""," ","Calm","1018.1","17.8","66",""," ","Calm","1016.5"
"","2016-03-27","10.5","12.4","0.2","","","WSW","11","04:37","10.8","97",""," ","Calm","1019.5","12.0","91",""," ","Calm","1018.6"
"","2016-03-28","9.0","16.1","0","","","E","7","12:08","9.8","96",""," ","Calm","1019.7","12.8","88",""," ","Calm","1017.1"
"","2016-03-29","9.7","14.3","0","","","NE","9","19:32","11.3","98",""," ","Calm","1020.1","13.7","96",""," ","Calm","1018.3"
"","2016-03-30","11.3","13.4","0","","","SW","26","19:30","12.1","98","","SSW","2","1015.6","12.7","98","","SW","2","1014.2"
"","2016-03-31","8.9","17.3","0.2","","","W","22","01:01","10.5","91",""," ","Calm","1017.8","16.3","71",""," ","Calm","1016.5"
