"Daily Weather Observations for Coolangatta, Queensland for March 2016"
"Prepared at 13:05 GMT on Thursday 14 April 2016   IDCJDW4036.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Averages for Southport should be used as a guide only."
"Observations were drawn from Coolangatta {station 040717}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","21.2","25.8","67.0","","","SE","37","09:26","22.4","97","8","S","17","1018.8","22.2","97","8","S","17","1017.9"
"","2016-03-2","21.0","28.4","54.4","","","ENE","37","10:28","25.5","81","6","SE","9","1020.2","26.8","72","8","ENE","20","1018.7"
"","2016-03-3","21.5","28.3","13.6","","","NE","28","11:26","24.6","83","8","SSE","9","1021.6","26.5","68","6","ENE","17","1019.6"
"","2016-03-4","19.8","28.0","0.2","","","SE","33","10:36","24.3","82","8","SSW","9","1021.4","27.0","56","","SSE","19","1018.6"
"","2016-03-5","18.9","26.6","0","","","SE","35","11:18","25.2","68","2","S","17","1021.0","23.1","83","8","E","15","1019.1"
"","2016-03-6","18.9","28.5","0.8","","","SE","39","18:20","25.3","72","","S","13","1021.5","27.5","63","4","SE","20","1019.0"
"","2016-03-7","21.0","28.0","11.2","","","ESE","31","13:08","25.6","75","6","SSE","11","1021.4","26.5","66","5","SE","22","1019.2"
"","2016-03-8","21.8","28.7","4.4","","","SE","44","11:02","24.3","90","8","SSW","17","1020.0","26.8","71","8","ENE","24","1019.2"
"","2016-03-9","22.4","28.9","3.4","","","E","37","02:24","27.3","69","3","E","20","1022.2","26.9","64","6","E","20","1019.8"
"","2016-03-10","19.6","29.2","0.2","","","SE","31","09:58","26.2","72","","SSE","17","1021.4","28.3","67","","SE","20","1018.8"
"","2016-03-11","22.3","29.1","0.8","","","E","33","11:02","27.8","67","5","E","15","1020.0","27.6","67","8","E","19","1017.7"
"","2016-03-12","20.6","29.6","0","","","SE","43","12:08","26.5","67","","SE","19","1019.8","26.6","63","8","SSE","26","1017.5"
"","2016-03-13","22.8","27.4","4.6","","","ESE","35","06:16","24.5","91","8","SSW","11","1018.1","26.3","75","8","E","20","1015.8"
"","2016-03-14","21.4","28.7","16.4","","","SE","31","11:56","26.7","73","1","S","13","1016.3","27.7","64","3","E","22","1013.2"
"","2016-03-15","20.6","29.1","0.2","","","SE","54","18:30","26.0","70","","S","20","1014.4","26.8","68","5","SSE","26","1012.7"
"","2016-03-16","21.5","26.5","57.4","","","SSE","39","14:20","23.6","86","8","SSW","20","1014.6","23.8","83","8","S","22","1013.0"
"","2016-03-17","21.1","28.7","8.8","","","SE","39","12:41","25.9","73","","S","19","1013.3","25.8","70","8","SSE","20","1010.0"
"","2016-03-18","19.6","28.4","1.6","","","NNW","35","20:28","25.5","69","8","SSE","7","1009.4","27.6","68","","N","24","1004.7"
"","2016-03-19","22.3","30.0","4.8","","","SE","46","14:09","27.3","74","","S","2","1007.3","25.9","77","8","SSE","24","1007.0"
"","2016-03-20","21.3","27.9","0.4","","","SSE","43","15:15","24.6","68","3","SSW","20","1012.4","25.7","68","8","SSE","30","1010.7"
"","2016-03-21","20.8","27.7","0.6","","","SSE","44","12:35","24.9","69","","S","19","1013.1","25.0","68","1","SSE","26","1010.0"
"","2016-03-22","18.9","27.4","0","","","S","43","09:14","23.0","65","","SSW","28","1013.3","25.5","60","","SSE","28","1011.5"
"","2016-03-23","18.2","27.9","0.2","","","ESE","35","14:14","24.3","53","2","SSW","17","1017.3","25.9","58","","ESE","22","1014.8"
"","2016-03-24","18.0","28.0","0","","","SE","35","14:32","25.4","62","","SSW","9","1021.0","26.3","61","4","E","20","1018.1"
"","2016-03-25","17.4","27.2","0","","","NE","26","12:57","25.4","61","","S","9","1019.9","26.1","56","","ENE","17","1016.2"
"","2016-03-26","18.4","28.1","0","","","S","31","19:24","26.1","60","","NW","15","1017.2","27.0","65","","NNE","22","1014.0"
"","2016-03-27","19.4","25.6","10.4","","","NNE","22","14:55","21.9","82","7","SSW","9","1017.3","23.4","79","8","NNE","19","1015.7"
"","2016-03-28","18.8","27.4","0.4","","","ESE","31","12:39","25.3","70","2","S","13","1019.2","27.1","55","","ENE","15","1016.4"
"","2016-03-29","18.9","28.1","0","","","NNW","31","22:29","26.8","65","","WNW","11","1019.2","26.8","63","","NE","19","1016.0"
"","2016-03-30","21.8","29.2","0","","","S","35","13:51","26.0","61","","NNW","20","1016.7","20.7","89","8","SSE","13","1014.8"
"","2016-03-31","18.1","28.6","5.0","","","ESE","33","14:34","25.4","67","","SSE","11","1016.4","25.7","52","8","ESE","24","1014.1"
