"Daily Weather Observations for Cranbourne, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3019.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Cranbourne, pressure taken from Moorabbin."
"Moorabbin is several kilometres WNW of Cranbourne, so the pressures will sometimes be different."
"Temperature, humidity, wind, cloud, evaporation and rainfall observations are from Cranbourne Botanic Gardens {station 086375}"
"Pressure observations are from Moorabbin Airport {station 086077}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.0","33.8","0","4.2","","","","","18.7","85","1","NW","7","1017.8","","","","","","1014.5"
"","2016-03-2","15.8","35.6","0","8.0","","","","","23.9","50","3","ENE","9","1016.6","","","","","","1014.5"
"","2016-03-3","15.2","24.2","0.2","7.2","","","","","17.9","74","4","SE","22","1021.2","","","","","","1018.7"
"","2016-03-4","13.5","35.9","0","6.2","","","","","19.0","71","1","SE","9","1017.9","","","","","","1013.5"
"","2016-03-5","18.7","21.4","0.1","4.1","","","","","19.0","96","3","S","2","1019.3","","","","","","1019.9"
"","2016-03-6","18.3","25.5","0","3.2","","","","","18.3","85","3","SSE","2","1020.4","","","","","","1018.0"
"","2016-03-7","16.6","25.5","0.2","4.6","","","","","19.5","91","6","E","4","1019.2","","","","","","1020.4"
"","2016-03-8","18.5","39.2","0","5.2","","","","","21.1","91","7","NE","9","1019.5","","","","","","1014.2"
"","2016-03-9","21.1","28.5","0","8.6","","","","","27.3","42","8","W","28","1015.4","","","","","","1016.7"
"","2016-03-10","16.7","21.3","1.4","3.6","","","","","17.6","92","8","SSE","19","1021.6","","","","","","1019.6"
"","2016-03-11","17.6","28.3","6.2","0.0","","","","","20.9","95","8","WNW","9","1017.4","","","","","","1016.0"
"","2016-03-12","16.6","22.5","0","5.2","","","","","19.2","93","3","S","2","1020.2","","","","","","1020.3"
"","2016-03-13","16.6","24.2","0","3.0","","","","","18.7","87","","SE","15","1021.0","","","","","","1018.8"
"","2016-03-14","17.1","21.5","0","2.2","","","","","18.5","79","6","S","7","1020.9","","","","","","1020.5"
"","2016-03-15","11.9","24.0","0","4.0","","","","","18.1","80","6","ESE","46","1020.4","","","","","","1018.2"
"","2016-03-16","15.5","29.3","0","5.0","","","","","19.0","76","2","SW","9","1019.2","","","","","","1014.9"
"","2016-03-17","13.8","","0","6.4","","","","","24.9","47","3","NW","28","1012.1","","","","","","1006.4"
"","2016-03-18","14.6","19.1","21.6","8.7","","","","","14.6","96","8","SW","28","997.4","","","","","","1002.0"
"","2016-03-19","10.5","17.5","14.1","24.9","","","","","14.7","74","3","SSW","2","1014.1","","","","","","1016.8"
"","2016-03-20","7.5","22.2","0.7","5.5","","","","","11.5","86","","SE","15","1020.8","","","","","","1019.1"
"","2016-03-21","9.6","22.3","0","3.2","","","","","13.8","85","0","ESE","22","1021.7","","","","","","1019.5"
"","2016-03-22","10.6","25.4","0","4.5","","","","","14.8","86","0","ENE","19","1020.0","","","","","","1016.6"
"","2016-03-23","10.3","28.4","0","4.0","","","","","16.3","72","7","NW","6","1016.3","","","","","","1015.3"
"","2016-03-24","15.0","21.2","0","4.0","","","","","16.8","91","6","SE","6","1021.0","","","","","","1018.8"
"","2016-03-25","12.7","21.3","0","3.2","","","","","15.9","80","3","S","2","1020.8","","","","","","1019.9"
"","2016-03-26","11.9","20.5","0","3.2","","","","","16.2","83","3","WSW","4","1020.0","","","","","","1019.4"
"","2016-03-27","12.0","19.4","0.7","2.2","","","","","16.4","56","","S","2","1021.5","","","","","","1020.5"
"","2016-03-28","7.5","18.3","0","4.2","","","","","14.0","63","","SE","6","1020.4","","","","","","1018.2"
"","2016-03-29","13.2","17.1","0","4.0","","","","","15.0","63","8","SE","9","1020.8","","","","","","1019.8"
"","2016-03-30","12.9","17.8","0.8","2.8","","","","","13.5","89","8","SSE","19","1020.5","","","","","","1019.8"
"","2016-03-31","9.1","22.0","0","2.4","","","","","12.5","77","6","W","4","1020.1","","","","","","1017.7"
