"Daily Weather Observations for Dartmoor, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3101.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Dartmoor, but evaporation and sunshine from Mt Gambier."
"Mt Gambier is about 50 km to the west of Dartmoor, and conditions may differ markedly between the two on any given day; the results for evaporation and sunshine, and the climate averages listed below, should be used with caution."
"Temperature, humidity, wind, pressure and rainfall observations are from Dartmoor {station 090194}"
"Evaporation and sunshine observations are from Mount Gambier Aero {station 026021}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","11.5","32.1","0","4.2","9.7","SSW","37","13:09","15.1","91","","NNW","4","1016.6","28.4","32","","SSW","15","1014.9"
"","2016-03-2","11.8","25.1","0","5.8","10.8","SSW","33","15:22","14.7","88",""," ","Calm","1017.0","24.9","60","","SW","17","1017.5"
"","2016-03-3","10.9","27.3","0","6.0","11.2","S","41","16:56","15.3","82","","SE","7","1021.6","25.9","45","","SE","13","1018.9"
"","2016-03-4","13.0","30.4","0","3.6","11.3","SSW","33","13:44","18.2","73","","ESE","13","1017.2","27.1","53","","SW","24","1014.9"
"","2016-03-5","14.4","26.5","0","6.4","8.2","SE","33","08:59","17.2","82","","S","9","1020.2","25.3","48","","SE","17","1019.5"
"","2016-03-6","15.7","28.3","0","4.6","7.9","ESE","43","18:41","18.3","75","","E","13","1018.6","26.8","46","","SE","24","1018.2"
"","2016-03-7","17.6","25.7","0","4.8","3.2","ESE","52","13:36","18.3","85","","SE","24","1020.0","23.0","57","","SE","37","1019.9"
"","2016-03-8","16.9","35.5","0","4.0","7.8","SW","54","17:43","18.2","83","","E","13","1017.3","32.9","33","","SSW","7","1013.7"
"","2016-03-9","17.4","26.2","0","3.4","1.6","SE","31","21:13","19.0","90","","SSE","4","1017.0","25.2","63","","SSE","11","1016.8"
"","2016-03-10","15.7","22.4","1.0","3.2","0.4","SE","30","01:47","15.9","94","","SE","15","1020.1","18.1","90","","ESE","15","1018.2"
"","2016-03-11","15.9","27.9","0.4","0.8","6.1","S","30","14:19","18.1","96","","E","6","1017.4","26.0","64","","SW","11","1016.2"
"","2016-03-12","16.6","20.7","0.2","3.6","1.2","SE","28","21:53","16.6","96","","S","13","1021.3","19.9","80","","S","15","1021.5"
"","2016-03-13","16.1","24.6","0","2.4","6.5","SE","31","00:42","17.1","85","","E","11","1020.8","23.5","59","","SE","15","1019.3"
"","2016-03-14","14.7","19.5","0","4.2","4.3","SE","48","22:59","15.2","81","","SSE","20","1022.4","17.9","58","","SE","26","1022.4"
"","2016-03-15","13.7","27.8","0","4.0","10.1","SE","46","23:12","17.1","80","","SE","15","1020.9","27.2","41","","E","20","1017.5"
"","2016-03-16","13.5","33.4","0","5.2","10.7","W","39","15:34","16.2","80","","E","9","1016.7","32.2","26","","W","11","1012.8"
"","2016-03-17","13.2","35.4","0","6.8","5.6","WNW","67","15:56","23.8","50","","NNE","15","1008.6","34.3","24","","NNW","26","1002.5"
"","2016-03-18","12.0","17.6","25.2","7.6","5.9","SW","56","14:42","13.1","86","","WSW","11","1002.6","16.8","55","","SW","31","1008.3"
"","2016-03-19","8.8","17.6","1.2","3.0","2.4","S","35","09:55","11.9","96",""," ","Calm","1017.0","16.8","60","","SSE","22","1018.9"
"","2016-03-20","8.9","18.1","0","2.6","0.6","SSE","30","16:42","10.9","97",""," ","Calm","1022.4","16.8","60","","SSE","19","1021.9"
"","2016-03-21","7.1","22.4","0","1.2","10.3","ESE","44","13:27","11.5","97","","ESE","6","1022.4","21.8","49","","SE","17","1019.7"
"","2016-03-22","8.5","26.1","0","5.2","10.4","WNW","28","13:45","12.3","96","","E","6","1018.9","25.4","37","","WSW","7","1015.9"
"","2016-03-23","12.2","22.2","0","5.0","2.1","SSW","26","15:41","13.9","87",""," ","Calm","1015.9","20.9","51","","SSW","15","1016.9"
"","2016-03-24","13.6","18.0","0.6","1.2","0.1","SSW","24","14:13","15.0","88","","S","7","1021.9","17.1","73","","SSW","13","1020.5"
"","2016-03-25","8.2","20.1","0","2.4","4.2","SSW","33","16:39","11.4","91","","N","2","1021.9","19.0","56","","SW","11","1021.3"
"","2016-03-26","11.3","19.3","0","2.2","2.1","SW","31","13:45","14.5","93","","WNW","7","1021.1","16.6","79","","SSW","20","1021.2"
"","2016-03-27","12.3","17.3","0","1.4","0.0","SSW","30","14:43","13.2","83","","SSW","6","1023.4","16.8","50","","SSE","15","1022.3"
"","2016-03-28","10.9","17.9","0","2.6","0.0","S","28","17:53","11.9","83",""," ","Calm","1021.2","17.1","53","","S","13","1020.5"
"","2016-03-29","11.0","17.4","0","0.6","0.9","SSE","26","15:25","11.9","88","","WSW","7","1023.0","16.6","57","","SSE","13","1021.9"
"","2016-03-30","11.1","19.9","0","3.2","2.3","W","26","15:30","12.0","82",""," ","Calm","1022.6","18.7","50","","SW","11","1021.1"
"","2016-03-31","11.9","22.9","0","1.8","6.2","NW","39","12:38","12.9","97","","NNW","9","1020.1","22.2","51","","NW","20","1017.4"
