"Daily Weather Observations for Dorrigo, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2040.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Dorrigo (Old Coramba Rd) {station 059140}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.0","22.0","0.8","","","","","","17.0","95","8","S","4","","","","","","",""
"","2016-03-2","13.8","25.0","0.6","","","","","","18.0","90","8"," ","Calm","","","","","","",""
"","2016-03-3","17.3","24.5","1.2","","","","","","19.0","90","4","N","4","","","","","","",""
"","2016-03-4","16.0","22.2","2.2","","","","","","18.0","90","8","N","4","","","","","","",""
"","2016-03-5","15.5","24.0","0","","","","","","17.5","89","5"," ","Calm","","","","","","",""
"","2016-03-6","13.6","24.3","0","","","","","","17.7","93","7"," ","Calm","","","","","","",""
"","2016-03-7","15.7","25.0","1.2","","","","","","18.0","92","6","N","4","","","","","","",""
"","2016-03-8","13.5","24.5","0","","","","","","18.5","90","3"," ","Calm","","","","","","",""
"","2016-03-9","17.0","24.5","10.4","","","","","","18.0","95","8"," ","Calm","","","","","","",""
"","2016-03-10","14.5","26.0","1.4","","","","","","19.5","71","2","N","7","","","","","","",""
"","2016-03-11","15.0","25.0","0","","","","","","18.0","95","7","N","4","","","","","","",""
"","2016-03-12","15.2","24.6","0","","","","","","17.2","98","0"," ","Calm","","","","","","",""
"","2016-03-13","13.4","24.8","0","","","","","","15.8","96","8"," ","Calm","","","","","","",""
"","2016-03-14","15.5","28.0","0.8","","","","","","19.0","90","0"," ","Calm","","","","","","",""
"","2016-03-15","16.5","23.5","0","","","","","","19.0","90","7","N","4","","","","","","",""
"","2016-03-16","16.3","21.0","1.4","","","","","","16.5","100","8"," ","Calm","","","","","","",""
"","2016-03-17","16.0","23.5","17.4","","","","","","17.5","93","7","S","4","","","","","","",""
"","2016-03-18","14.5","25.9","0","","","","","","18.0","85","0","NW","11","","","","","","",""
"","2016-03-19","16.0","25.7","3.4","","","","","","16.3","98","8"," ","Calm","","","","","","",""
"","2016-03-20","13.4","19.0","1.0","","","","","","14.0","89","8","S","4","","","","","","",""
"","2016-03-21","13.8","17.3","2.0","","","","","","15.0","93","7","S","4","","","","","","",""
"","2016-03-22","12.0","20.5","2.2","","","","","","15.0","74","0","S","9","","","","","","",""
"","2016-03-23","11.0","22.3","0","","","","","","15.5","75","0","S","7","","","","","","",""
"","2016-03-24","10.5","23.5","0","","","","","","13.7","94","0"," ","Calm","","","","","","",""
"","2016-03-25","11.2","25.0","0","","","","","","16.0","85","0","N","9","","","","","","",""
"","2016-03-26","14.5","23.4","0","","","","","","18.0","90","5"," ","Calm","","","","","","",""
"","2016-03-27","16.0","22.0","0","","","","","","17.0","98","7"," ","Calm","","","","","","",""
"","2016-03-28","13.3","24.0","0.4","","","","","","16.0","95","0","NW","4","","","","","","",""
"","2016-03-29","15.8","26.0","0","","","","","","18.0","85","1","N","6","","","","","","",""
"","2016-03-30","14.5","20.5","8.4","","","","","","16.5","95","8"," ","Calm","","","","","","",""
"","2016-03-31","12.5","22.0","0.6","","","","","","16.5","61","0"," ","Calm","","","","","","",""
