"Daily Weather Observations for Sale, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3022.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from East Sale Airport {station 085072}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.9","32.5","0.6","","","ENE","33","15:01","20.3","88","","NE","6","1018.3","31.2","31","","ESE","15","1014.7"
"","2016-03-2","14.1","36.0","0","","","SE","41","15:27","20.7","74","","WNW","11","1017.0","35.4","18","","WSW","13","1014.7"
"","2016-03-3","16.1","25.4","0","","","ESE","35","12:03","17.0","86","7","E","15","1021.5","23.5","57","","SE","20","1019.7"
"","2016-03-4","15.5","30.2","0.2","","","E","37","16:56","18.5","94","8","NW","7","1019.7","28.4","55","4","E","22","1015.5"
"","2016-03-5","16.8","26.5","0.2","","","S","31","12:58","22.0","83","","WSW","13","1018.3","26.1","63","5","SSE","9","1019.1"
"","2016-03-6","17.0","28.0","0","","","SE","31","13:20","19.7","83","8","SSE","2","1021.1","26.0","61","","ESE","20","1018.6"
"","2016-03-7","18.0","26.7","0","","","S","31","13:34","20.3","93","8","WNW","7","1020.9","24.1","74","8","SE","20","1020.8"
"","2016-03-8","19.1","28.9","0","","","ESE","37","13:09","22.4","90","8","E","17","1022.1","27.7","59","","E","24","1018.3"
"","2016-03-9","15.8","32.6","0","","","W","43","10:29","22.5","87","","NNW","9","1013.8","31.1","36","4","WSW","24","1015.0"
"","2016-03-10","18.6","23.5","3.2","","","ESE","35","22:02","20.0","96","8","ENE","17","1021.5","22.6","85","7","E","22","1019.3"
"","2016-03-11","18.7","29.6","13.6","","","W","30","06:20","21.4","91","8","WSW","13","1017.2","27.3","68","1","ESE","20","1015.1"
"","2016-03-12","19.7","23.8","10.6","","","SSE","22","12:29","19.9","92","8","S","13","1020.5","23.5","76","8","SSE","9","1020.1"
"","2016-03-13","19.2","24.3","0","","","ESE","26","15:39","19.7","93","8","SE","9","1021.3","22.3","81","7","ESE","13","1019.0"
"","2016-03-14","16.9","22.4","0","","","SSE","31","14:23","18.9","89","8","SSW","17","1019.9","19.6","73","8","SE","22","1019.8"
"","2016-03-15","16.3","20.3","0.6","","","ESE","54","15:21","18.4","79","8","ESE","30","1024.2","18.1","86","8","ESE","31","1023.6"
"","2016-03-16","17.2","24.7","1.4","","","E","48","15:22","20.3","69","6","ENE","22","1022.1","24.2","58","","E","33","1018.8"
"","2016-03-17","12.2","29.5","0","","","","","","18.0","94","","ESE","6","1014.2","29.2","44","","E","22","1008.3"
"","2016-03-18","16.3","18.7","7.0","","","W","89","14:44","18.2","95","8","S","9","992.7","16.7","83","8","W","52","994.9"
"","2016-03-19","10.7","19.0","19.6","","","W","39","03:00","12.7","84","8","W","11","1012.9","18.0","48","8","SW","26","1015.3"
"","2016-03-20","7.7","19.5","0.2","","","E","33","14:10","11.3","81","1","WNW","13","1022.2","19.3","60","8","E","17","1021.3"
"","2016-03-21","7.9","20.6","0.8","","","SE","35","13:55","11.1","98","8","W","9","1023.1","17.3","73","8","SE","26","1021.6"
"","2016-03-22","10.8","21.5","1.0","","","E","35","15:07","14.9","98","3","NE","2","1021.7","21.2","55","","E","26","1018.4"
"","2016-03-23","8.0","26.1","0","","","WNW","28","14:07","10.6","98","5","WNW","9","1017.2","25.6","44","8","W","15","1015.5"
"","2016-03-24","10.6","20.8","0","","","E","24","14:37","16.3","92","4","WSW","6","1020.9","20.6","71","8","N","9","1019.5"
"","2016-03-25","15.0","23.0","0.2","","","WSW","37","14:33","15.8","85","8","SSW","9","1020.3","22.2","52","3","WSW","20","1017.8"
"","2016-03-26","8.4","21.7","0","","","WSW","41","16:15","13.2","86","8","NW","9","1020.0","20.0","64","8","WSW","19","1018.0"
"","2016-03-27","12.3","20.2","0","","","S","28","13:08","14.5","88","8","WNW","11","1021.6","17.4","62","8","S","20","1020.7"
"","2016-03-28","12.7","17.0","0","","","SSE","22","15:18","13.7","78","8"," ","Calm","1021.3","16.5","60","8","SE","11","1019.2"
"","2016-03-29","13.3","17.3","0","","","SE","20","11:34","14.2","77","8","WNW","2","1021.8","16.1","70","8","SE","11","1020.4"
"","2016-03-30","12.9","16.0","1.2","","","W","37","09:29","13.0","95","8","W","28","1018.7","15.1","94","8","WSW","17","1018.0"
"","2016-03-31","12.7","22.8","0.2","","","WNW","31","12:15","13.7","74","1","WNW","13","1020.0","21.2","54","","W","13","1017.3"
