"Daily Weather Observations for Echuca, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3023.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Echuca Aerodrome {station 080015}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.0","35.0","0","","","","","","18.5","78","0","E","6","1017.9","","","","","",""
"","2016-03-2","14.9","39.0","0","","","","","","22.3","44","1","SE","6","1017.0","","","","","",""
"","2016-03-3","20.7","39.0","0","","","","","","23.8","55","7","E","7","1017.2","","","","","",""
"","2016-03-4","19.4","39.5","0","","","","","","23.5","60","1","NE","11","1017.8","","","","","",""
"","2016-03-5","19.6","40.5","0","","","","","","26.0","55","3","E","7","1017.1","","","","","",""
"","2016-03-6","20.8","40.7","0","","","","","","24.5","57","3","SE","11","1017.9","","","","","",""
"","2016-03-7","21.0","41.8","0","","","","","","24.9","55","3","ESE","6","1016.8","","","","","",""
"","2016-03-8","19.4","41.1","0","","","","","","26.4","46","1","NE","11","1018.2","","","","","",""
"","2016-03-9","","39.1","0","","","","","","28.6","36","3","NNE","9","1014.8","","","","","",""
"","2016-03-10","21.0","31.5","0.4","","","","","","21.7","84","7","SSE","9","1018.1","","","","","",""
"","2016-03-11","19.9","34.5","0.4","","","","","","22.9","82","6","SE","6","1016.4","","","","","",""
"","2016-03-12","19.9","33.8","0","","","","","","23.7","70","3","SSE","7","1018.1","","","","","",""
"","2016-03-13","17.7","34.6","0","","","","","","21.5","70","2","SSE","7","1018.9","","","","","",""
"","2016-03-14","16.5","31.5","0","","","","","","20.3","72","1","S","17","1018.2","","","","","",""
"","2016-03-15","13.5","32.5","0","","","","","","17.9","64","1","SSE","7","1017.8","","","","","",""
"","2016-03-16","17.2","32.7","0","","","","","","22.1","61","1","NE","9","1017.8","","","","","",""
"","2016-03-17","19.4","32.5","0","","","","","","23.0","56","1","ENE","15","1019.8","","","","","",""
"","2016-03-18","14.2","21.4","12.0","","","","","","14.4","90","8","WSW","15","998.5","","","","","",""
"","2016-03-19","9.0","21.6","0.5","","","","","","12.9","78","4","W","15","1015.6","","","","","",""
"","2016-03-20","9.0","23.7","0","","","","","","12.0","70","1","S","9","1018.9","","","","","",""
"","2016-03-21","9.9","25.8","0","","","","","","13.5","78","0","S","11","1020.2","","","","","",""
"","2016-03-22","10.4","27.8","0","","","","","","15.3","82","0","ESE","7","1019.2","","","","","",""
"","2016-03-23","10.3","30.0","0","","","","","","15.5","70","3","SSE","4","1017.7","","","","","",""
"","2016-03-24","15.5","26.8","0","","","","","","19.6","64","8","SSE","7","1018.4","","","","","",""
"","2016-03-25","14.0","27.7","0","","","","","","17.6","74","1","SSE","7","1018.8","","","","","",""
"","2016-03-26","10.4","25.0","0","","","","","","15.0","70","1","SSW","9","1020.2","","","","","",""
"","2016-03-27","11.4","24.3","0","","","","","","14.8","70","1","SW","15","1019.5","","","","","",""
"","2016-03-28","11.6","24.3","0","","","","","","13.9","54","3","S","11","1017.8","","","","","",""
"","2016-03-29","13.6","24.8","0","","","","","","14.9","58","3","S","6","1018.2","","","","","",""
"","2016-03-30","10.1","22.8","0","","","","","","13.0","70","6","SW","13","1019.1","","","","","",""
"","2016-03-31","8.6","25.3","0","","","","","","12.0","70","1","SW","17","1020.0","","","","","",""
