"Daily Weather Observations for Edenhope, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3096.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Naracoorte is about 50 km from Edenhope so pressure will sometimes be different."
"Temperature, humidity, wind and rainfall observations are from Edenhope Airport {station 079099}"
"Pressure observations are from Naracoorte Aerodrome {station 026099}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","10.3","34.0","0","","","WSW","35","16:41","19.3","62","","NE","11","1016.2","32.1","17","","W","17","1013.7"
"","2016-03-2","15.6","33.6","0","","","S","39","17:19","21.8","47","","E","7","1016.8","32.8","19","","WSW","13","1015.6"
"","2016-03-3","13.8","32.1","0","","","SE","33","23:05","15.1","82","","S","9","1020.5","29.2","26","","WSW","9","1017.4"
"","2016-03-4","13.6","35.9","0","","","WSW","35","15:12","19.4","64","","ESE","7","1016.0","34.4","23","","WSW","13","1013.4"
"","2016-03-5","15.5","33.0","0","","","SSE","30","16:04","17.4","84","","SE","11","1018.8","31.4","23","","SE","9","1017.0"
"","2016-03-6","17.2","36.5","0","","","SSE","41","17:38","20.6","63","","ESE","9","1017.2","35.1","23","","S","11","1014.7"
"","2016-03-7","18.0","32.0","0","","","SE","44","10:56","19.2","75","","SSE","26","1018.1","29.4","40","","SE","24","1016.6"
"","2016-03-8","17.4","41.2","0","","","SSW","44","19:36","21.2","65","","ESE","9","1015.9","39.2","14","","NNW","22","1012.1"
"","2016-03-9","19.9","26.1","0","","","SE","33","21:52","20.2","76","","S","17","1016.8","23.1","75","","SW","7","1016.4"
"","2016-03-10","17.3","23.5","7.0","","","SSE","26","23:07","17.6","97","","E","9","1019.1","23.1","78",""," ","Calm","1016.4"
"","2016-03-11","17.6","29.8","1.6","","","WSW","20","16:29","18.4","100","","E","2","1017.4","27.4","58","","W","7","1015.0"
"","2016-03-12","16.6","28.6","0.2","","","SSE","30","16:23","18.1","91","","S","11","1021.0","27.0","51","","S","13","1019.6"
"","2016-03-13","15.7","31.1","0","","","S","33","21:17","16.5","89","","ESE","4","1020.2","28.8","34","","NW","9","1018.0"
"","2016-03-14","14.7","23.2","0","","","SE","43","15:08","16.3","79","","SE","20","1021.6","21.4","53","","SE","24","1019.8"
"","2016-03-15","12.0","29.5","0","","","SE","44","01:23","15.0","83","","SSE","13","1019.8","27.2","23","","S","7","1016.4"
"","2016-03-16","13.5","32.8","0","","","NW","28","15:49","18.5","73","","ENE","9","1015.8","31.4","25","","NNW","15","1012.1"
"","2016-03-17","18.4","35.6","0","","","WNW","59","21:36","25.1","43","","N","19","1008.5","34.3","23","","N","28","1002.2"
"","2016-03-18","11.5","17.8","14.8","","","SW","61","05:55","12.0","89","","WSW","22","1005.4","16.0","66","","SW","28","1009.3"
"","2016-03-19","8.8","17.6","2.6","","","SSE","28","12:21","11.5","97","","WSW","7","1018.0","17.1","52","","S","13","1018.5"
"","2016-03-20","10.0","18.8","0","","","SSE","31","16:24","12.2","82","","SSE","4","1022.6","16.6","57","","SSE","15","1020.9"
"","2016-03-21","7.5","24.4","0","","","ESE","24","15:25","12.2","87","","SE","9","1021.4","22.7","35","","SSW","9","1018.2"
"","2016-03-22","10.3","27.6","0","","","NNE","20","13:00","13.7","83","","ENE","9","1018.2","26.0","28","","WSW","9","1015.3"
"","2016-03-23","13.7","27.3","0","","","SW","33","16:05","17.7","53","","NNE","6","1015.5","26.3","28","","WSW","13","1015.9"
"","2016-03-24","13.9","23.5","2.0","","","SSE","28","10:09","15.5","89","","S","9","1021.2","22.8","55","","SW","7","1019.3"
"","2016-03-25","7.7","21.6","0","","","WSW","33","14:43","10.7","93","","S","4","1022.7","19.8","45","","SW","17","1021.1"
"","2016-03-26","10.7","19.9","0","","","WSW","31","15:41","14.3","91","","W","11","1022.0","18.8","64","","SW","15","1020.5"
"","2016-03-27","11.8","18.9","0.2","","","SE","30","14:20","13.1","93","","S","6","1023.6","17.8","46","","S","13","1021.2"
"","2016-03-28","7.1","16.6","0","","","S","31","15:26","9.8","79","","SE","6","1021.6","16.1","50","","S","11","1019.7"
"","2016-03-29","9.4","18.5","0","","","SSE","35","12:48","12.1","81","","S","7","1022.8","17.5","49","","SSE","20","1020.9"
"","2016-03-30","12.1","18.9","0","","","SW","28","15:23","12.7","68",""," ","Calm","1023.2","17.7","48","","SSW","13","1021.3"
"","2016-03-31","10.3","23.8","0","","","NW","33","14:25","12.9","94","","NW","4","1021.2","22.4","46","","WNW","19","1017.7"
