"Daily Weather Observations for Haines Saddle, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3025.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Eilden Fire Tower, some other observations taken from Lake Eildon."
"Temperature, humidity, wind and rainfall observations are from Eildon Fire Tower {station 088164}"
"Cloud, evaporation and sunshine observations are from Lake Eildon {station 088023}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.6","30.7","0","4.2","9.5","ESE","37","23:17","19.0","67","0","NE","17","","29.9","25","","NNE","11",""
"","2016-03-2","18.8","32.6","0","5.8","10.0","W","46","21:47","22.5","32","0","NE","4","","31.4","17","","W","11",""
"","2016-03-3","15.3","32.6","0","6.0","9.0","W","30","15:27","18.6","68","7","NE","15","","30.8","25","","W","13",""
"","2016-03-4","18.4","34.0","0","5.6","9.2","W","59","18:29","21.9","47","1","NE","20","","33.0","23","","NE","15",""
"","2016-03-5","21.7","33.8","0","6.8","9.1","W","33","16:35","25.8","41","2","ENE","7","","32.1","28","","W","13",""
"","2016-03-6","21.1","35.6","0","5.8","8.9","ESE","43","19:45","25.3","49","1","E","13","","33.3","21","","W","13",""
"","2016-03-7","19.2","36.1","0","6.2","8.5","ESE","33","21:05","25.4","48","4","ENE","17","","33.3","24","","NNE","4",""
"","2016-03-8","18.6","35.3","0","6.4","9.6","NE","35","15:21","23.1","66","1","ENE","11","","32.8","23","","NE","22",""
"","2016-03-9","23.0","32.1","0","6.8","0.3","W","44","22:13","23.9","43","8","NE","22","","30.8","30","","NE","19",""
"","2016-03-10","17.3","25.9","1.4","4.2","0.6","WSW","54","17:37","18.9","88","8","SSW","15","","24.7","58","","SE","11",""
"","2016-03-11","17.2","28.4","6.4","2.2","3.8","ENE","26","00:18","19.9","84","7","WNW","4","","25.5","64","","NNE","6",""
"","2016-03-12","18.7","28.4","0","2.6","4.3","SW","33","15:49","20.7","85","6","ESE","7","","27.4","46","","W","19",""
"","2016-03-13","14.3","29.1","0","3.8","8.4","WSW","41","18:48","17.1","95","7","SE","7","","27.0","39","","W","13",""
"","2016-03-14","13.5","23.5","0.2","5.6","9.6","WSW","46","16:24","15.9","84","0","WNW","4","","22.2","55","","WSW","31",""
"","2016-03-15","13.7","25.5","0","5.0","9.5","ESE","63","18:58","18.0","64","3","E","20","","25.2","41","","ESE","22",""
"","2016-03-16","15.2","27.7","0","5.2","8.3","E","50","23:14","18.3","63","3","E","15","","25.4","39","","N","6",""
"","2016-03-17","16.8","29.0","0","5.0","5.3","NNE","33","19:59","19.7","64","6","NE","17","","27.6","38","","NE","15",""
"","2016-03-18","11.2","12.8","9.6","3.4","1.9","WSW","83","07:48","11.3","96","8","WSW","56","","10.6","93","","WSW","30",""
"","2016-03-19","7.1","13.5","7.0","3.6","0.7","SW","39","14:55","7.9","98","7","W","7","","11.9","82","","WSW","20",""
"","2016-03-20","6.5","20.1","0.4","1.6","7.8","SE","54","21:08","10.1","62","0","ESE","9","","17.5","44","","ENE","4",""
"","2016-03-21","10.0","21.9","0","3.0","9.4","ESE","50","19:30","13.3","62","0","ESE","22","","20.5","44","","WSW","4",""
"","2016-03-22","11.2","22.2","0","3.4","8.1","ESE","44","23:17","13.9","68","0","E","13","","21.0","41","","WSW","7",""
"","2016-03-23","12.3","23.0","0","2.6","2.0","WSW","13","12:47","14.6","70","4","NNE","4","","20.6","50","","ESE","4",""
"","2016-03-24","13.3","20.5","0.8","1.6","0.2","W","31","05:19","14.6","80","8","WSW","4","","19.4","67","","ENE","6",""
"","2016-03-25","11.7","20.6","0.2","1.6","8.5","WSW","48","17:53","12.6","97","5","WSW","2","","18.8","60","","WSW","19",""
"","2016-03-26","9.4","18.9","0","4.0","9.2","W","50","16:35","11.9","74","2","NNW","2","","18.3","60","","W","22",""
"","2016-03-27","9.2","18.6","0","3.4","8.4","SE","39","20:03","10.7","84","0","SW","13","","18.0","52","","W","17",""
"","2016-03-28","7.1","19.2","0","3.4","2.5","WSW","37","16:54","11.6","74","2","SE","13","","18.1","55","","WSW","13",""
"","2016-03-29","8.9","22.5","0","3.0","5.8","ESE","41","23:44","11.4","77","7","ESE","19","","20.4","43","","N","6",""
"","2016-03-30","8.8","16.2","0","2.8","0.2","W","48","14:04","10.1","95","4","SW","9","","13.9","71","","WSW","26",""
"","2016-03-31","7.4","20.5","0","2.8","6.9","SW","28","18:56","11.0","71","2","SE","11","","19.4","42","","W","7",""
