"Daily Weather Observations for Evans Head, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2043.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Evans Head RAAF Bombing Range AWS {station 058212}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","19.2","27.8","41.0","","","S","46","23:11","23.5","90","","SE","24","1019.4","26.3","74","","SE","24","1018.9"
"","2016-03-2","19.9","27.3","1.2","","","SSE","28","10:09","21.8","99","","SW","13","1020.5","26.9","86","","E","15","1019.6"
"","2016-03-3","20.9","28.6","3.6","","","ENE","33","12:10","24.0","98",""," ","Calm","1021.7","27.0","68","","E","19","1020.6"
"","2016-03-4","20.2","28.2","1.4","","","E","28","11:23","22.9","98","","NW","6","1021.5","27.2","61","","ENE","17","1019.7"
"","2016-03-5","19.6","28.2","0","","","SE","26","14:07","22.8","90","","WSW","7","1021.4","27.0","61","","ESE","17","1020.0"
"","2016-03-6","18.8","28.9","0","","","ESE","35","14:02","22.8","97","","SW","7","1021.7","25.0","74","","E","26","1020.6"
"","2016-03-7","20.1","28.3","8.6","","","NE","28","02:28","22.1","98","","SSW","9","1021.9","27.5","69","","ESE","19","1020.0"
"","2016-03-8","20.2","26.8","2.2","","","ESE","43","12:10","22.9","100","","SSW","7","1021.1","24.9","98","","E","19","1020.2"
"","2016-03-9","21.9","28.7","16.2","","","ENE","33","12:34","26.1","95","","ENE","13","1022.5","27.1","75","","NE","19","1020.6"
"","2016-03-10","19.4","28.4","0","","","SE","26","12:57","23.5","96","","WSW","9","1021.6","27.0","76","","ESE","17","1019.7"
"","2016-03-11","21.2","29.2","0","","","ENE","28","16:00","24.6","98","","WSW","4","1020.2","27.2","77","","ENE","17","1018.5"
"","2016-03-12","20.6","29.0","0.6","","","ENE","28","14:22","22.6","98","","SSE","9","1020.3","27.2","66","","E","19","1019.0"
"","2016-03-13","20.8","26.3","0.2","","","SSW","43","06:50","22.7","98","","S","6","1019.4","25.1","98","","E","19","1017.3"
"","2016-03-14","21.1","28.0","11.4","","","NE","26","15:50","22.9","99","","S","7","1017.2","27.2","69","","E","15","1014.1"
"","2016-03-15","19.8","28.7","0","","","ESE","48","18:06","23.7","90","","SSE","13","1015.5","25.5","82","","SSE","19","1014.5"
"","2016-03-16","20.1","24.6","38.6","","","SSE","50","13:13","21.3","100","","SSW","15","1015.3","22.0","100","","SE","26","1014.1"
"","2016-03-17","19.8","26.5","11.6","","","SE","35","13:37","21.8","100","","S","17","1014.6","25.5","91","","SSE","24","1011.2"
"","2016-03-18","18.6","30.3","7.0","","","N","43","16:41","24.2","97","","NNW","6","1009.2","29.2","71","","N","20","1004.0"
"","2016-03-19","20.5","26.9","5.0","","","SSE","44","10:45","23.4","98","","SSW","17","1007.9","24.2","76","","SE","26","1007.9"
"","2016-03-20","19.6","26.1","0","","","SE","46","10:35","21.3","97","","S","20","1013.5","23.3","79","","ESE","26","1012.2"
"","2016-03-21","18.7","25.4","29.0","","","SSE","59","13:19","20.2","98","","S","15","1013.7","22.7","84","","SE","39","1011.4"
"","2016-03-22","16.3","25.2","5.6","","","SSE","50","10:46","19.9","82","","SSW","17","1014.3","24.4","66","","SE","30","1012.1"
"","2016-03-23","16.8","26.5","0","","","SSE","31","13:33","20.4","88","","SW","13","1017.3","25.4","61","","SSE","22","1015.6"
"","2016-03-24","18.2","27.9","0","","","E","30","15:36","22.0","73","","WSW","11","1020.8","26.4","50","","E","17","1018.8"
"","2016-03-25","18.8","28.0","0","","","NE","28","13:59","22.8","79","","SSW","4","1020.1","26.0","58","","NE","19","1016.3"
"","2016-03-26","18.6","31.0","0","","","N","46","17:18","22.9","84","","WNW","7","1017.2","28.5","65","","NNE","17","1014.2"
"","2016-03-27","17.9","26.4","4.2","","","NE","30","14:06","20.2","100","","W","6","1017.3","24.5","75","","NE","13","1015.7"
"","2016-03-28","18.0","27.2","0.2","","","NE","28","14:52","21.2","100","","SSW","7","1019.5","26.2","67","","NE","15","1017.0"
"","2016-03-29","18.5","31.3","0","","","NNE","43","18:05","24.4","93","","NW","7","1019.2","28.8","61","","NE","13","1015.9"
"","2016-03-30","20.1","27.2","0","","","SW","52","12:19","24.2","88","","NW","4","1016.6","19.5","100","","W","7","1015.0"
"","2016-03-31","17.8","26.9","16.8","","","SSE","30","12:54","20.8","93","","WSW","15","1016.5","26.0","51","","SSE","17","1014.8"
