"Daily Weather Observations for Falls Creek, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3027.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Falls Creek {station 083084}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","10.3","18.6","0.2","","","NNE","56","09:04","12.4","84","","NNE","41","","17.6","53","","N","31",""
"","2016-03-2","12.3","22.1","0","","","","","","15.1","51","","NNE","28","","21.8","35","","NNE","19",""
"","2016-03-3","15.1","24.0","0","","","SE","48","18:29","16.9","44","","ENE","11","","23.6","33","","NE","17",""
"","2016-03-4","13.5","22.3","10.8","","","NNE","37","11:05","16.1","58","","NNE","19","","21.5","47","","N","20",""
"","2016-03-5","15.8","23.9","0","","","NNE","39","11:22","18.1","54","","NNE","22","","22.8","43","","NE","13",""
"","2016-03-6","16.9","24.5","0","","","NNE","39","09:58","18.8","50","","NNE","20","","23.7","41","","NE","13",""
"","2016-03-7","16.3","25.3","0","","","NNE","33","07:53","18.4","46","","NNE","24","","22.3","46","","SE","9",""
"","2016-03-8","14.5","24.7","0","","","NNE","31","10:00","19.8","46","","NNE","15","","23.7","27","","NNE","17",""
"","2016-03-9","13.9","20.7","0","","","NNE","50","06:25","14.9","68","","NNE","30","","19.4","58","","NNE","26",""
"","2016-03-10","13.7","20.2","1.8","","","ENE","50","19:53","14.8","75","","NNE","2","","19.0","64","","NNE","19",""
"","2016-03-11","11.9","14.4","12.4","","","NNE","43","09:28","13.7","97","","NNE","26","","13.5","100","","NNE","20",""
"","2016-03-12","12.9","18.2","7.4","","","NNE","31","02:31","13.5","100","","NE","17","","17.4","86","","ENE","9",""
"","2016-03-13","11.5","19.9","3.6","","","NNE","28","11:04","14.4","96","","NE","13","","19.2","63","","NE","13",""
"","2016-03-14","11.8","20.2","0","","","SE","44","12:14","13.7","43","","SE","7","","19.1","46","","ENE","11",""
"","2016-03-15","8.6","11.7","3.8","","","SE","33","23:11","8.7","100","","SSE","17","","10.5","100","","SSE","13",""
"","2016-03-16","7.2","17.4","1.4","","","SE","26","23:16","11.4","83","","NE","7","","16.2","63","","ENE","11",""
"","2016-03-17","9.7","17.9","0","","","N","46","22:21","11.7","80","","NNE","17","","14.3","63","","NNE","15",""
"","2016-03-18","10.5","12.3","22.0","","","NNE","98","09:42","11.8","100","","NNE","48","","5.1","100","","ENE","35",""
"","2016-03-19","-0.2","8.3","24.8","","","SSE","57","07:22","1.3","100","","SSE","30","","7.6","78","","SE","11",""
"","2016-03-20","-0.5","7.9","0","","","SE","31","15:54","2.9","96","","SE","15","","7.3","76","","E","19",""
"","2016-03-21","2.1","9.3","0","","","SE","44","06:38","3.5","100","","SE","26","","7.7","85","","SSE","19",""
"","2016-03-22","2.1","12.6","1.2","","","SSE","39","23:40","4.1","100","","SSE","11","","11.6","68","","ESE","13",""
"","2016-03-23","4.1","13.1","0","","","E","26","07:29","8.5","72","","E","17","","11.5","68","","ENE","15",""
"","2016-03-24","7.4","10.8","0","","","NNE","35","11:48","8.6","76","","NNE","15","","8.8","85","","NNE","20",""
"","2016-03-25","7.3","13.7","0.2","","","ENE","41","10:32","8.5","85","","E","17","","12.7","73","","ENE","22",""
"","2016-03-26","7.1","14.7","0","","","NNE","30","14:11","10.6","32","","ENE","9","","13.7","59","","N","15",""
"","2016-03-27","4.8","13.4","0","","","N","33","11:35","6.3","100","","SSE","7","","13.0","65","","NNE","17",""
"","2016-03-28","6.0","12.0","0","","","N","46","11:25","7.6","100","","N","26","","10.6","79","","NNE","22",""
"","2016-03-29","5.0","12.5","0","","","N","37","10:49","7.9","72","","NNE","13","","12.0","70","","NNE","15",""
"","2016-03-30","4.0","6.8","2.0","","","NNE","33","02:02","5.1","93","","SSE","20","","6.5","100","","SSE","26",""
"","2016-03-31","2.9","12.3","0.6","","","SSE","28","00:07","6.8","86","","NE","11","","11.9","66","","NE","11",""
