"Daily Weather Observations for Ferny Creek, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3102.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Ferny Creek {station 086266}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","12.6","29.8","0","","","NE","37","08:49","20.3","55","","NNW","6","1017.7","28.5","26","","N","4","1016.7"
"","2016-03-2","19.0","32.8","0","","","E","24","22:46","26.1","25","","NW","4","1017.9","31.9","20","","SE","6","1017.0"
"","2016-03-3","12.9","26.2","0","","","SSE","20","00:02","14.8","86","","ESE","7","1020.7","24.3","48","","ESE","4","1019.4"
"","2016-03-4","14.5","33.5","0","","","NW","30","17:17","24.2","45","","N","6","1018.8","32.5","26","","NNW","9","1016.2"
"","2016-03-5","16.8","21.4","0.4","","","NW","15","04:26","17.2","97",""," ","Calm","1020.0","18.7","85","","SSE","7","1020.4"
"","2016-03-6","14.1","28.8","0","","","S","17","14:52","16.0","97","","NW","2","1020.3","27.1","54","","SE","6","1019.0"
"","2016-03-7","15.2","26.5","0","","","E","24","20:30","22.2","73","","E","9","1019.9","21.4","79","","SE","7","1020.9"
"","2016-03-8","16.8","35.6","0","","","NE","28","23:00","26.4","45","","N","6","1020.4","34.2","24","","N","6","1017.8"
"","2016-03-9","24.7","30.1","0","","","NNE","35","02:13","24.9","42","","W","6","1017.2","24.5","61","","S","6","1017.6"
"","2016-03-10","15.6","20.3","1.8","","","E","24","23:48","15.6","96","","S","4","1021.7","17.9","95","","SW","6","1019.5"
"","2016-03-11","15.5","26.8","9.8","","","SE","17","21:23","18.4","99",""," ","Calm","1017.9","24.7","63","","SSW","6","1016.9"
"","2016-03-12","16.2","20.2","0","","","SE","13","20:12","18.3","86","","ESE","2","1020.3","18.8","90","","ESE","4","1020.6"
"","2016-03-13","14.5","23.6","0.8","","","SSE","15","00:35","15.3","99","","ESE","2","1020.8","22.8","69","","SSW","4","1019.2"
"","2016-03-14","13.8","17.0","3.2","","","SE","20","22:40","14.0","99","","SE","4","1020.7","15.0","80","","ESE","7","1020.1"
"","2016-03-15","11.0","22.6","0","","","E","39","02:42","14.6","84","","E","17","1020.3","21.3","62","","E","15","1018.7"
"","2016-03-16","13.3","26.2","0","","","ENE","20","23:50","19.3","63","","NE","4","1019.3","25.8","46","","ENE","4","1016.6"
"","2016-03-17","19.0","27.7","0","","","NNE","37","22:39","21.4","54","","N","11","1014.0","25.6","43","","N","6","1008.9"
"","2016-03-18","12.1","12.7","33.2","","","WSW","46","11:47","12.1","97","","W","7","997.6","11.2","86","","W","15","1000.7"
"","2016-03-19","7.5","14.7","47.8","","","WSW","26","13:08","9.6","97","","W","7","1013.0","10.8","86","","W","4","1015.9"
"","2016-03-20","7.7","18.6","0.4","","","E","33","22:47","10.5","75","","E","13","1019.1","18.3","54","","ESE","7","1018.9"
"","2016-03-21","8.9","18.8","0.2","","","E","35","23:11","12.1","76","","E","11","1020.5","18.5","57","","E","13","1019.2"
"","2016-03-22","10.5","22.3","0","","","E","20","23:43","15.5","65","","E","6","1019.1","21.1","44","","NE","6","1016.9"
"","2016-03-23","14.7","22.1","0","","","NW","19","08:39","17.8","47","","NW","6","1017.1","20.7","48","","NE","7","1016.5"
"","2016-03-24","13.2","17.7","0","","","SSE","13","17:43","14.1","93",""," ","Calm","1020.6","16.7","77","","ESE","2","1018.9"
"","2016-03-25","11.2","17.3","0","","","WSW","19","13:42","12.6","86","","ESE","2","1019.9","14.9","63","","WSW","6","1019.2"
"","2016-03-26","10.3","15.8","0.2","","","WNW","17","08:50","11.6","94","","W","2","1019.3","15.3","75","","WSW","4","1019.1"
"","2016-03-27","10.3","15.9","1.4","","","SE","24","17:49","10.7","93","","ESE","6","1020.6","14.8","53","","ESE","6","1019.5"
"","2016-03-28","8.5","15.0","0","","","SE","31","09:46","11.2","64","","ESE","11","1018.7","14.1","60","","ESE","9","1017.1"
"","2016-03-29","10.0","14.9","0","","","ENE","30","11:59","10.6","75","","ESE","11","1019.1","13.9","68","","SE","9","1018.6"
"","2016-03-30","10.1","14.2","1.0","","","SW","20","14:44","10.2","95","","SSE","6","1019.4","13.0","73","","SSW","6","1018.8"
"","2016-03-31","8.1","19.0","0.6","","","S","17","02:01","14.1","71",""," ","Calm","1019.3","17.7","59","","SW","4","1017.6"
