"Daily Weather Observations for Forster, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2046.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Forster - Tuncurry Marine Rescue {station 060013}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.0","27.6","0","","","","","","21.0","82","3","W","9","","26.4","68","2","NNE","13",""
"","2016-03-2","18.0","27.0","0","","","","","","22.0","87","2","WSW","2","","25.5","80","4","ENE","19",""
"","2016-03-3","","27.0","0","","","","","","24.0","83","5","NNE","4","","26.0","80","3","NE","28",""
"","2016-03-4","18.0","25.0","3.0","","","","","","21.0","95","7","NNE","19","","24.0","91","6","E","15",""
"","2016-03-5","18.5","26.6","3.0","","","","","","22.5","83","1"," ","Calm","","25.9","70","1","E","19",""
"","2016-03-6","21.5","27.5","0","","","","","","22.0","82","4"," ","Calm","","27.0","77","3","NE","17",""
"","2016-03-7","22.0","26.5","0","","","","","","22.7","93","1"," ","Calm","","26.0","83","1","NE","26",""
"","2016-03-8","19.0","27.5","0","","","","","","22.0","91","3","SW","4","","23.8","89","8","N","4",""
"","2016-03-9","20.0","26.5","1.5","","","","","","23.0","91","2","NNE","7","","25.7","79","1","NNE","33",""
"","2016-03-10","21.0","25.5","0","","","","","","23.0","83","6","NW","4","","25.0","76","7","NNE","26",""
"","2016-03-11","21.0","27.0","0","","","","","","23.0","91","3","NE","2","","25.0","83","2","ENE","15",""
"","2016-03-12","20.0","25.8","0","","","","","","23.0","100","1"," ","Calm","","25.5","75","1","NE","28",""
"","2016-03-13","19.0","27.0","0","","","","","","23.8","81","2"," ","Calm","","26.0","76","6","NE","24",""
"","2016-03-14","21.0","27.0","0","","","","","","22.8","95","7"," ","Calm","","25.5","80","5","NE","20",""
"","2016-03-15","20.0","28.0","2.0","","","","","","21.6","95","1","W","4","","24.5","73","8","SW","6",""
"","2016-03-16","19.0","25.0","12.5","","","","","","20.0","95","8","WNW","13","","24.2","82","7","WSW","9",""
"","2016-03-17","","25.5","9.0","","","","","","21.0","91","6","W","11","","25.0","76","7","E","22",""
"","2016-03-18","18.0","27.0","2.5","","","","","","22.0","87","2","N","22","","25.0","76","8","NNE","30",""
"","2016-03-19","19.0","25.0","0","","","","","","20.0","55","4","WSW","22","","24.0","40","2","SW","15",""
"","2016-03-20","18.3","24.0","0","","","","","","19.2","77","8","W","13","","24.0","56","7","SW","13",""
"","2016-03-21","17.5","24.0","0","","","","","","19.0","84","7","WSW","15","","22.5","66","6","SW","19",""
"","2016-03-22","16.0","24.8","3.5","","","","","","19.0","81","6","W","30","","23.4","51","3","SW","11",""
"","2016-03-23","18.1","26.0","0","","","","","","20.2","75","2","SW","22","","25.0","54","4","SSW","13",""
"","2016-03-24","16.0","26.3","0","","","","","","19.0","72","2","WNW","7","","25.5","55","1","E","17",""
"","2016-03-25","16.2","27.0","0","","","","","","19.7","75","1"," ","Calm","","26.0","62","4","NE","19",""
"","2016-03-26","18.0","26.7","0","","","","","","21.0","73","1","W","15","","26.2","61","5","ESE","17",""
"","2016-03-27","18.0","26.5","0","","","","","","20.0","86","6"," ","Calm","","26.0","88","6","ENE","24",""
"","2016-03-28","20.5","26.0","0","","","","","","23.0","79","2","NNE","15","","25.6","73","7","NE","37",""
"","2016-03-29","21.0","27.6","0","","","","","","22.0","82","2","WSW","9","","25.6","81","7","NNE","15",""
"","2016-03-30","19.5","24.2","22.0","","","","","","20.0","91","7","WNW","13","","23.2","72","7","ENE","11",""
"","2016-03-31","15.2","26.0","5.4","","","","","","19.5","66","0","W","13","","26.0","42","3","SW","15",""
