"Daily Weather Observations for Frankston, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3028.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations taken from Frankston, but rainfall taken from Mornington and pressure taken from Moorabbin Airport."
"Mornington does not normally report on days when there was no rain."
"Temperature, humidity and wind observations are from Frankston AWS {station 086371}"
"Pressure observations are from Moorabbin Airport {station 086077}"
"Rainfall observations are from Mornington {station 086079}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.1","31.6","0","","","S","30","18:03","17.9","89","","N","9","1017.8","28.9","33",""," ","Calm","1014.5"
"","2016-03-2","17.7","28.9","0","","","WSW","39","14:55","20.7","62","","W","6","1016.6","25.2","63","","W","4","1014.5"
"","2016-03-3","16.6","26.1","0","","","SSW","30","16:18","19.0","71","","SE","11","1021.2","23.9","48","","SE","9","1018.7"
"","2016-03-4","16.7","33.2","0","","","SSE","31","17:02","20.4","70","","ESE","7","1017.9","28.1","44","","WSW","17","1013.5"
"","2016-03-5","19.5","21.8","0","","","SSW","20","15:39","19.7","90","","SW","4","1019.3","21.3","71","","S","11","1019.9"
"","2016-03-6","17.5","26.1","0","","","S","31","15:55","18.7","81","","SE","6","1020.4","25.7","64","","SSE","11","1018.0"
"","2016-03-7","18.7","25.8","0","","","WSW","43","02:14","20.2","89","","E","6","1019.2","24.7","49","","SE","13","1020.4"
"","2016-03-8","20.0","38.2","0.2","","","SSE","26","23:37","21.4","86","","E","2","1019.5","36.3","33","","NNE","6","1014.2"
"","2016-03-9","21.4","26.1","0","","","NNE","44","04:29","24.5","66","","WSW","20","1015.4","22.8","77","","WSW","15","1016.7"
"","2016-03-10","17.5","20.9","0.8","","","S","22","08:49","18.0","85","","SSE","9","1021.6","19.8","85","","WNW","9","1019.6"
"","2016-03-11","18.0","25.9","5.6","","","WSW","24","15:59","20.5","92","","W","7","1017.4","21.2","86","","WSW","19","1016.0"
"","2016-03-12","18.4","22.6","0","","","WSW","26","14:19","20.1","87","","SSW","6","1020.2","20.9","85","","WSW","19","1020.3"
"","2016-03-13","17.4","22.5","0","","","WSW","28","15:44","18.5","82","","SSE","6","1021.0","20.2","81","","WSW","15","1018.8"
"","2016-03-14","17.7","20.5","0","","","WSW","33","14:20","18.6","75","","S","6","1020.9","18.5","63","","WSW","24","1020.5"
"","2016-03-15","15.0","23.9","0","","","ESE","61","16:20","18.3","76","","ESE","22","1020.4","22.8","55","","ESE","26","1018.2"
"","2016-03-16","17.2","29.6","0","","","ESE","41","23:23","18.8","73","","E","17","1019.2","28.1","42","","ESE","9","1014.9"
"","2016-03-17","18.1","29.8","0","","","ESE","28","23:54","23.3","52","","NNE","6","1012.1","27.1","51","","NNW","19","1006.4"
"","2016-03-18","14.1","18.2","11.6","","","WSW","87","12:51","16.8","81","","W","37","997.4","17.5","61","","WSW","52","1002.0"
"","2016-03-19","12.3","17.8","","","","W","46","03:52","14.2","85","","S","4","1014.1","16.4","58","","S","15","1016.8"
"","2016-03-20","10.4","22.0","","","","ESE","35","10:46","13.0","69","","SE","6","1020.8","20.4","47","","ESE","15","1019.1"
"","2016-03-21","12.9","21.5","19.6","","","S","31","17:12","15.6","78","","SE","9","1021.7","20.4","55","","SSE","13","1019.5"
"","2016-03-22","13.5","22.8","0","","","ESE","28","02:51","15.3","84","","E","9","1020.0","20.1","59","","WSW","13","1016.6"
"","2016-03-23","14.5","25.3","0","","","WSW","26","13:57","17.0","68","","ENE","4","1016.3","24.2","35","","WSW","17","1015.3"
"","2016-03-24","16.6","21.1","0","","","S","20","17:19","17.4","86","","SSE","2","1021.0","20.5","62","","S","4","1018.8"
"","2016-03-25","15.3","19.6","0","","","WSW","33","15:27","16.4","76","","SSW","7","1020.8","17.5","54","","WSW","28","1019.9"
"","2016-03-26","14.9","18.4","0","","","WSW","33","08:22","17.3","70","","WSW","17","1020.0","18.1","71","","WSW","19","1019.4"
"","2016-03-27","14.6","18.4","0","","","SW","24","10:46","15.4","62","","S","6","1021.5","17.9","48","","SE","9","1020.5"
"","2016-03-28","10.8","18.5","0","","","ESE","30","10:13","14.2","65","","SE","4","1020.4","18.3","47","","SE","9","1018.2"
"","2016-03-29","14.1","17.3","0.7","","","S","30","15:57","15.4","63","","SSE","2","1020.8","16.7","53","","SSE","11","1019.8"
"","2016-03-30","14.6","18.0","0","","","WSW","35","14:05","16.0","65","","SW","7","1020.5","16.8","55","","SW","22","1019.8"
"","2016-03-31","10.9","19.9","0","","","SSE","15","22:50","13.2","73","","E","4","1020.1","18.7","65","","NW","4","1017.7"
