"Daily Weather Observations for Gabo Island, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3029.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Gabo Island Lighthouse {station 084016}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","20.0","24.5","1.4","","","","","","22.1","87","4","NNE","15","1020.9","24.1","76","2","NE","46","1017.4"
"","2016-03-2","20.4","26.2","0","","","NNE","63","23:28","22.0","85","6","NNE","17","1016.9","25.2","74","1","NE","26","1015.7"
"","2016-03-3","20.6","24.4","0","","","SW","46","09:49","21.9","79","4","WSW","22","1020.7","22.5","80","6","ENE","17","1019.3"
"","2016-03-4","19.5","26.7","0","","","NNE","63","19:21","22.0","89","2","NE","7","1018.8","26.4","63","2","NNE","35","1016.9"
"","2016-03-5","20.4","26.6","0","","","NNE","57","23:17","22.5","80","4","NNE","26","1017.1","24.1","80","7","SSW","22","1018.5"
"","2016-03-6","19.8","26.0","0","","","NNE","48","13:48","21.9","82","","NNE","28","1019.6","25.1","63","2","NNE","39","1017.7"
"","2016-03-7","20.0","24.7","0","","","SW","50","09:39","21.3","86","1","NE","30","1018.1","24.4","80","1","SSW","24","1019.8"
"","2016-03-8","19.8","24.7","0","","","NNE","80","22:37","22.3","91","7","NNE","24","1022.3","24.0","81","1","NE","41","1020.5"
"","2016-03-9","19.3","28.4","0","","","NNE","78","23:05","21.5","69","2","NNE","35","1015.7","21.4","78","8","NNE","15","1015.1"
"","2016-03-10","19.6","23.8","0","","","NE","43","20:51","21.3","87","8","WNW","13","1022.7","22.3","83","8","E","11","1020.8"
"","2016-03-11","19.5","24.5","1.2","","","NE","33","05:04","20.2","97","8","NE","24","1017.4","22.9","82","5","NE","19","1015.9"
"","2016-03-12","18.0","23.0","0.2","","","SW","22","10:38","19.6","94","8","W","17","1019.7","20.5","92","7","SSW","17","1019.6"
"","2016-03-13","19.5","24.2","0","","","WSW","20","23:07","22.2","83","3","W","11","1020.5","23.7","80","3","ENE","11","1018.1"
"","2016-03-14","19.4","22.4","3.6","","","SE","39","22:15","20.1","94","7","WSW","24","1018.0","21.5","81","1","SW","24","1018.0"
"","2016-03-15","19.7","22.1","0","","","SE","44","20:10","20.8","70","8","SE","22","1022.7","21.3","63","7","SE","24","1022.5"
"","2016-03-16","18.7","22.9","0.2","","","NE","43","12:08","18.9","78","7","NNW","9","1022.7","20.3","68","7","NE","20","1020.8"
"","2016-03-17","15.0","23.1","0.6","","","NE","50","15:05","19.6","81","1","NE","17","1016.2","22.7","65","1","NE","39","1011.4"
"","2016-03-18","19.0","20.1","0.4","","","WSW","96","17:07","19.5","87","8","NNE","39","995.4","15.1","93","7","WSW","22","993.0"
"","2016-03-19","13.4","18.7","11.8","","","SW","76","13:22","14.5","65","5","W","35","1009.5","16.5","69","7","SW","61","1012.4"
"","2016-03-20","11.9","18.5","3.0","","","SSW","50","18:44","15.1","83","2","WSW","24","1019.7","18.2","71","3","SW","31","1019.5"
"","2016-03-21","13.1","19.4","5.6","","","SSW","46","11:55","15.2","93","5","W","22","1020.5","17.8","77","4","SSW","31","1019.3"
"","2016-03-22","14.6","20.2","2.6","","","S","50","07:14","18.2","64","7","SW","26","1020.0","18.1","76","7","SW","30","1018.2"
"","2016-03-23","13.7","21.9","3.8","","","WNW","20","00:10","17.7","74","3","NNE","6","1016.9","21.4","58","7","E","7","1015.9"
"","2016-03-24","15.6","19.8","0","","","NNE","28","22:59","17.6","67","8","WNW","15","1020.4","19.0","75","8","WNW","6","1019.5"
"","2016-03-25","14.4","20.6","0","","","SW","54","14:15","18.2","89","8","W","28","1017.4","18.8","75","6","SW","41","1016.8"
"","2016-03-26","13.2","21.7","0","","","SW","52","15:44","16.5","69","1","W","28","1018.4","20.6","57","1","SW","24","1017.0"
"","2016-03-27","15.3","19.4","0.2","","","SW","52","14:06","17.2","80","6","WSW","35","1019.5","18.8","55","6","SW","41","1019.1"
"","2016-03-28","14.2","18.9","0","","","WSW","30","23:25","15.9","65","8","WNW","15","1020.9","18.6","67","8","SW","11","1018.1"
"","2016-03-29","14.9","21.1","0","","","SSE","30","03:21","16.7","84","8","WNW","13","1020.5","18.3","81","8","W","13","1019.1"
"","2016-03-30","13.2","18.7","10.2","","","SW","78","11:13","16.7","94","8","WSW","39","1014.5","16.5","97","8","WSW","56","1012.1"
"","2016-03-31","14.1","20.0","74.6","","","WSW","61","00:18","16.0","76","2","WSW","43","1017.2","19.5","62","3","SW","33","1016.4"
