"Daily Weather Observations for Geelong, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3030.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Geelong Racecourse."
"Observations were drawn from Breakwater (Geelong Racecourse) {station 087184}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.4","34.4","0","","","WNW","35","15:06","18.4","95",""," ","Calm","1017.6","31.8","31","","N","13","1014.4"
"","2016-03-2","14.3","32.8","0","","","S","57","17:34","20.8","54","","NW","7","1016.6","25.9","50","","S","33","1015.6"
"","2016-03-3","15.7","23.2","0","","","S","33","15:09","18.5","70","","SSE","17","1021.5","21.9","57","","SSE","17","1020.0"
"","2016-03-4","14.5","30.9","0","","","S","39","16:52","19.3","94","","S","7","1018.1","30.3","46","","SSE","13","1013.9"
"","2016-03-5","18.5","21.3","0","","","SSW","28","01:52","20.4","80","","SW","9","1019.9","21.3","71","","SSE","17","1020.6"
"","2016-03-6","15.2","24.7","0","","","S","37","16:28","18.6","92","","SSE","7","1020.8","21.9","69","","S","22","1019.1"
"","2016-03-7","17.0","24.3","0.6","","","S","43","10:51","19.6","93","","SW","9","1020.2","23.1","66","","S","24","1021.2"
"","2016-03-8","18.9","32.7","0","","","SSE","26","01:20","22.2","92","","ESE","7","1019.1","30.9","51","","S","13","1014.6"
"","2016-03-9","20.4","23.1","0","","","NNW","35","00:29","22.0","92","","NW","4","1016.1","22.7","82","","S","17","1017.1"
"","2016-03-10","17.1","19.4","2.2","","","SSE","22","09:49","17.4","93","","SE","6","1022.1","18.4","93","","SE","7","1019.8"
"","2016-03-11","17.4","26.3","4.2","","","S","28","16:15","19.1","","","SSW","4","1017.5","25.7","68","","S","17","1016.0"
"","2016-03-12","19.1","21.7","0.2","","","S","26","15:01","19.5","95","","S","7","1020.4","21.3","86","","SSE","15","1020.9"
"","2016-03-13","16.9","22.2","0","","","S","24","16:06","18.7","90","","SSE","9","1021.3","21.7","75","","S","13","1019.4"
"","2016-03-14","16.8","21.5","0","","","S","39","13:58","18.3","76","","S","9","1021.3","19.6","57","","S","26","1021.3"
"","2016-03-15","15.0","25.0","0","","","ESE","50","13:33","19.6","76","","ESE","20","1021.3","23.7","52","","ESE","26","1019.0"
"","2016-03-16","15.4","30.5","0","","","SE","28","16:04","19.4","87","","SE","6","1019.1","28.0","43","","NE","11","1014.9"
"","2016-03-17","18.5","34.6","0","","","N","37","16:53","23.6","56","","NE","15","1011.5","31.3","31","","N","11","1005.4"
"","2016-03-18","14.8","19.9","23.6","","","SW","59","14:59","14.9","94","","WNW","17","996.2","17.8","59","","SW","33","1002.3"
"","2016-03-19","11.6","18.8","0.4","","","S","37","15:36","13.3","92","","WSW","13","1014.5","17.3","52","","SW","17","1017.3"
"","2016-03-20","11.6","20.3","0.2","","","SSE","37","15:36","16.5","60","","ESE","9","1020.9","19.4","54","","SSE","17","1020.2"
"","2016-03-21","11.0","21.1","0","","","SSE","35","11:48","16.6","81","","SE","7","1022.4","20.0","60","","SSE","20","1020.8"
"","2016-03-22","10.8","24.4","0","","","S","26","16:43","15.1","94","","SSE","6","1020.0","22.7","48","","NNE","9","1016.9"
"","2016-03-23","12.1","28.7","0","","","S","31","18:14","16.0","77","","NW","4","1016.0","23.7","43","","SSE","19","1015.5"
"","2016-03-24","15.9","19.4","0","","","S","26","13:41","17.6","92","","SE","6","1021.2","19.1","69","","SSE","17","1019.6"
"","2016-03-25","13.6","21.7","0","","","WSW","28","09:53","15.9","73","","WSW","11","1021.4","19.9","48","","SSE","15","1019.6"
"","2016-03-26","14.3","20.3","0","","","W","31","13:44","15.3","93","","WNW","11","1020.2","19.5","64","","WSW","19","1019.4"
"","2016-03-27","12.2","18.4","0.8","","","S","35","12:59","14.4","77","","WSW","7","1022.0","17.7","55","","SSE","20","1021.1"
"","2016-03-28","13.6","17.7","0","","","SSE","31","15:00","15.5","53","","S","6","1020.6","17.4","51","","SSE","17","1019.3"
"","2016-03-29","14.4","18.3","0","","","SSW","37","14:20","15.4","64","","S","15","1021.3","17.4","53","","SE","20","1020.6"
"","2016-03-30","12.4","19.4","0","","","S","33","11:03","15.4","61","","SW","7","1021.0","18.9","40","","SSW","26","1020.1"
"","2016-03-31","10.4","23.4","0","","","WNW","30","10:40","15.2","74","","WNW","9","1019.8","21.8","53","","WNW","11","1017.4"
