"Daily Weather Observations for Glen Innes Airport, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2173.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Glen Innes Airport AWS {station 056243}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.6","24.0","0","","","ESE","39","01:34","17.9","77","","ESE","20","1018.9","22.7","64","","E","26","1018.4"
"","2016-03-2","13.0","28.8","0","","","E","35","15:33","18.3","81","","ESE","20","1021.1","27.5","43","","NE","20","1018.2"
"","2016-03-3","16.0","28.3","0","","","E","39","17:41","18.3","82","","ESE","15","1021.4","25.5","38","","ESE","22","1019.2"
"","2016-03-4","13.0","27.9","0","","","E","35","17:24","18.6","72","","ESE","17","1021.0","27.2","35","","SSE","6","1017.7"
"","2016-03-5","11.7","26.6","0","","","E","39","14:50","17.1","79","","ESE","17","1020.8","26.3","45","","E","22","1018.3"
"","2016-03-6","11.8","25.4","0","","","ESE","48","10:26","17.0","81","","E","28","1021.1","24.3","46","","E","24","1019.6"
"","2016-03-7","14.3","26.0","0","","","E","39","15:16","17.5","81","","E","19","1021.6","25.1","51","","E","19","1019.4"
"","2016-03-8","12.2","26.3","0","","","E","44","12:42","17.7","78","","ESE","24","1021.4","23.7","54","","E","26","1019.7"
"","2016-03-9","14.4","26.8","0.2","","","E","43","12:29","18.6","79","","ENE","17","1022.7","25.8","44","","ENE","15","1019.9"
"","2016-03-10","11.3","30.1","0.2","","","E","39","15:49","14.8","93","","ESE","13","1021.7","29.6","18","","E","9","1018.2"
"","2016-03-11","13.3","27.7","0","","","ESE","30","15:56","17.6","88","","ESE","15","1020.5","25.7","43","","ESE","15","1017.5"
"","2016-03-12","14.2","27.4","0","","","E","41","15:27","19.2","70","","ESE","19","1020.1","26.3","38","","E","20","1017.9"
"","2016-03-13","12.4","27.2","0","","","ENE","41","10:38","17.7","85","","ESE","19","1019.4","26.4","46","","E","22","1016.7"
"","2016-03-14","12.4","28.2","0","","","SSE","48","16:31","18.3","84","","ESE","13","1017.2","24.2","55","","W","20","1012.9"
"","2016-03-15","15.3","25.1","12.6","","","E","39","13:38","18.9","80","","SE","19","1015.5","24.4","45","","E","19","1014.0"
"","2016-03-16","13.7","24.2","0","","","ESE","39","19:48","17.0","85","","ESE","19","1015.7","22.3","59","","E","19","1013.5"
"","2016-03-17","14.9","25.3","0","","","E","33","23:04","17.3","78","","E","19","1014.5","19.8","76","","S","17","1010.4"
"","2016-03-18","11.0","28.7","0.4","","","W","41","14:59","17.0","84","","NNE","6","1009.1","28.4","42","","WNW","24","1004.2"
"","2016-03-19","12.8","24.9","7.6","","","WNW","39","12:16","17.4","94","","NW","17","1008.4","24.7","57","","WNW","22","1007.3"
"","2016-03-20","12.5","23.0","0","","","E","39","14:21","16.8","79","","ESE","17","1012.6","22.4","58","","E","19","1010.1"
"","2016-03-21","13.5","23.4","0","","","E","43","15:53","15.7","80","","ESE","20","1013.0","21.6","52","","NNE","13","1009.2"
"","2016-03-22","7.7","23.5","1.4","","","ESE","30","23:03","13.2","78","","SE","19","1013.3","20.4","45","","SSE","9","1010.4"
"","2016-03-23","8.1","24.5","0","","","NW","30","10:58","14.8","81","","ESE","11","1016.5","23.2","34","","W","17","1014.6"
"","2016-03-24","8.7","25.2","0","","","WNW","28","11:48","14.3","90","","SSE","13","1020.6","24.3","35","","WNW","15","1017.9"
"","2016-03-25","11.4","26.3","0","","","W","35","13:19","16.9","77","","SE","11","1019.4","25.7","35","","WNW","22","1016.1"
"","2016-03-26","13.1","26.7","0","","","W","35","13:30","17.9","78","","NW","11","1017.3","24.8","36","","W","20","1013.8"
"","2016-03-27","12.7","27.3","0","","","ESE","41","15:30","16.5","88","","SSE","7","1016.7","25.0","33","","WSW","17","1013.6"
"","2016-03-28","9.9","26.8","0","","","WNW","31","12:18","16.4","86","","SE","13","1018.7","24.7","38","","WNW","13","1015.4"
"","2016-03-29","12.0","26.7","0","","","WNW","35","16:45","14.0","96","","ESE","9","1019.1","25.0","46","","WNW","17","1016.2"
"","2016-03-30","11.1","21.4","6.6","","","SW","48","18:12","14.0","93","","NNE","7","1017.1","18.1","73","","WNW","17","1014.9"
"","2016-03-31","4.3","23.8","3.0","","","SW","31","08:46","12.3","90","","NNW","4","1016.4","22.2","29","","WSW","15","1014.0"
