"Daily Weather Observations for Gosford, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2048.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Gosford AWS {station 061425}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.6","28.4","0.2","","","ENE","30","14:51","21.8","90",""," ","Calm","","27.4","54","","E","15",""
"","2016-03-2","17.6","29.7","0","","","NE","31","16:27","23.4","73","","NE","7","","28.9","59","","ENE","13",""
"","2016-03-3","19.1","30.6","0","","","ENE","39","14:26","24.3","82","","N","4","","27.5","63","","NE","22",""
"","2016-03-4","20.8","28.5","0","","","E","35","13:46","23.8","82","","N","9","","28.1","58","","ENE","15",""
"","2016-03-5","17.0","28.7","0","","","ENE","31","15:20","23.2","78","","NE","6","","27.2","59","","ENE","19",""
"","2016-03-6","17.1","28.4","0","","","NE","39","16:25","22.6","77","","SSE","2","","27.0","64","","ENE","20",""
"","2016-03-7","18.3","30.8","0","","","NE","33","18:12","22.4","89",""," ","Calm","","28.3","57","","NE","19",""
"","2016-03-8","18.7","28.8","0","","","ENE","37","15:51","24.0","77",""," ","Calm","","26.1","67","","E","20",""
"","2016-03-9","20.5","31.4","0.6","","","ENE","33","14:03","24.0","82","","N","6","","29.0","59","","ENE","20",""
"","2016-03-10","19.8","29.7","0","","","SSW","22","11:03","23.2","92",""," ","Calm","","28.4","69","","SE","9",""
"","2016-03-11","21.4","29.5","0","","","ENE","30","13:40","23.4","85","","ENE","6","","28.7","67","","NE","17",""
"","2016-03-12","20.4","29.7","0","","","NE","31","18:31","22.0","93","","WNW","4","","27.9","69","","E","13",""
"","2016-03-13","19.4","29.0","0","","","NE","30","15:57","24.4","72","","N","7","","27.0","63","","E","17",""
"","2016-03-14","19.6","29.9","0","","","ENE","28","21:18","22.4","91","","W","2","","28.3","64","","E","13",""
"","2016-03-15","20.5","23.7","17.2","","","SW","33","05:58","20.6","95","","SE","7","","21.4","89",""," ","Calm",""
"","2016-03-16","19.1","24.8","52.6","","","SE","31","06:23","19.9","98","","SW","2","","24.4","71","","SSE","13",""
"","2016-03-17","18.9","25.2","10.2","","","ENE","20","13:34","20.5","92","","WNW","9","","24.5","70","","NE","9",""
"","2016-03-18","18.0","29.0","0","","","WSW","35","16:15","21.2","85","","NE","6","","25.1","75","","NNE","9",""
"","2016-03-19","14.9","22.7","8.0","","","W","33","02:11","18.1","55","","W","11","","21.5","58","","S","17",""
"","2016-03-20","16.1","20.1","0.4","","","S","31","11:51","16.4","87",""," ","Calm","","17.6","90","","SSW","4",""
"","2016-03-21","15.8","21.4","38.4","","","SSW","31","10:50","17.0","90","","WSW","11","","20.6","69","","SSW","11",""
"","2016-03-22","15.7","23.0","14.8","","","S","39","15:55","17.7","76","","SW","13","","21.6","63","","S","15",""
"","2016-03-23","15.2","24.6","0","","","WNW","19","01:23","18.8","70","","W","9","","24.3","54","","S","6",""
"","2016-03-24","13.6","27.6","0","","","NE","26","15:09","19.0","85",""," ","Calm","","26.3","52","","E","13",""
"","2016-03-25","15.3","25.8","0","","","WNW","13","13:21","19.4","90",""," ","Calm","","23.4","64","","W","9",""
"","2016-03-26","16.3","26.1","0","","","ENE","22","13:15","20.3","82","","WNW","7","","25.1","67","","E","9",""
"","2016-03-27","16.2","25.4","0","","","E","31","12:36","20.0","91","","W","4","","21.5","88","","W","7",""
"","2016-03-28","17.0","26.4","7.4","","","E","19","13:29","20.5","94",""," ","Calm","","24.6","73","","E","9",""
"","2016-03-29","20.1","24.1","0.2","","","SSW","26","12:18","22.4","90","","SW","7","","23.4","80","","SSW","13",""
"","2016-03-30","19.4","27.3","0.4","","","W","26","12:58","20.7","87","","W","6","","26.6","43","","WSW","6",""
"","2016-03-31","15.5","24.1","0","","","SSE","24","13:03","19.8","58","","W","7","","22.9","57","","S","13",""
