"Daily Weather Observations for Grafton, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2050.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Grafton Airport AWS {station 058161}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","20.3","27.9","","","","SSE","37","14:24","22.8","81","8","SSW","15","1020.6","26.7","56","8","SSE","20","1019.3"
"","2016-03-2","20.3","29.8","","","","ENE","31","11:48","23.5","73","8","SSW","9","1021.2","23.7","88","7","E","9","1019.3"
"","2016-03-3","20.6","27.8","","","","NE","30","12:46","23.8","85","8"," ","Calm","1021.9","22.6","89","8","SE","17","1020.9"
"","2016-03-4","19.7","29.1","","","","ESE","28","17:19","23.8","77","1","S","7","1021.7","27.3","54","7","E","11","1019.6"
"","2016-03-5","17.8","29.1","","","","ESE","30","14:14","22.7","83","8","SW","6","1021.7","28.0","49","1","ENE","13","1019.8"
"","2016-03-6","17.8","29.8","","","","NE","33","14:47","22.4","81","","S","7","1022.3","28.2","54","6","E","17","1020.3"
"","2016-03-7","20.5","30.5","","","","ENE","31","14:17","23.1","85","","SW","9","1022.5","28.9","47","","ENE","17","1019.7"
"","2016-03-8","18.8","30.0","","","","SE","33","11:42","22.5","83","2","SSW","9","1022.0","24.8","79","8","SE","13","1020.7"
"","2016-03-9","20.2","31.0","","","","NE","30","13:36","23.4","86","3","S","7","1023.1","29.0","56","1","E","19","1020.1"
"","2016-03-10","16.8","31.7","","","","NE","30","14:52","21.8","85","","N","4","1021.9","31.0","43","2","NNE","17","1018.8"
"","2016-03-11","19.8","30.9","","","","ENE","26","14:39","22.5","87","","SW","6","1020.6","28.9","56","","E","17","1018.0"
"","2016-03-12","19.2","29.9","0","","","NE","30","09:52","23.9","78","","SW","9","1020.6","28.9","40","6","ESE","13","1018.9"
"","2016-03-13","18.9","27.4","2.8","","","NNE","24","11:00","21.9","89","7","S","13","1020.3","26.0","80","8","SE","4","1017.6"
"","2016-03-14","20.0","30.1","1.2","","","NE","30","13:12","22.4","98","8","SSW","2","1017.6","29.1","55","5","NE","15","1013.4"
"","2016-03-15","19.1","29.8","0","","","SSE","39","15:41","24.3","74","","S","13","1016.3","28.4","47","1","SSE","20","1014.5"
"","2016-03-16","20.3","27.7","0.8","","","SSE","37","15:14","22.8","79","8","S","13","1016.2","26.8","58","3","SSE","20","1014.4"
"","2016-03-17","19.1","29.6","0","","","","","","22.3","80","8","SSW","6","1015.2","28.3","38","8","ESE","20","1011.0"
"","2016-03-18","16.6","32.7","","","","NNE","37","11:57","22.2","83","","NNW","2","1009.1","32.1","46","","NNE","24","1002.7"
"","2016-03-19","18.8","27.0","9.6","","","SE","35","13:14","23.9","69","","S","20","1008.1","24.8","51","6","SE","20","1008.3"
"","2016-03-20","18.9","26.4","0","","","S","39","10:00","22.3","67","8","SSW","15","1014.4","24.3","53","8","SE","20","1012.9"
"","2016-03-21","19.0","27.6","0","","","SSW","59","13:56","21.9","66","6","SSW","15","1014.2","23.3","55","6","S","35","1012.0"
"","2016-03-22","12.5","29.2","0","","","ESE","35","16:03","19.0","76","","W","6","1014.9","26.3","50","1","ESE","17","1011.5"
"","2016-03-23","14.3","30.0","1.0","","","NE","31","14:33","18.7","80","","SW","7","1017.6","28.4","37","4","E","15","1015.0"
"","2016-03-24","14.1","30.4","0.2","","","ESE","31","16:52","19.6","74","","SW","6","1021.4","29.9","36","8","NE","11","1018.1"
"","2016-03-25","14.6","30.3","0","","","NNE","30","16:27","19.5","77","","SSW","2","1020.5","29.4","39","","ENE","11","1015.5"
"","2016-03-26","19.3","31.2","0","","","S","37","14:11","20.8","81","8","NW","2","1017.3","27.4","52","8","SSE","24","1013.8"
"","2016-03-27","19.1","26.7","11.8","","","SSE","37","10:42","21.2","94","1","S","2","1017.3","22.6","86","8","SE","9","1015.8"
"","2016-03-28","16.2","29.1","32.8","","","NE","30","15:25","19.7","91","8","SW","7","1019.9","28.3","53","1","ENE","15","1016.2"
"","2016-03-29","16.7","31.1","0.2","","","NNE","28","13:41","21.0","84","","N","4","1019.4","30.6","47","","NNE","15","1015.0"
"","2016-03-30","19.3","24.3","2.6","","","WSW","20","10:33","21.0","98","8","N","6","1016.9","19.5","89","8","N","7","1014.9"
"","2016-03-31","15.0","29.1","5.4","","","SE","30","15:58","18.0","89",""," ","Calm","1017.1","28.7","32","","N","9","1014.4"
