"Daily Weather Observations for Green Cape, New South Wales for March 2016"
"Prepared at 13:00 GMT on Thursday 14 April 2016   IDCJDW2051.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Green Cape AWS {station 069137}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","20.1","26.0","1.6","","","NNE","52","18:38","22.9","84","","N","20","1021.3","25.5","73","","NNE","39","1018.4"
"","2016-03-2","21.5","26.3","0.2","","","N","50","23:40","22.4","91","","N","28","1017.6","25.8","79","","N","28","1016.0"
"","2016-03-3","20.8","27.9","0","","","NNE","33","20:46","23.1","84",""," ","Calm","1020.8","24.1","76","","E","11","1020.4"
"","2016-03-4","21.9","26.3","0","","","N","61","20:32","22.9","90","","N","33","1019.1","26.0","76","","N","26","1017.8"
"","2016-03-5","21.1","25.5","0","","","N","61","23:45","22.0","91","","N","43","1017.8","24.7","80","","N","28","1018.0"
"","2016-03-6","19.7","25.4","0","","","N","50","22:16","22.0","92","","N","28","1020.4","25.1","75","","N","35","1018.9"
"","2016-03-7","19.9","27.7","0","","","N","48","23:10","20.9","95","","N","26","1019.2","26.6","72","","SE","13","1020.1"
"","2016-03-8","19.4","26.4","0","","","N","50","22:49","21.4","94","","N","11","1023.0","26.1","76","","NNE","30","1021.4"
"","2016-03-9","18.4","24.8","0","","","N","50","23:04","19.7","88","","N","33","1016.9","22.1","82","","N","35","1014.6"
"","2016-03-10","18.2","23.4","0","","","S","28","23:55","20.4","87","","W","17","1022.6","22.2","82","","SSW","6","1021.1"
"","2016-03-11","17.4","25.4","1.2","","","N","33","09:26","18.1","99","","N","19","1017.9","24.7","83","","NNE","9","1016.0"
"","2016-03-12","17.8","24.1","0.2","","","S","33","14:47","18.4","99","","WSW","9","1019.7","21.2","86","","SSE","22","1019.0"
"","2016-03-13","18.4","26.0","0.2","","","SW","15","01:54","21.2","93","","W","9","1020.7","23.8","84","","SW","4","1018.4"
"","2016-03-14","19.0","23.1","0","","","S","46","11:40","20.0","94","","SW","26","1017.7","22.2","80","","S","35","1017.6"
"","2016-03-15","19.6","21.8","1.4","","","SE","52","20:23","20.7","77","","SE","33","1022.2","21.0","75","","SSE","35","1022.0"
"","2016-03-16","18.4","22.7","2.2","","","SE","37","23:59","20.9","77","","E","20","1022.6","20.6","81","","NNE","4","1020.9"
"","2016-03-17","16.1","24.4","1.2","","","NNE","48","22:56","19.5","87","","N","9","1016.9","24.1","71","","NNE","30","1012.0"
"","2016-03-18","19.5","21.4","0","","","WSW","102","12:03","20.8","92","","N","54","995.9","15.0","91","","WSW","33","993.4"
"","2016-03-19","14.0","19.6","10.8","","","WSW","69","06:03","15.3","68","","WSW","41","1009.5","17.2","70","","S","39","1012.0"
"","2016-03-20","13.6","20.6","0","","","WSW","48","00:18","15.3","82","","WSW","26","1019.8","19.8","56","","S","28","1019.2"
"","2016-03-21","14.6","19.8","0.6","","","S","56","21:26","15.9","87","","WSW","30","1020.3","18.5","81","","S","39","1018.8"
"","2016-03-22","15.2","20.3","8.8","","","SW","48","08:08","17.5","80","","SW","33","1019.7","19.4","77","","SSW","30","1018.1"
"","2016-03-23","14.4","23.5","0.2","","","N","26","11:02","16.7","85","","W","9","1017.2","21.3","67","","NNE","15","1015.8"
"","2016-03-24","16.7","20.6","0","","","W","24","05:39","18.8","72","","W","11","1020.4","20.1","73","","SSW","4","1019.7"
"","2016-03-25","17.6","21.8","0","","","SSW","52","15:22","18.6","86","","WSW","24","1017.2","20.0","76","","SSW","35","1016.1"
"","2016-03-26","15.6","23.5","0","","","S","44","16:34","17.2","70","","W","24","1018.6","23.0","59","","S","17","1016.8"
"","2016-03-27","16.6","20.2","0","","","SSW","50","14:55","16.9","79","","WSW","31","1019.5","19.0","69","","SSW","33","1018.6"
"","2016-03-28","16.0","21.1","0","","","WSW","30","23:18","16.5","72","","W","17","1021.0","19.8","67","","S","13","1018.2"
"","2016-03-29","16.4","20.1","0","","","S","37","03:36","17.0","90","","SSW","17","1020.6","18.8","87","","SSE","20","1018.7"
"","2016-03-30","16.4","19.4","14.6","","","SW","70","18:17","17.2","90","","W","31","1014.3","17.1","92","","WSW","50","1011.5"
"","2016-03-31","14.7","21.4","8.2","","","WSW","69","02:20","16.2","79","","WSW","31","1017.2","20.8","61","","WSW","24","1016.5"
