"Daily Weather Observations for Guyra, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2057.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Guyra Hospital {station 056229}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","9.3","23.2","0","","","","","","17.0","84","6","ENE","20","","","","","","",""
"","2016-03-2","11.1","28.4","0","","","","","","18.8","74","0","","4","","","","","","",""
"","2016-03-3","14.0","26.1","0","","","","","","18.7","80","3","","4","","","","","","",""
"","2016-03-4","13.1","26.1","0","","","","","","16.6","90","6","ENE","4","","","","","","",""
"","2016-03-5","12.1","25.9","0","","","","","","16.7","84","6","E","4","","","","","","",""
"","2016-03-6","10.8","23.5","0","","","","","","16.8","77","2","ENE","20","","","","","","",""
"","2016-03-7","12.5","24.9","0","","","","","","17.4","72","3","NE","7","","","","","","",""
"","2016-03-8","10.1","24.8","0","","","","","","17.2","63","0","ENE","7","","","","","","",""
"","2016-03-9","14.5","25.1","0","","","","","","17.4","78","3","NE","15","","","","","","",""
"","2016-03-10","11.3","27.1","0","","","","","","19.6","32","7","","4","","","","","","",""
"","2016-03-11","12.6","24.4","0","","","","","","17.4","77","7","ENE","4","","","","","","",""
"","2016-03-12","12.1","27.1","0","","","","","","17.7","78","0","ENE","7","","","","","","",""
"","2016-03-13","10.2","25.9","0","","","","","","16.0","90","7","NE","15","","","","","","",""
"","2016-03-14","12.6","27.1","0","","","","","","19.5","70","2","S","4","","","","","","",""
"","2016-03-15","13.6","23.5","9.8","","","","","","16.1","88","6","ESE","15","","","","","","",""
"","2016-03-16","11.2","22.5","0","","","","","","15.7","87","7","SE","7","","","","","","",""
"","2016-03-17","12.7","21.9","0","","","","","","14.6","88","7","E","7","","","","","","",""
"","2016-03-18","12.0","23.5","1.2","","","","","","18.3","74","0","NW","15","","","","","","",""
"","2016-03-19","13.8","22.8","2.8","","","","","","15.5","100","8","NW","7","","","","","","",""
"","2016-03-20","9.9","22.2","0","","","","","","15.4","83","6","ENE","7","","","","","","",""
"","2016-03-21","11.7","20.9","0","","","","","","14.5","82","6","ENE","7","","","","","","",""
"","2016-03-22","8.1","20.3","5.8","","","","","","11.4","84","4","SE","7","","","","","","",""
"","2016-03-23","6.7","21.8","0","","","","","","12.2","80","0","SE","4","","","","","","",""
"","2016-03-24","7.5","24.1","0","","","","","","15.0","71","0"," ","Calm","","","","","","",""
"","2016-03-25","9.0","23.1","0","","","","","","16.0","80","0","NW","7","","","","","","",""
"","2016-03-26","12.1","23.7","0","","","","","","16.9","79","6","NW","7","","","","","","",""
"","2016-03-27","12.9","23.5","0","","","","","","17.0","76","7","NNW","4","","","","","","",""
"","2016-03-28","9.6","24.6","0","","","","","","16.4","77","5","NNW","4","","","","","","",""
"","2016-03-29","11.5","24.1","0","","","","","","16.5","81","7","NW","20","","","","","","",""
"","2016-03-30","11.4","18.9","0","","","","","","12.6","93","8","WSW","4","","","","","","",""
"","2016-03-31","7.0","20.2","4.0","","","","","","12.5","65","0","SW","7","","","","","","",""
