"Daily Weather Observations for Hamilton, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3032.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Hamilton Airport {station 090173}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","10.3","32.3","0","","","NW","41","12:38","16.9","75","","N","11","1016.8","30.8","22","1","NW","20","1015.3"
"","2016-03-2","13.7","32.1","0","","","S","39","15:15","20.0","53","","E","15","1017.0","29.6","32","","S","26","1016.2"
"","2016-03-3","13.0","29.6","0","","","SSE","43","17:13","15.0","81","7","ESE","28","1020.6","27.3","31","","SSE","13","1018.3"
"","2016-03-4","12.8","34.1","0","","","","","","16.6","77","","ESE","22","1016.9","33.0","26","","WSW","11","1014.2"
"","2016-03-5","14.5","28.5","0","","","S","39","14:16","17.8","81","8","ESE","24","1019.5","26.9","42","","SE","19","1019.1"
"","2016-03-6","13.9","31.8","0","","","SSE","41","14:17","17.2","81","7","ESE","24","1018.5","31.5","29","","SSE","26","1017.6"
"","2016-03-7","16.5","30.6","0.6","","","SSE","57","08:44","17.7","83","8","SSE","33","1019.7","28.3","30","2","SE","35","1019.4"
"","2016-03-8","15.4","39.1","0.2","","","N","54","12:56","19.4","80","6","ESE","17","1017.4","38.7","15","","NNW","30","1013.8"
"","2016-03-9","18.9","23.6","0","","","ESE","39","21:06","19.1","80","8","S","17","1017.0","22.3","72","5","SE","22","1017.1"
"","2016-03-10","15.3","22.8","4.8","","","SE","31","23:03","16.8","96","7","ESE","22","1019.9","20.9","86","8","SE","9","1017.7"
"","2016-03-11","16.5","29.6","1.4","","","SSE","33","17:14","18.5","97","8","NNE","6","1017.6","28.6","50","7","WSW","19","1016.0"
"","2016-03-12","16.9","24.6","0.2","","","SSW","37","13:55","17.0","96","8","SSE","17","1020.8","24.1","61","4","S","20","1020.7"
"","2016-03-13","14.5","27.0","0","","","E","37","06:32","15.3","94","8","ESE","22","1020.5","25.1","51","","SE","15","1018.7"
"","2016-03-14","14.0","21.1","0","","","SSE","52","16:53","14.4","94","8","SSE","22","1021.5","19.5","52","5","SSE","28","1021.2"
"","2016-03-15","12.6","27.6","0","","","E","54","09:56","14.3","87","8","ESE","22","1020.3","25.6","41","","E","24","1017.3"
"","2016-03-16","12.7","31.9","0.2","","","ESE","41","23:54","16.5","81","","ESE","15","1016.9","30.2","26","","NNW","20","1013.8"
"","2016-03-17","15.4","33.8","0","","","NNW","57","14:32","24.2","44","","N","28","1010.4","30.9","26","1","N","41","1004.7"
"","2016-03-18","11.4","18.2","24.4","","","WSW","69","02:30","11.5","92","8","SW","22","1001.3","12.4","91","8","SW","39","1007.1"
"","2016-03-19","8.2","16.0","2.4","","","S","37","11:46","11.5","91","6","WSW","11","1016.3","15.4","56","8","SSW","17","1018.2"
"","2016-03-20","10.4","17.8","0","","","SSW","43","17:03","11.6","85","8","S","11","1021.6","17.0","53","8","S","22","1020.7"
"","2016-03-21","6.5","22.3","0","","","ESE","41","15:56","11.6","92","","ESE","22","1021.9","21.3","41","","ESE","24","1019.4"
"","2016-03-22","8.6","26.2","0.2","","","E","33","00:43","13.0","91","","E","13","1018.9","25.0","30","","NNW","17","1015.9"
"","2016-03-23","12.9","26.2","0","","","SSW","33","15:45","16.8","55","8","N","15","1016.1","24.7","34","2","SSW","19","1016.1"
"","2016-03-24","14.0","21.2","0.4","","","SSW","37","16:17","14.6","91","8","SE","20","1020.9","20.7","57","6","SE","13","1019.2"
"","2016-03-25","9.0","21.3","0","","","SW","39","11:58","12.7","69","7","SW","4","1021.7","18.5","49","7","SW","19","1020.8"
"","2016-03-26","12.3","18.4","0.6","","","WSW","30","12:41","13.3","94","8","W","13","1021.0","17.5","67","8","SW","19","1020.5"
"","2016-03-27","10.5","17.8","0.6","","","SSE","35","14:23","12.4","79","8","S","11","1022.5","16.6","48","8","S","17","1021.3"
"","2016-03-28","6.5","16.6","0","","","SSE","31","12:32","11.0","76","8","SE","11","1020.8","15.1","55","8","S","17","1019.9"
"","2016-03-29","9.8","16.8","0","","","S","37","14:05","11.9","76","7","SE","13","1021.8","16.0","52","8","SSW","28","1020.8"
"","2016-03-30","10.5","19.2","0","","","SSW","39","11:21","12.1","68","8","WSW","7","1022.1","17.2","43","6","S","22","1020.7"
"","2016-03-31","9.2","22.5","0","","","NW","39","14:14","13.4","89","8","NNW","13","1020.4","21.8","47","4","WNW","20","1017.8"
