"Daily Weather Observations for Hogan Island for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3088.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Hogan Island {station 200838}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.3","24.5","0.6","","","E","65","05:19","20.7","88","","ENE","35","1018.2","22.9","79","","NE","22","1016.1"
"","2016-03-2","18.6","29.3","0.2","","","W","46","23:00","23.9","64","","ENE","7","1016.7","27.9","50","","N","9","1015.7"
"","2016-03-3","15.2","22.2","0.4","","","W","50","23:01","17.5","79","","SW","9","1021.6","21.0","71","","E","20","1020.1"
"","2016-03-4","17.2","24.3","0.2","","","ENE","31","15:11","19.0","97","","E","22","1019.2","22.6","79","","ENE","24","1016.7"
"","2016-03-5","17.8","22.4","0","","","WSW","46","09:59","18.4","97","","WSW","28","1017.9","20.0","71","","WSW","39","1019.3"
"","2016-03-6","15.9","23.3","0","","","WSW","28","15:21","19.2","83","","WNW","9","1020.6","21.5","72","","SW","19","1019.5"
"","2016-03-7","17.5","22.8","0","","","E","48","22:36","19.4","95","","NNE","15","1019.4","21.8","85","","SE","11","1021.1"
"","2016-03-8","19.0","26.9","0","","","E","70","06:43","19.8","90","","E","56","1021.8","21.2","91","","E","44","1019.6"
"","2016-03-9","19.8","24.3","0","","","W","72","11:22","24.1","60","","WNW","37","1012.8","19.7","96","","W","46","1015.4"
"","2016-03-10","16.5","21.6","1.2","","","ENE","52","22:57","18.1","91","","E","13","1022.2","21.0","89","","ENE","35","1020.2"
"","2016-03-11","18.0","22.7","4.0","","","ENE","52","23:09","20.5","97","","WNW","11","1016.6","21.4","84","","W","37","1015.3"
"","2016-03-12","18.2","22.1","0","","","W","37","01:54","19.1","87","","WSW","22","1020.0","20.2","81","","SW","20","1020.2"
"","2016-03-13","16.9","22.7","0","","","SSE","20","04:06","19.7","81","","S","11","1021.0","21.0","78","","SSE","13","1019.4"
"","2016-03-14","16.7","21.4","0","","","ESE","76","22:45","17.3","78","","WSW","33","1019.4","20.1","60","","WSW","24","1019.8"
"","2016-03-15","15.7","20.9","0.4","","","ESE","87","04:36","17.0","66","","ESE","63","1024.6","19.0","55","","ESE","57","1024.1"
"","2016-03-16","16.1","21.9","0","","","E","70","23:53","18.6","69","","E","54","1022.1","20.9","74","","E","48","1019.5"
"","2016-03-17","17.6","23.2","0","","","ENE","57","03:49","19.2","80","","NE","43","1013.7","21.8","72","","NE","35","1008.7"
"","2016-03-18","14.5","15.8","23.6","","","WSW","137","14:51","14.5","96","","W","89","990.5","14.1","93","","W","54","991.8"
"","2016-03-19","12.0","19.0","12.4","","","SW","89","00:02","14.4","65","","SW","56","1010.8","18.0","50","","SSW","26","1014.8"
"","2016-03-20","12.7","19.8","0","","","ESE","43","22:22","13.2","83","","SE","20","1021.7","18.4","56","","SE","19","1021.4"
"","2016-03-21","12.9","19.0","0.2","","","E","44","20:30","17.1","82","","SE","9","1022.4","18.1","72","","SW","11","1021.5"
"","2016-03-22","13.9","20.9","0.4","","","ENE","35","00:24","17.3","80","","E","20","1021.1","19.2","67","","ENE","19","1019.1"
"","2016-03-23","14.3","21.6","0","","","N","31","05:27","17.5","76","","NNE","24","1015.9","20.1","64","","WNW","17","1015.2"
"","2016-03-24","15.2","19.6","0","","","WSW","39","16:37","15.8","84","","WSW","24","1020.0","19.0","64","","WSW","31","1019.1"
"","2016-03-25","14.2","19.3","0","","","W","67","14:08","15.7","69","","WSW","37","1018.9","18.5","59","","W","56","1017.1"
"","2016-03-26","14.7","19.2","0","","","W","63","08:48","16.3","76","","W","48","1017.3","18.5","76","","W","50","1016.6"
"","2016-03-27","13.8","18.1","0","","","SW","63","03:49","14.3","63","","SW","35","1020.4","17.1","53","","SW","30","1020.3"
"","2016-03-28","12.9","18.8","0","","","SW","43","02:16","14.4","58","","SW","15","1020.7","16.4","55","","SSW","17","1018.9"
"","2016-03-29","13.0","18.4","0","","","ESE","35","23:00","14.9","61","","SSW","13","1021.2","16.3","56","","S","17","1020.3"
"","2016-03-30","13.3","15.6","5.4","","","SW","59","15:11","14.3","97","","S","31","1018.3","14.2","97","","SW","39","1017.3"
"","2016-03-31","12.8","19.5","0.6","","","W","50","14:24","15.4","89","","WNW","33","1018.2","18.8","73","","W","35","1016.5"
