"Daily Weather Observations for Holsworthy Aerodrome, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2161.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Holsworthy Aerodrome AWS {station 066161}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.0","29.7","0.2","","","ENE","31","16:14","21.7","90","3"," ","Calm","1022.1","28.2","50","1","NNE","13","1019.4"
"","2016-03-2","17.1","31.6","0","","","NNE","35","18:58","22.2","77","1","WSW","9","1021.4","30.7","46","","ESE","20","1018.1"
"","2016-03-3","19.6","32.7","0","","","ENE","39","16:33","23.2","80","1","N","7","1021.5","31.1","46","","ENE","19","1018.6"
"","2016-03-4","19.9","30.0","0","","","E","37","14:30","23.4","79","8","N","6","1022.1","28.3","51","2","ENE","20","1019.5"
"","2016-03-5","15.9","31.2","0","","","NE","30","14:15","21.8","77","","NNE","6","1021.8","30.0","47","","NE","17","1018.6"
"","2016-03-6","16.2","30.1","0","","","ENE","37","14:49","22.2","78","","W","7","1023.1","29.1","55","","ENE","17","1020.5"
"","2016-03-7","18.5","32.1","0","","","E","33","14:25","23.8","78","","ESE","6","1021.5","31.2","41","","ENE","11","1017.9"
"","2016-03-8","18.7","30.2","0","","","E","33","12:00","24.3","72","","NE","9","1023.5","28.2","45","","NE","20","1022.1"
"","2016-03-9","19.9","33.8","0","","","E","31","14:11","24.6","78","3","NE","7","1021.6","33.4","41","","E","11","1017.0"
"","2016-03-10","19.3","29.6","0","","","SE","41","10:30","25.2","79",""," ","Calm","1019.8","28.8","59","1","SE","28","1018.7"
"","2016-03-11","21.8","29.9","0","","","E","24","04:17","23.6","84","8","SE","7","1020.3","27.2","64","8","ESE","15","1017.9"
"","2016-03-12","18.2","32.0","0","","","E","31","14:59","22.9","83","","W","6","1019.6","30.8","50","","E","19","1017.1"
"","2016-03-13","19.3","29.5","0","","","ENE","31","16:49","24.1","71","","N","7","1020.8","28.2","52","1","E","19","1017.5"
"","2016-03-14","19.4","31.7","0","","","SE","44","13:33","21.9","89","8","W","7","1016.4","25.0","75","1","SE","28","1014.4"
"","2016-03-15","18.9","26.4","2.2","","","SSE","39","15:06","19.4","94","8","SSW","13","1019.8","25.5","54","2","SSE","22","1018.6"
"","2016-03-16","17.7","25.9","5.4","","","SSE","37","17:11","18.8","95","5","WSW","9","1019.9","24.9","54","1","SE","22","1017.9"
"","2016-03-17","17.7","26.5","44.6","","","E","28","15:04","20.5","93","5","WSW","7","1017.0","25.7","62","6","E","17","1012.5"
"","2016-03-18","17.7","27.2","0","","","WSW","46","15:11","21.0","83","","NNE","9","1003.4","25.9","69","4","N","22","996.5"
"","2016-03-19","10.4","22.8","5.0","","","SE","35","16:30","16.5","58","","WSW","7","1011.0","21.9","46","1","SSE","19","1011.1"
"","2016-03-20","14.3","23.0","0.2","","","S","50","14:38","16.2","68","1","WSW","13","1017.4","21.1","60","8","SSE","30","1016.4"
"","2016-03-21","14.7","20.8","2.0","","","SSE","37","15:09","15.8","87","8","WSW","7","1018.5","20.5","65","7","SSE","19","1016.5"
"","2016-03-22","12.6","23.6","0.8","","","S","41","14:03","17.3","73","","WSW","17","1017.6","21.7","58","8","SSE","20","1015.5"
"","2016-03-23","12.3","25.8","0","","","E","28","14:31","17.3","76","","SW","15","1018.1","24.7","50","","ENE","15","1016.2"
"","2016-03-24","12.8","28.6","0","","","E","35","15:25","16.7","85","7","W","7","1020.9","28.1","35","","NNE","15","1018.3"
"","2016-03-25","15.9","24.3","0","","","SSE","22","21:04","19.3","83","8"," ","Calm","1018.8","23.4","63","8","WNW","7","1016.2"
"","2016-03-26","14.9","27.0","0","","","ESE","30","15:30","19.1","80","","W","7","1018.6","25.9","60","","E","19","1015.5"
"","2016-03-27","17.3","25.4","0","","","SE","35","12:41","21.8","81","8","SSE","15","1018.1","24.3","63","8","E","20","1016.6"
"","2016-03-28","18.0","25.6","0","","","SE","30","14:23","20.6","80","8","SSE","13","1018.8","25.1","65","4","E","13","1015.4"
"","2016-03-29","18.3","23.9","0","","","SSE","31","11:36","20.9","81","8","S","7","1017.7","20.2","93","8","S","7","1016.1"
"","2016-03-30","16.0","26.9","5.0","","","WSW","26","11:06","19.0","89","","WSW","6","1015.0","25.3","37","8","NW","6","1012.1"
"","2016-03-31","12.6","24.8","0","","","SE","30","10:40","17.8","64","","WSW","11","1017.3","24.0","49","","SSE","17","1016.0"
