"Daily Weather Observations for Horsham, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3035.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Horsham Aerodrome {station 079100}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","11.5","33.8","0","","","WNW","39","15:02","19.2","62","","ENE","19","1017.1","32.1","18","","NW","9","1015.1"
"","2016-03-2","14.3","38.2","0","","","SW","46","16:52","21.7","35","","SE","6","1016.7","35.9","12","2","NW","22","1014.5"
"","2016-03-3","14.1","34.0","0","","","E","35","00:26","17.0","74","2","WSW","7","1019.2","31.9","26","","W","13","1017.1"
"","2016-03-4","15.2","38.5","0","","","W","43","15:48","23.6","48","","E","22","1015.9","36.9","19","","WSW","13","1012.9"
"","2016-03-5","15.8","35.6","0","","","ESE","31","22:47","19.9","69","8","SE","13","1017.8","34.2","25","","S","17","1016.4"
"","2016-03-6","16.4","40.0","0","","","SSE","46","16:20","21.4","61","","E","22","1017.4","38.0","18","","SW","7","1013.9"
"","2016-03-7","21.3","35.9","0","","","ESE","46","00:58","23.4","53","8","SSE","22","1016.4","33.3","32","","ESE","28","1016.2"
"","2016-03-8","19.9","41.1","0","","","NNW","65","20:55","22.8","61","1","E","24","1016.8","39.4","12","","NNW","35","1013.4"
"","2016-03-9","22.6","32.7","0","","","NW","67","02:06","23.7","64","6","SW","20","1015.1","32.0","35","1","S","19","1014.9"
"","2016-03-10","19.0","22.6","","","","","","","19.1","96","8","ESE","6","1019.7","22.0","89","8","ESE","15","1017.3"
"","2016-03-11","17.2","30.6","7.6","","","SSW","30","14:34","18.6","99","8","S","9","1017.3","28.4","50","7","SSW","19","1015.5"
"","2016-03-12","17.2","30.6","0","","","SSW","43","15:01","19.3","95","","SSW","15","1019.6","29.3","45","3","SSW","17","1019.0"
"","2016-03-13","13.8","32.5","0","","","S","31","22:21","17.5","94","4","SE","11","1019.8","29.9","35","","SW","9","1017.4"
"","2016-03-14","14.0","27.8","0","","","SE","41","19:00","17.2","83","","SSE","7","1020.1","26.5","37","","SE","20","1017.9"
"","2016-03-15","10.0","29.6","0","","","ESE","37","08:56","14.7","75","","SSW","9","1019.1","27.4","30","","SE","17","1016.4"
"","2016-03-16","14.7","33.2","0","","","ENE","39","08:25","20.3","67","","ENE","28","1016.5","31.8","22","","WNW","13","1013.4"
"","2016-03-17","16.7","34.8","0","","","W","54","22:38","22.5","51","5","NE","19","1011.1","33.5","23","6","N","30","1004.8"
"","2016-03-18","12.3","18.5","10.8","","","WNW","69","02:54","12.7","80","8","SW","30","1002.2","17.0","61","8","SW","37","1006.7"
"","2016-03-19","7.2","18.6","0.4","","","SW","35","11:33","11.2","95","7","SW","7","1017.0","17.4","51","8","SSE","22","1017.5"
"","2016-03-20","6.2","21.7","0","","","S","43","17:40","12.5","74","8","S","13","1021.5","19.2","40","1","SE","20","1019.6"
"","2016-03-21","7.2","25.2","0","","","SE","41","16:51","14.0","79","","SE","13","1020.7","24.2","30","","S","13","1018.1"
"","2016-03-22","10.0","28.0","0","","","NNW","35","13:08","15.2","79","","E","19","1018.8","26.4","28","","NW","11","1015.8"
"","2016-03-23","12.8","28.1","0","","","WSW","41","19:16","16.8","51","7","NE","9","1016.5","27.4","22","8","W","19","1015.6"
"","2016-03-24","14.3","27.0","0","","","S","37","14:47","16.9","76","","S","11","1019.9","25.5","42","","WNW","13","1018.0"
"","2016-03-25","10.3","23.3","0","","","SSW","44","13:31","13.0","72","","SSW","28","1022.0","22.2","35","","SW","28","1019.9"
"","2016-03-26","10.1","20.5","0","","","WSW","39","12:35","13.2","86","7","WSW","13","1021.5","20.0","55","8","SW","20","1020.3"
"","2016-03-27","11.1","21.3","0","","","SE","37","12:59","14.3","76","7","S","13","1022.6","19.3","39","","SSE","19","1020.3"
"","2016-03-28","7.8","18.7","0","","","S","33","15:14","10.3","73","5","S","9","1020.2","17.3","41","7","SSW","17","1019.1"
"","2016-03-29","7.9","21.6","0","","","SSW","43","14:36","11.9","79","","S","19","1021.4","20.9","32","6","SSE","24","1019.0"
"","2016-03-30","6.3","20.6","0","","","S","46","14:52","12.7","63","8","SSW","13","1022.4","18.5","35","6","S","24","1020.6"
"","2016-03-31","6.8","23.8","0","","","SW","30","16:17","12.2","83","8","WNW","9","1021.2","21.9","46","6","WNW","17","1018.1"
