"Daily Weather Observations for Horsley Park, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2062.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Horsley Park Equestrian Centre AWS {station 067119}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.5","29.5","0.2","","","ENE","28","16:28","21.8","89","","SSE","2","","27.1","51","","NNE","7",""
"","2016-03-2","16.4","33.3","0.2","","","E","26","15:56","20.6","82","","NW","4","","31.7","35","","NE","9",""
"","2016-03-3","18.8","33.5","0","","","E","30","16:54","22.2","83","","N","6","","33.0","37","","ENE","6",""
"","2016-03-4","19.4","31.0","0","","","ENE","31","17:32","23.9","76","","NNW","2","","29.6","49","","NE","17",""
"","2016-03-5","16.7","31.9","0","","","E","26","14:43","22.3","77",""," ","Calm","","31.2","28","","NNE","6",""
"","2016-03-6","16.6","31.4","0","","","E","33","14:10","21.4","81",""," ","Calm","","29.9","50","","ESE","19",""
"","2016-03-7","18.2","32.5","0","","","ESE","30","15:06","23.1","77",""," ","Calm","","31.2","42","","NE","7",""
"","2016-03-8","18.0","30.5","0","","","E","33","15:11","23.7","73","","NNE","2","","29.7","37","","ENE","15",""
"","2016-03-9","19.8","34.8","0","","","ESE","30","14:52","23.7","80","","NNE","4","","33.5","41","","E","7",""
"","2016-03-10","20.4","31.3","0","","","ESE","33","12:49","24.4","75","","SSW","2","","29.7","57","","SE","20",""
"","2016-03-11","21.6","30.1","0","","","E","20","12:07","23.4","82",""," ","Calm","","28.2","59","","S","4",""
"","2016-03-12","19.3","33.4","0","","","ESE","31","15:51","22.5","84","","SW","2","","32.1","41","","E","6",""
"","2016-03-13","18.8","30.8","0","","","E","30","15:31","24.0","75","","ENE","4","","29.7","47","","E","15",""
"","2016-03-14","19.6","32.7","0","","","SE","43","14:08","22.5","87","","SSW","2","","30.5","51","","SE","22",""
"","2016-03-15","19.8","26.1","0.4","","","S","33","17:36","19.8","88","","SSW","9","","24.8","59","","SE","15",""
"","2016-03-16","17.8","27.4","2.6","","","S","28","10:39","18.9","89","","SW","9","","25.9","48","","SE","9",""
"","2016-03-17","17.8","27.3","6.0","","","ENE","22","14:42","20.5","87",""," ","Calm","","26.7","56","","E","13",""
"","2016-03-18","17.0","27.1","0","","","WNW","41","14:55","21.4","78","","N","9","","25.8","68","","N","22",""
"","2016-03-19","10.6","24.6","1.8","","","SE","31","15:48","17.5","48","","WSW","2","","21.4","39","","SE","13",""
"","2016-03-20","15.5","23.6","0","","","SE","43","15:35","16.6","59","","SW","11","","21.9","51","","SE","20",""
"","2016-03-21","14.8","21.4","2.8","","","SE","33","12:52","16.4","75","","SW","9","","19.8","69","","S","9",""
"","2016-03-22","14.4","24.7","0","","","SSE","35","14:11","17.9","64","","SW","20","","22.8","46","","SSW","17",""
"","2016-03-23","14.0","27.8","0.2","","","ESE","28","15:26","17.4","68","","SW","11","","26.0","35","","SE","7",""
"","2016-03-24","13.7","29.9","0","","","ESE","31","16:02","18.3","71","","WSW","2","","28.3","28","","NNE","7",""
"","2016-03-25","15.2","26.7","0","","","S","19","20:46","18.4","70","","WNW","2","","23.8","52","","NNE","4",""
"","2016-03-26","16.0","29.1","0","","","ESE","43","13:38","19.3","73","","WSW","4","","28.0","40","","ESE","11",""
"","2016-03-27","16.3","26.4","0","","","E","33","13:56","20.8","81","","SE","11","","24.8","59","","E","22",""
"","2016-03-28","17.9","25.8","0.4","","","ESE","24","12:37","20.3","84","","SE","2","","24.4","67","","ENE","7",""
"","2016-03-29","18.9","24.5","0.2","","","SE","20","05:28","20.6","79","","S","6","","20.1","88","","S","4",""
"","2016-03-30","16.8","27.1","5.0","","","SW","20","13:24","19.9","88","","NNW","4","","25.5","36","","WSW","6",""
"","2016-03-31","12.4","26.1","0","","","ESE","28","16:27","18.7","55","","SW","7","","24.6","40",""," ","Calm",""
