"Daily Weather Observations for Hunters Hill, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3036.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Temperature, humidity, wind and rainfall observations are from Hunters Hill {station 082139}"
"Evaporation observations are from Hume Reservoir {station 072023}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.3","28.1","0","5.2","","WNW","26","13:25","18.6","65","","NE","7","","26.4","31","","WNW","9",""
"","2016-03-2","18.3","30.8","0","7.0","","W","30","13:03","19.8","53","","N","6","","28.9","23","","N","4",""
"","2016-03-3","19.9","31.2","0","8.0","","W","22","13:41","22.3","37","","NE","4","","28.5","27","","W","7",""
"","2016-03-4","17.8","31.4","0","4.8","","W","17","12:23","20.3","57",""," ","Calm","","28.6","29","","NW","7",""
"","2016-03-5","19.9","31.9","0","6.6","","W","19","14:13","21.9","50","","N","4","","30.3","27","","WSW","6",""
"","2016-03-6","20.9","32.0","0","7.2","","WNW","19","12:03","24.2","40",""," ","Calm","","31.1","24","","SSW","6",""
"","2016-03-7","20.9","32.2","0","4.8","","NW","19","12:42","22.1","49","","NNE","7","","30.4","26","","S","6",""
"","2016-03-8","21.0","32.7","0","7.0","","NNE","24","21:44","23.1","43","","NNE","4","","31.2","12","","NNE","4",""
"","2016-03-9","18.4","30.1","0","8.4","","W","26","13:17","20.0","59","","NNE","6","","27.6","35","","WNW","7",""
"","2016-03-10","19.9","29.8","0","7.4","","N","46","20:12","21.6","59","","N","2","","27.6","38","","N","2",""
"","2016-03-11","15.4","25.0","2.0","5.4","","NE","17","10:22","17.6","99","","ENE","2","","22.6","67","","N","6",""
"","2016-03-12","17.3","26.3","0","3.2","","WSW","20","11:28","18.4","94","","N","2","","24.4","70",""," ","Calm",""
"","2016-03-13","17.3","29.2","1.2","4.0","","W","22","14:30","19.3","81",""," ","Calm","","28.2","30","","W","6",""
"","2016-03-14","16.5","28.9","0","5.8","","WSW","30","12:50","18.9","70","","SW","4","","27.4","26","","WSW","6",""
"","2016-03-15","14.5","25.5","0","7.2","","NW","19","17:16","16.4","74","","ESE","7","","24.9","40","","SE","4",""
"","2016-03-16","14.0","24.7","0","6.4","","E","13","23:41","16.1","65","","ESE","6","","22.8","41","","S","4",""
"","2016-03-17","14.1","25.9","0","5.6","","N","17","20:29","16.7","67","","SSW","2","","23.4","37","","W","4",""
"","2016-03-18","14.5","16.2","15.0","6.4","","W","80","10:06","15.2","100","","N","9","","10.0","100","","W","19",""
"","2016-03-19","4.7","16.2","30.8","6.4","","WSW","26","02:55","6.6","89","","WSW","2","","12.9","52","","WSW","6",""
"","2016-03-20","6.5","19.2","0","3.4","","SE","17","23:09","9.4","63","","ESE","4","","17.0","42","","ESE","2",""
"","2016-03-21","6.8","19.8","0","4.4","","E","20","22:44","9.2","75","","SE","6","","17.4","49","","SE","4",""
"","2016-03-22","8.3","21.0","0","5.0","","SE","19","01:20","10.9","80","","ESE","6","","20.0","39","","ESE","2",""
"","2016-03-23","11.0","20.6","0","4.4","","NW","20","11:18","13.0","68","","WSW","2","","19.4","47","","W","6",""
"","2016-03-24","12.4","18.8","0.2","3.4","","NNE","11","22:47","14.0","75","","WSW","4","","18.5","54","","NW","4",""
"","2016-03-25","13.2","21.6","0","2.4","","W","24","13:39","13.5","76","","NW","6","","20.6","47","","WSW","9",""
"","2016-03-26","10.8","21.3","0","4.4","","WNW","19","14:26","13.5","69","","W","2","","19.1","36","","WNW","6",""
"","2016-03-27","10.6","21.5","0","4.4","","W","20","14:19","12.9","77","","W","4","","19.9","45","","NW","7",""
"","2016-03-28","11.7","21.1","0","4.0","","N","20","12:07","13.6","81","","NNE","2","","19.3","54","","NW","7",""
"","2016-03-29","11.8","21.9","0","3.6","","N","19","12:37","12.9","81","","WNW","2","","19.5","37","","N","6",""
"","2016-03-30","8.0","12.5","3.8","4.0","","NW","24","00:13","10.5","87","","S","2","","11.7","85","","SW","6",""
"","2016-03-31","7.9","18.9","0.2","1.6","","E","13","12:34","10.8","85","","SSE","2","","16.6","55","","W","4",""
