"Daily Weather Observations for Inverell (Raglan Street), New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2176.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Inverell (Raglan St) {station 056242}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.5","32.0","0","","","","","","22.6","63","2","W","2","","30.2","37","4","E","2",""
"","2016-03-2","13.8","34.0","0","","","","","","21.5","59","1","W","2","","32.6","26","5","W","2",""
"","2016-03-3","16.4","33.2","0","","","","","","22.4","72","5","E","2","","31.4","25","6","SE","2",""
"","2016-03-4","14.6","32.2","0","","","","","","21.2","64","2","SE","2","","30.2","31","4","SE","2",""
"","2016-03-5","14.7","33.2","0","","","","","","18.1","81","3","NE","2","","30.2","36","4","SW","2",""
"","2016-03-6","12.0","32.0","0","","","","","","18.1","75","3","E","2","","31.2","26","6","E","9",""
"","2016-03-7","14.4","32.0","0","","","","","","20.2","76","3","E","2","","31.0","32","5","N","4",""
"","2016-03-8","13.5","31.8","0","","","","","","19.5","30","1","N","2","","29.5","37","3","E","4",""
"","2016-03-9","17.4","32.0","0","","","","","","23.2","62","1","N","2","","30.0","36","5","SW","2",""
"","2016-03-10","14.0","33.2","0","","","","","","19.5","77","1","NW","2","","32.0","16","4","NW","4",""
"","2016-03-11","17.3","31.1","0","","","","","","22.5","62","3","NE","2","","30.0","32","6","N","2",""
"","2016-03-12","15.9","33.0","0","","","","","","20.7","75","0","ENE","2","","31.7","32","6","NW","4",""
"","2016-03-13","13.5","33.5","0","","","","","","19.9","67","1","E","2","","32.5","20","3","E","4",""
"","2016-03-14","15.5","33.2","0","","","","","","21.5","73","1","N","2","","32.5","31","6","SE","4",""
"","2016-03-15","15.0","31.0","0.4","","","","","","20.2","80","1","S","2","","29.5","39","5","SW","2",""
"","2016-03-16","14.5","29.2","3.0","","","","","","20.2","70","5","NE","2","","28.0","42","7","S","4",""
"","2016-03-17","14.0","30.0","0","","","","","","19.0","76","4","SE","2","","28.1","41","5","NW","2",""
"","2016-03-18","14.5","30.0","0","","","","","","20.2","72","1","NE","2","","28.4","47","7","SW","4",""
"","2016-03-19","16.5","28.0","12.8","","","","","","18.9","89","8","SW","4","","26.9","28","5","W","17",""
"","2016-03-20","14.5","29.0","0","","","","","","19.8","65","2","ENE","4","","28.3","32","3","WNW","17",""
"","2016-03-21","14.0","28.0","0","","","","","","19.5","72","3","E","2","","27.7","32","6","SW","9",""
"","2016-03-22","9.5","26.0","0","","","","","","14.9","72","1","E","2","","24.7","34","7","S","4",""
"","2016-03-23","10.2","","0","","","","","","15.5","83","6","S","2","","27.0","29","3","W","17",""
"","2016-03-24","","","","","","","","","","","","","","","","","","","",""
"","2016-03-25","","","","","","","","","","","","","","","","","","","",""
"","2016-03-26","","","","","","","","","","","","","","","","","","","",""
"","2016-03-27","","","","","","","","","","","","","","","","","","","",""
"","2016-03-28","","","","","","","","","","","","","","","","","","","",""
"","2016-03-29","","","","","","","","","","","","","","","","","","","",""
"","2016-03-30","","24.5","","","","","","","","","","","","","","","","","",""
"","2016-03-31","8.0","26.6","6.0","","","","","","12.6","94","0"," ","Calm","","26.0","23","4","W","9",""
