"Daily Weather Observations for Kanagulk, Victoria for March 2016"
"Prepared at 13:04 GMT on Thursday 14 April 2016   IDCJDW3091.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Kanagulk, but some from Mt Gambier or Horsham."
"Temperature, humidity, wind, pressure and rainfall observations are from Kanagulk {station 079097}"
"Cloud observations are from Horsham Polkemmet Rd {station 079023}"
"Sunshine observations are from Mount Gambier Aero {station 026021}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","8.3","33.5","0","","9.7","W","31","14:37","17.1","84","","NNE","6","1017.1","32.4","16","","WNW","11","1014.9"
"","2016-03-2","14.7","36.6","0","","10.8","SSE","46","20:49","22.2","44","","ESE","7","1016.6","35.5","10","","W","15","1014.9"
"","2016-03-3","14.8","32.4","0","","11.2","SSE","43","23:48","17.6","75","","S","13","1019.5","30.5","25","","WNW","6","1017.7"
"","2016-03-4","14.0","38.0","0","","11.3","SW","39","15:50","19.5","62","","SSE","11","1016.4","34.9","21","","NNW","7","1013.3"
"","2016-03-5","16.0","32.4","0","","8.2","SSE","35","18:17","18.6","84","","SSE","17","1018.4","30.6","31","","SSE","17","1017.6"
"","2016-03-6","16.3","37.1","0","","7.9","S","50","16:16","19.7","71","","SSE","11","1017.7","35.9","21","","SSW","20","1015.3"
"","2016-03-7","18.5","32.4","0","","3.2","SSE","52","10:20","19.6","70","","SSE","31","1017.7","29.9","38","","SSE","33","1017.2"
"","2016-03-8","17.4","40.4","0","","7.8","N","48","14:46","21.3","67","","S","7","1017.0","39.3","11","","N","30","1013.4"
"","2016-03-9","20.8","28.1","0","","1.6","S","37","08:04","20.9","71","","S","24","1015.9","27.1","51","","SSE","19","1016.0"
"","2016-03-10","17.0","23.6","8.0","","0.4","SSE","28","23:01","17.6","100","","S","6","1019.3","22.3","94","","NE","9","1017.4"
"","2016-03-11","17.6","30.6","6.8","","6.1","S","28","20:53","18.5","100",""," ","Calm","1017.4","27.9","54","","WSW","9","1015.8"
"","2016-03-12","17.0","28.3","0","","1.2","SSE","37","16:02","17.2","100","","SSW","15","1020.4","27.5","46","","S","15","1019.6"
"","2016-03-13","15.3","31.5","0","","6.5","SSE","39","22:40","17.6","99","","S","11","1019.8","29.2","32","","W","6","1017.7"
"","2016-03-14","14.9","23.1","0","","4.3","S","54","14:19","16.9","81","","SSE","26","1020.4","21.5","54","","SSE","31","1019.6"
"","2016-03-15","12.9","29.1","0","","10.1","SE","50","00:03","16.1","87","","SSE","17","1019.1","27.0","24","","SW","6","1016.7"
"","2016-03-16","12.9","32.9","0","","10.7","NNE","35","10:16","17.9","83","","ESE","4","1016.5","31.9","24","","WNW","7","1013.5"
"","2016-03-17","16.1","34.5","0","","5.6","N","48","13:01","23.6","47","","NNE","19","1010.5","32.2","25","","N","26","1004.6"
"","2016-03-18","11.7","18.4","15.2","","5.9","SW","56","12:33","12.1","89","","SSW","31","1002.1","17.0","62","","SW","30","1006.8"
"","2016-03-19","8.3","19.3","2.2","","2.4","SSW","30","10:38","10.8","99","","WSW","6","1016.6","17.6","48","","S","17","1017.7"
"","2016-03-20","10.8","20.8","0.2","","0.6","SE","44","15:17","12.5","81","","S","11","1021.6","18.0","45","","SSE","15","1020.1"
"","2016-03-21","8.1","24.2","0","","10.3","SSE","30","15:21","12.9","95","","SSE","11","1021.0","22.6","34","","SSE","11","1018.5"
"","2016-03-22","8.6","27.7","0","","10.4","N","30","11:46","12.6","99",""," ","Calm","1018.8","26.7","26","","NW","4","1015.7"
"","2016-03-23","12.6","27.7","0","","2.1","S","33","17:15","16.2","65","","E","6","1016.1","27.1","23","","WNW","13","1015.4"
"","2016-03-24","14.3","25.1","0","","0.1","S","33","23:23","16.3","90","","SSE","20","1020.2","23.6","49","","SSE","13","1018.5"
"","2016-03-25","8.7","21.8","0","","4.2","SSW","37","13:04","11.7","85","","SSW","11","1022.2","21.0","39","","S","20","1020.4"
"","2016-03-26","10.7","19.9","0","","2.1","SW","28","16:43","14.7","99","","WSW","4","1021.2","18.7","63","","SW","17","1020.6"
"","2016-03-27","10.7","20.0","0.2","","0.0","SSE","33","11:52","13.2","88","","SSW","11","1022.8","17.4","43","","S","20","1021.1"
"","2016-03-28","8.2","17.5","0","","0.0","SE","41","11:51","10.2","80","","SSE","11","1020.3","16.5","43","","SSE","17","1019.2"
"","2016-03-29","8.6","18.3","0","","0.9","SSE","35","12:10","13.2","80","","S","19","1021.6","16.9","50","","S","20","1020.2"
"","2016-03-30","9.8","20.3","0","","2.3","SW","33","12:06","12.8","63","","SW","9","1022.4","18.2","39","","SSW","17","1020.6"
"","2016-03-31","7.7","23.9","0","","6.2","WNW","30","13:25","13.8","96","","W","2","1020.6","21.4","45","","WNW","15","1017.9"
