"Daily Weather Observations for Kempsey, New South Wales for March 2016"
"Prepared at 13:01 GMT on Thursday 14 April 2016   IDCJDW2069.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Kempsey Airport AWS {station 059007}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","17.6","28.8","0.6","","","ESE","28","14:36","22.3","81","","WSW","9","1021.6","26.7","54","","ENE","15","1020.0"
"","2016-03-2","16.0","28.7","0","","","E","31","13:25","20.1","85","","WNW","9","1021.8","26.7","68","","ESE","19","1019.4"
"","2016-03-3","17.9","27.5","0","","","NE","35","10:50","22.5","92","","W","7","1022.1","25.8","72","","ENE","20","1020.8"
"","2016-03-4","20.3","28.8","0.6","","","E","30","12:56","21.9","87","","NE","9","1022.2","27.8","56","","NE","19","1019.6"
"","2016-03-5","16.7","29.2","0","","","E","33","13:24","22.4","83",""," ","Calm","1021.8","28.2","51","","E","20","1019.8"
"","2016-03-6","16.3","29.6","0","","","NNE","28","15:16","21.9","77","","W","7","1022.8","27.8","56","","ENE","15","1020.7"
"","2016-03-7","17.2","30.6","0.2","","","NE","35","13:08","22.6","82","","WNW","9","1022.3","28.9","48","","NE","20","1019.6"
"","2016-03-8","15.9","30.0","0","","","NE","31","12:32","22.6","80","","W","9","1022.6","28.5","61","","E","15","1020.9"
"","2016-03-9","19.4","30.4","0.8","","","NE","35","14:34","21.5","93","","WSW","4","1023.1","29.4","57","","NE","24","1019.6"
"","2016-03-10","15.0","31.3","0.2","","","ENE","33","13:56","21.5","88",""," ","Calm","1020.9","29.3","55","","NE","20","1018.3"
"","2016-03-11","17.6","30.9","0","","","E","33","12:54","22.2","88","","NW","6","1020.5","29.2","52","","NE","19","1017.7"
"","2016-03-12","16.2","30.4","0","","","ENE","37","14:43","21.1","93","","W","7","1020.6","29.2","54","","NE","20","1018.8"
"","2016-03-13","16.8","29.6","0","","","E","30","14:32","21.6","81","","WNW","11","1020.6","28.5","56","","ENE","15","1017.4"
"","2016-03-14","17.2","30.5","0","","","E","35","13:11","21.9","90","","WNW","6","1017.0","29.0","56","","ENE","22","1013.3"
"","2016-03-15","18.7","29.1","0","","","SSE","41","14:55","23.2","83","","WSW","7","1017.1","28.7","52","","SSE","20","1015.4"
"","2016-03-16","17.3","27.7","0","","","SSE","31","12:59","20.7","88","","WNW","9","1017.0","25.0","64","","SSE","24","1015.6"
"","2016-03-17","16.0","29.2","0","","","","","","22.3","75","","WNW","9","1015.7","27.5","54","","SE","13","1011.4"
"","2016-03-18","19.5","31.2","","","","ENE","30","12:34","22.1","85","","NNW","11","1007.5","27.9","60","","ENE","15","1001.4"
"","2016-03-19","18.4","24.8","1.4","","","ESE","28","14:35","20.6","60","","ESE","7","1009.4","23.9","44","","ESE","13","1009.1"
"","2016-03-20","16.9","24.6","0","","","S","28","12:34","21.0","62","","SSW","13","1015.4","23.1","60","","SE","19","1013.7"
"","2016-03-21","16.1","25.3","0.4","","","SSE","39","14:05","20.0","74","","SSW","22","1015.7","23.3","52","","SE","20","1013.5"
"","2016-03-22","12.6","26.4","0","","","S","37","10:50","18.8","74","","W","9","1015.6","26.2","44","","S","20","1012.5"
"","2016-03-23","12.2","28.5","0","","","SE","33","15:45","18.6","73","","WNW","13","1017.5","27.9","36","","SE","17","1015.3"
"","2016-03-24","12.2","29.3","0","","","E","31","14:20","18.2","85","","W","7","1021.3","27.9","43","","E","20","1018.3"
"","2016-03-25","13.3","30.1","0","","","E","31","13:34","19.1","79","","WNW","9","1019.9","27.1","50","","ENE","20","1015.0"
"","2016-03-26","16.0","29.5","0","","","SE","31","14:57","21.2","86",""," ","Calm","1017.6","27.7","51","","SE","19","1014.9"
"","2016-03-27","17.5","28.0","1.6","","","ENE","35","14:15","20.5","89",""," ","Calm","1017.5","25.5","64","","E","19","1015.4"
"","2016-03-28","15.1","29.4","0","","","NE","39","15:02","19.9","91","","WNW","7","1019.2","28.3","53","","NE","22","1015.1"
"","2016-03-29","14.9","32.5","0","","","S","39","15:35","20.7","87","","NW","7","1018.0","29.4","51","","E","22","1013.1"
"","2016-03-30","18.5","24.2","2.8","","","NW","24","05:17","20.9","85","","NW","4","1015.9","22.3","77","","WSW","2","1013.7"
"","2016-03-31","12.9","28.0","1.6","","","SSE","31","12:01","18.1","80","","W","11","1016.8","27.2","31","","SSE","20","1014.4"
