"Daily Weather Observations for Kerang, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3037.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Kerang {station 080023}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.5","35.4","0","","","","","","20.0","67","0","SE","4","","34.1","13","3","NW","13",""
"","2016-03-2","17.0","39.2","0","","","","","","24.6","31","1"," ","Calm","","38.6","12","3","N","9",""
"","2016-03-3","22.1","37.7","0","","","","","","22.8","59","7","ESE","17","","35.3","25","3","SE","4",""
"","2016-03-4","21.7","40.3","0","","","","","","26.2","45","1","N","17","","39.5","19","5","WNW","28",""
"","2016-03-5","22.0","40.5","0","","","","","","27.0","44","5","ESE","4","","40.0","18","6","W","4",""
"","2016-03-6","23.5","41.2","0","","","","","","25.3","59","5","SE","17","","39.3","18","4","N","9",""
"","2016-03-7","22.5","42.1","0","","","","","","27.0","46","4","E","9","","41.2","15","4","N","4",""
"","2016-03-8","20.1","41.0","0","","","","","","25.8","53","1","ENE","9","","39.9","15","5","N","17",""
"","2016-03-9","24.2","38.1","0","","","","","","29.0","33","6","NNE","4","","36.8","22","7","N","13",""
"","2016-03-10","21.8","27.6","1.0","","","","","","22.9","79","7","SE","13","","27.2","58","8","SE","33",""
"","2016-03-11","21.0","34.4","0","","","","","","22.7","79","4","SE","9","","32.5","42","4","WSW","4",""
"","2016-03-12","21.0","33.9","0","","","","","","22.7","73","6","SSE","9","","","","","","",""
"","2016-03-13","18.0","35.0","0","","","","","","21.0","73","5","SSE","13","","33.9","27","3","WSW","4",""
"","2016-03-14","18.3","33.0","0","","","","","","20.6","68","2","SE","17","","30.5","36","5","SSW","13",""
"","2016-03-15","14.1","32.2","0","","","","","","16.7","67","3","SE","9","","31.0","23","2","NNE","9",""
"","2016-03-16","16.5","33.6","0","","","","","","22.5","61","1","NE","22","","32.4","35","4","E","9",""
"","2016-03-17","20.0","34.0","0","","","","","","23.1","58","1","NE","17","","33.5","31","6","N","17",""
"","2016-03-18","13.4","20.9","18.8","","","","","","13.6","92","7","W","17","","20.1","51","6","SW","28",""
"","2016-03-19","9.4","20.2","0.2","","","","","","12.6","81","1","WSW","9","","19.0","48","7","WSW","9",""
"","2016-03-20","10.6","23.7","0","","","","","","14.0","67","0","S","13","","22.1","36","1","SE","4",""
"","2016-03-21","10.9","25.4","0","","","","","","13.7","80","0","SE","13","","24.1","34","0","SE","13",""
"","2016-03-22","11.7","28.4","0","","","","","","12.7","89","0","SE","9","","26.5","32","1","SW","4",""
"","2016-03-23","12.4","30.7","0","","","","","","18.0","54","7","ESE","4","","29.2","25","7","NNW","4",""
"","2016-03-24","17.7","28.5","0","","","","","","19.2","70","8","SW","4","","28.0","39","7","NW","9",""
"","2016-03-25","17.0","26.8","0","","","","","","18.2","75","0","SSW","9","","26.1","23","2","SW","17",""
"","2016-03-26","12.0","24.5","0","","","","","","15.0","74","0","SW","4","","23.5","40","2","SW","9",""
"","2016-03-27","12.2","22.9","0","","","","","","15.0","70","1","S","9","","21.9","33","6","SSW","22",""
"","2016-03-28","11.0","22.4","0","","","","","","12.5","63","6","SSW","4","","21.4","30","7","W","13",""
"","2016-03-29","11.1","24.1","0","","","","","","13.7","68","1","SSW","4","","22.5","35","2","SSE","13",""
"","2016-03-30","10.8","22.7","0","","","","","","13.0","70","4","SW","13","","21.0","37","3","SW","13",""
"","2016-03-31","9.1","25.2","0","","","","","","12.9","63","1","SW","9","","23.2","42","4","SW","4",""
