"Daily Weather Observations for Kiama, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2160.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Bombo Headland."
"Observations were drawn from Kiama (Bombo Headland) {station 068242}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","20.3","26.8","0.2","","","NNE","41","14:57","21.7","87",""," ","Calm","","25.8","67","","NE","28",""
"","2016-03-2","19.9","26.6","0.2","","","NNE","46","19:03","23.4","76","","N","9","","26.3","69","","NNE","22",""
"","2016-03-3","21.8","26.7","0","","","NNE","43","12:10","23.9","80","","NNE","17","","26.3","72","","N","20",""
"","2016-03-4","20.2","26.9","0","","","NNE","41","13:23","24.5","71","","NNW","20","","25.5","75","","NNE","26",""
"","2016-03-5","19.0","26.1","0","","","NNE","43","12:25","22.8","73","","N","11","","25.3","68","","NNE","20",""
"","2016-03-6","18.5","25.3","0","","","NNE","50","14:24","23.6","68","","NNW","13","","24.7","74","","NNE","35",""
"","2016-03-7","19.5","27.0","0","","","N","33","16:19","22.9","79","","N","6","","26.4","70","","NNE","17",""
"","2016-03-8","20.8","26.4","0","","","N","31","22:09","24.8","72","","N","7","","25.7","73","","NNE","20",""
"","2016-03-9","21.6","26.3","0","","","N","37","15:39","24.8","74","","N","13","","25.9","72","","N","19",""
"","2016-03-10","20.1","24.3","0","","","S","48","13:20","23.4","80","","S","30","","22.6","86","","S","31",""
"","2016-03-11","20.4","26.2","0.2","","","N","33","16:44","22.2","95",""," ","Calm","","22.6","88","","N","7",""
"","2016-03-12","20.4","26.9","1.0","","","NNE","24","12:11","24.9","70","","WNW","6","","26.4","74","","NNE","13",""
"","2016-03-13","21.4","25.9","0","","","NNE","31","12:49","24.6","71","","NNW","7","","23.3","78","","N","17",""
"","2016-03-14","21.4","24.3","0","","","S","56","13:10","22.9","83","","SW","2","","23.4","82","","S","30",""
"","2016-03-15","20.4","23.7","6.2","","","SSW","59","14:51","21.1","83","","SSW","31","","23.2","70","","S","33",""
"","2016-03-16","19.4","23.1","9.8","","","SSW","44","11:48","20.8","77","","SSW","28","","22.4","76","","SSW","28",""
"","2016-03-17","18.7","25.4","38.4","","","N","31","19:08","21.0","83","","SW","4","","25.0","71","","NE","11",""
"","2016-03-18","20.8","26.7","0","","","W","48","22:32","21.7","78","","NNW","17","","26.4","67","","N","15",""
"","2016-03-19","15.6","20.5","4.2","","","WSW","50","03:18","18.3","51","","SW","17","","20.0","46","","S","37",""
"","2016-03-20","16.1","20.4","0","","","S","61","14:50","17.0","68","","SW","30","","19.2","74","","S","41",""
"","2016-03-21","16.0","20.4","2.6","","","S","52","17:22","17.7","72","","SSW","31","","18.9","78","","SSW","41",""
"","2016-03-22","15.7","20.8","3.8","","","S","65","16:02","17.7","74","","SSW","33","","19.8","74","","SSW","39",""
"","2016-03-23","15.0","24.4","1.4","","","SW","26","00:27","19.2","66","","WNW","4","","23.6","54","","NE","9",""
"","2016-03-24","17.1","26.9","0","","","NE","26","13:27","22.1","65","","SSW","2","","26.5","45","","NE","20",""
"","2016-03-25","19.9","25.2","0","","","SSW","35","18:15","21.3","63","","NNW","13","","22.5","62","","W","4",""
"","2016-03-26","17.9","24.9","0.4","","","SSW","26","01:20","20.9","76","","SSW","7","","24.0","65","","ENE","9",""
"","2016-03-27","19.1","23.6","13.0","","","SSE","26","06:52","20.0","88","","SSE","11","","22.3","77","","E","7",""
"","2016-03-28","18.0","22.1","1.4","","","SSW","46","03:49","19.5","82","","SSW","15","","21.5","79","","S","24",""
"","2016-03-29","18.7","20.9","0","","","SSW","44","10:17","19.3","85","","SW","9","","19.7","87","","SW","11",""
"","2016-03-30","17.7","26.4","3.8","","","SSW","41","21:14","20.0","67","","WSW","7","","22.9","59","","ESE","11",""
"","2016-03-31","17.4","22.0","0","","","SSW","46","08:50","20.0","59","","SSW","19","","21.4","64","","S","26",""
