"Daily Weather Observations for Kilmore Gap, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3038.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wallan (Kilmore Gap) {station 088162}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","13.5","30.8","0","","","N","54","09:39","18.1","81","","N","24","1017.7","30.3","22","","N","24","1016.8"
"","2016-03-2","18.0","35.3","0","","","N","46","12:21","24.7","30","","N","19","1018.1","34.2","17","","WNW","19","1016.6"
"","2016-03-3","14.4","26.1","0","","","SSE","43","04:28","14.6","96","","S","19","1020.4","25.0","49","","S","17","1019.2"
"","2016-03-4","14.3","34.6","0","","","N","72","16:12","22.8","57","","N","35","1018.7","33.4","28","","N","30","1016.2"
"","2016-03-5","16.5","27.0","0","","","S","37","16:21","17.1","99","8","S","15","1019.8","25.2","60","1","SSE","20","1019.7"
"","2016-03-6","13.6","35.3","0","","","N","39","13:35","15.1","99","8","S","11","1020.2","34.4","33","","S","19","1018.4"
"","2016-03-7","15.0","25.9","0","","","SSW","43","01:06","25.2","52","5","NE","19","1019.4","18.1","99","8","S","22","1020.6"
"","2016-03-8","15.9","36.7","0.2","","","N","52","09:52","24.1","63","","NNE","24","1019.9","34.8","23","","N","30","1017.5"
"","2016-03-9","23.3","30.6","0","","","N","56","02:21","24.2","45","1","N","33","1016.5","27.1","53","2","SSE","22","1017.4"
"","2016-03-10","16.1","19.9","3.0","","","SSE","39","23:12","16.2","99","8","S","13","1021.4","16.5","99","8","S","17","1019.3"
"","2016-03-11","15.8","27.2","10.4","","","SSW","31","08:14","19.6","99","","N","13","1017.8","24.8","71","","S","9","1016.5"
"","2016-03-12","16.0","20.7","0","","","S","35","19:27","16.9","99","","SSE","13","1020.3","20.1","85","8","SSE","20","1020.3"
"","2016-03-13","14.8","23.7","1.0","","","S","31","21:57","15.1","99","7","S","15","1020.8","21.7","71","","S","15","1018.9"
"","2016-03-14","14.6","18.6","0.4","","","S","50","16:45","14.7","99","7","S","24","1020.2","16.4","81","8","S","28","1019.3"
"","2016-03-15","11.1","27.5","0.2","","","S","39","00:25","15.0","84","7","SSE","13","1019.7","26.0","45","1","NE","9","1017.8"
"","2016-03-16","12.9","28.8","0","","","N","44","10:39","18.1","69","1","NE","20","1019.0","26.8","44","","NNW","22","1016.4"
"","2016-03-17","17.9","29.4","0","","","N","56","22:53","19.6","65","","N","39","1014.2","27.9","45","1","N","28","1009.0"
"","2016-03-18","10.8","15.5","21.0","","","WSW","69","12:33","10.8","99","8","SSW","19","997.2","15.0","68","2","WSW","41","1001.5"
"","2016-03-19","8.0","15.4","4.4","","","SSW","48","14:49","9.2","98","8","SW","24","1013.3","13.8","65","8","S","24","1015.4"
"","2016-03-20","6.8","18.8","0","","","SSE","31","08:54","9.6","83","","SSE","15","1019.1","17.8","50","","SSW","13","1018.6"
"","2016-03-21","8.3","20.5","0.2","","","SE","41","14:28","9.2","99","7","SSW","17","1020.3","19.1","50","","SSE","19","1018.7"
"","2016-03-22","9.1","24.0","0.2","","","NNW","26","11:17","13.4","94","","SSE","2","1019.1","22.8","39","2","NNE","7","1016.6"
"","2016-03-23","13.1","27.0","0.2","","","NW","39","13:47","15.4","61","","N","22","1017.3","26.3","31","","WNW","20","1016.6"
"","2016-03-24","13.5","17.0","0.6","","","SE","28","08:50","13.8","99","8","S","11","1020.8","16.1","92","8","SSE","13","1018.8"
"","2016-03-25","11.2","18.9","1.2","","","S","35","15:08","12.0","99","8","SSW","17","1020.1","17.4","55","2","SW","20","1018.9"
"","2016-03-26","10.1","17.0","0.2","","","SW","41","06:20","11.5","98","8","SSW","17","1019.5","16.3","72","8","S","15","1019.1"
"","2016-03-27","10.1","16.9","1.8","","","S","46","13:20","10.8","99","8","SSE","20","1019.7","15.5","51","","S","26","1018.9"
"","2016-03-28","7.2","16.8","0","","","SSE","46","09:08","10.6","75","","SSE","22","1018.3","15.7","58","1","S","22","1016.7"
"","2016-03-29","9.0","16.5","0","","","SSE","44","13:24","11.6","75","7","SSE","24","1018.6","15.9","61","4","S","26","1017.8"
"","2016-03-30","10.1","15.8","0","","","S","41","13:25","10.1","98","8","S","24","1019.1","13.9","65","8","S","26","1018.6"
"","2016-03-31","7.8","20.6","0","","","S","28","01:32","11.8","78","7","S","11","1019.3","18.8","56","4","S","11","1017.4"
