"Daily Weather Observations for Kyabram, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3039.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Kyabram, but evaporation from Tatura."
"Tatura is about 21 km from Kyabram, and evaporation is included as a guide only."
"Temperature, humidity, wind and rainfall observations are from Kyabram {station 080091}"
"Pressure observations are from Echuca Aerodrome {station 080015}"
"Evaporation observations are from Tatura Inst Sustainable Ag {station 081049}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","11.9","34.9","0","","","NW","46","12:39","19.2","74","","E","9","1017.9","33.0","15","","WNW","13",""
"","2016-03-2","13.3","38.0","0","","","W","50","12:17","22.6","44","","SE","6","1017.0","36.4","12","","NW","11",""
"","2016-03-3","20.2","37.0","0","","","SW","28","01:13","21.8","66","","SE","15","1017.2","34.7","28","","W","9",""
"","2016-03-4","19.2","38.5","0","","","N","52","19:14","24.4","57","","E","13","1017.8","37.2","20","","NE","13",""
"","2016-03-5","19.1","39.6","0.8","","","SSW","24","17:54","26.8","49","","ESE","11","1017.1","37.5","20","","NNW","4",""
"","2016-03-6","19.9","40.2","0","","","E","28","10:36","23.0","62","","SSE","9","1017.9","38.6","18","","N","9",""
"","2016-03-7","20.4","40.4","0","","","E","39","15:45","25.2","52","","ESE","11","1016.8","39.4","15","","E","11",""
"","2016-03-8","18.6","39.8","0","","","E","28","08:50","26.1","52","","E","11","1018.2","38.7","19","","NE","11",""
"","2016-03-9","22.3","38.9","0","","","SW","41","20:35","27.1","40","","E","13","1014.8","38.9","17","","N","9",""
"","2016-03-10","21.1","29.6","0.2","","","SW","43","15:02","22.4","78","","S","11","1018.1","25.8","64","","SW","20",""
"","2016-03-11","20.2","33.8","0.2","","","NNW","24","11:10","22.5","87","","SSE","6","1016.4","32.6","39","","NNE","13",""
"","2016-03-12","19.8","33.8","0","","","SSW","30","18:26","24.1","72","","S","7","1018.1","31.8","39","","SW","11",""
"","2016-03-13","18.1","33.9","0","","","S","30","23:15","21.0","75","","S","15","1018.9","32.5","35","","WSW","9",""
"","2016-03-14","17.3","30.4","0","","","S","41","18:16","20.5","73","","SSW","17","1018.2","29.9","35","","SSW","17",""
"","2016-03-15","14.6","32.1","0","","","ESE","33","20:54","18.8","65","","SSE","11","1017.8","31.3","34","","E","11",""
"","2016-03-16","16.3","32.1","0","","","NE","30","10:41","21.3","61","","SE","13","1017.8","30.8","34","","N","6",""
"","2016-03-17","18.7","32.3","0","","","ENE","33","09:07","22.0","62","","ENE","17","1019.8","30.9","34","","NE","15",""
"","2016-03-18","15.2","21.5","21.8","","","W","59","07:22","15.2","91","","WSW","22","998.5","21.2","45","","WSW","22",""
"","2016-03-19","8.9","20.4","2.0","","","SW","35","11:26","12.3","83","","W","13","1015.6","18.0","53","","S","11",""
"","2016-03-20","8.3","23.6","0","","","NE","26","12:31","13.4","65","","S","11","1018.9","23.2","39","","NE","2",""
"","2016-03-21","9.1","25.0","0","","","SE","20","15:19","14.3","77","","S","6","1020.2","23.7","31","","SSW","9",""
"","2016-03-22","11.0","26.5","0","","","NNW","20","12:39","15.4","79","","SSE","7","1019.2","25.3","34",""," ","Calm",""
"","2016-03-23","10.8","28.9","0","","","NNW","22","12:58","17.4","66",""," ","Calm","1017.7","28.2","24","","NW","9",""
"","2016-03-24","17.3","25.3","0","","","SSE","22","10:56","18.8","73","","SSE","7","1018.4","24.7","43","","ESE","13",""
"","2016-03-25","13.8","27.0","0","","","SW","28","14:34","17.1","80","","WSW","4","1018.8","25.5","45","","W","13",""
"","2016-03-26","10.9","24.7","0","","","WSW","30","09:51","14.5","80","","SW","13","1020.2","23.1","45","","SW","15",""
"","2016-03-27","11.8","23.7","0","","","SW","35","09:42","14.9","77","","SW","15","1019.5","22.7","33","","SSW","15",""
"","2016-03-28","11.0","23.2","0","","","SW","31","17:16","13.9","63","","SSW","15","1017.8","22.4","40","","WSW","6",""
"","2016-03-29","12.7","24.4","0","","","SW","35","17:08","14.8","65","","SSW","9","1018.2","23.2","38","","SSE","7",""
"","2016-03-30","9.4","22.2","0","","","S","35","11:38","12.4","83","","WSW","7","1019.1","20.3","51","","S","17",""
"","2016-03-31","8.5","24.4","0","","","ESE","20","09:59","11.8","75","","SW","13","1020.0","22.8","30","","SSW","7",""
