"Daily Weather Observations for Dartmouth, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3020.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Dartmouth Reservoir {station 082076}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","14.0","31.9","0","5.2","","","","","16.5","87","0"," ","Calm","","","","","","",""
"","2016-03-2","13.6","34.5","0","7.2","","","","","18.2","71","1"," ","Calm","","","","","","",""
"","2016-03-3","14.3","33.0","0","5.6","","","","","21.9","52","3"," ","Calm","","","","","","",""
"","2016-03-4","13.4","34.4","0","6.4","","","","","16.0","81","0"," ","Calm","","","","","","",""
"","2016-03-5","15.2","","0","6.6","","","","","18.2","83","0"," ","Calm","","","","","","",""
"","2016-03-6","","35.2","0","","","","","","","","","","","","","","","","",""
"","2016-03-7","16.4","36.6","0","6.6","","","","","17.8","78","0"," ","Calm","","","","","","",""
"","2016-03-8","17.6","36.2","0","7.4","","","","","19.4","78","0"," ","Calm","","","","","","",""
"","2016-03-9","14.2","34.2","0","7.0","","","","","15.4","81","0"," ","Calm","","","","","","",""
"","2016-03-10","15.2","32.1","0","6.2","","","","","23.4","66","8"," ","Calm","","","","","","",""
"","2016-03-11","17.9","28.4","9.0","4.2","","","","","20.7","87","4"," ","Calm","","","","","","",""
"","2016-03-12","17.4","30.0","0.4","2.6","","","","","19.5","92","7"," ","Calm","","","","","","",""
"","2016-03-13","17.7","32.3","3.6","3.8","","","","","21.9","77","1","ESE","17","","","","","","",""
"","2016-03-14","19.6","31.0","0","5.2","","","","","22.2","64","0","S","24","","","","","","",""
"","2016-03-15","19.0","26.4","0","7.6","","","","","20.8","63","4","SSE","44","","","","","","",""
"","2016-03-16","17.4","29.5","0","7.0","","","","","18.9","62","6","S","33","","","","","","",""
"","2016-03-17","12.3","30.5","0","4.4","","","","","17.3","74","0"," ","Calm","","","","","","",""
"","2016-03-18","16.0","20.5","2.4","5.2","","","","","19.5","86","8","NE","9","","","","","","",""
"","2016-03-19","6.5","19.2","20.0","1.2","","","","","11.5","76","4"," ","Calm","","","","","","",""
"","2016-03-20","11.0","20.9","0","4.0","","","","","13.0","51","2","NE","9","","","","","","",""
"","2016-03-21","12.0","22.0","0","3.6","","","","","14.5","59","0","NE","4","","","","","","",""
"","2016-03-22","13.7","23.8","0","4.0","","","","","15.2","65","1","SSE","33","","","","","","",""
"","2016-03-23","8.0","24.0","0","4.6","","","","","13.0","81","3"," ","Calm","","","","","","",""
"","2016-03-24","12.5","22.1","0.2","2.2","","","","","15.9","82","8"," ","Calm","","","","","","",""
"","2016-03-25","13.6","26.3","0","2.2","","","","","14.5","89","7"," ","Calm","","","","","","",""
"","2016-03-26","9.7","26.0","0","2.4","","","","","11.5","88","0","E","4","","","","","","",""
"","2016-03-27","11.2","25.9","0","4.2","","","","","16.5","65","1","E","9","","","","","","",""
"","2016-03-28","11.7","24.0","0","3.2","","","","","14.9","70","8","E","4","","","","","","",""
"","2016-03-29","14.2","24.4","0","3.6","","","","","14.9","70","8","S","17","","","","","","",""
"","2016-03-30","11.9","16.4","5.0","3.8","","","","","12.6","93","8"," ","Calm","","","","","","",""
"","2016-03-31","10.5","23.2","0.2","1.0","","","","","11.5","80","1","S","4","","","","","","",""
