"Daily Weather Observations for Lake Eildon, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3040.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lake Eildon {station 088023}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","12.5","33.6","0","4.2","9.5","","","","17.1","87","0"," ","Calm","","","","","","",""
"","2016-03-2","12.1","36.4","0","5.8","10.0","","","","17.5","62","0"," ","Calm","","","","","","",""
"","2016-03-3","17.2","36.2","0","6.0","9.0","","","","20.5","72","7","NE","4","","","","","","",""
"","2016-03-4","15.1","36.7","0","5.6","9.2","","","","20.4","68","1"," ","Calm","","","","","","",""
"","2016-03-5","17.9","37.3","0","6.8","9.1","","","","20.1","80","2"," ","Calm","","","","","","",""
"","2016-03-6","17.9","38.2","0","5.8","8.9","","","","18.6","87","1"," ","Calm","","","","","","",""
"","2016-03-7","18.5","38.9","0","6.2","8.5","","","","20.6","80","4"," ","Calm","","","","","","",""
"","2016-03-8","17.5","38.4","0","6.4","9.6","","","","20.0","87","1"," ","Calm","","","","","","",""
"","2016-03-9","19.8","34.4","0","6.8","0.3","","","","25.5","49","8"," ","Calm","","","","","","",""
"","2016-03-10","19.9","29.0","1.8","4.2","0.6","","","","21.2","93","8"," ","Calm","","","","","","",""
"","2016-03-11","18.5","31.0","4.6","2.2","3.8","","","","19.6","97","7"," ","Calm","","","","","","",""
"","2016-03-12","19.0","32.2","0","2.6","4.3","","","","19.4","95","6"," ","Calm","","","","","","",""
"","2016-03-13","16.7","32.5","0","3.8","8.4","","","","18.0","90","7"," ","Calm","","","","","","",""
"","2016-03-14","13.0","28.0","0","5.6","9.6","","","","14.8","94","0"," ","Calm","","","","","","",""
"","2016-03-15","12.0","29.0","0","5.0","9.5","","","","19.8","61","3","E","13","","","","","","",""
"","2016-03-16","17.7","31.7","0","5.2","8.3","","","","19.0","66","3","NE","9","","","","","","",""
"","2016-03-17","14.7","31.5","0","5.0","5.3","","","","18.5","78","6","NE","9","","","","","","",""
"","2016-03-18","18.0","","13.6","3.4","1.9","","","","19.0","90","8","WNW","17","","","","","","",""
"","2016-03-19","9.8","16.5","8.8","3.6","0.7","","","","10.8","80","7"," ","Calm","","","","","","",""
"","2016-03-20","5.3","23.1","0.4","1.6","7.8","","","","7.0","93","0"," ","Calm","","","","","","",""
"","2016-03-21","6.9","24.5","0","3.0","9.4","","","","10.0","87","0"," ","Calm","","","","","","",""
"","2016-03-22","8.5","24.0","0","3.4","8.1","","","","10.0","92","0"," ","Calm","","","","","","",""
"","2016-03-23","9.9","24.3","0","2.6","2.0","","","","13.1","87","4"," ","Calm","","","","","","",""
"","2016-03-24","13.0","23.0","1.0","1.6","0.2","","","","15.3","97","8"," ","Calm","","","","","","",""
"","2016-03-25","12.8","23.8","0","1.6","8.5","","","","14.0","96","5"," ","Calm","","","","","","",""
"","2016-03-26","6.9","22.8","0","4.0","9.2","","","","8.8","96","2"," ","Calm","","","","","","",""
"","2016-03-27","8.0","22.5","0","3.4","8.4","","","","9.5","95","0"," ","Calm","","","","","","",""
"","2016-03-28","6.3","22.5","0","3.4","2.5","","","","7.5","93","2"," ","Calm","","","","","","",""
"","2016-03-29","7.2","25.0","0","3.0","5.8","","","","12.0","83","7","SW","4","","","","","","",""
"","2016-03-30","9.0","21.5","0","2.8","0.2","","","","10.9","94","4","SW","4","","","","","","",""
"","2016-03-31","5.8","24.0","0","2.8","6.9","","","","6.7","97","2"," ","Calm","","","","","","",""
