"Daily Weather Observations for Lake Macquarie, New South Wales for March 2016"
"Prepared at 13:02 GMT on Thursday 14 April 2016   IDCJDW2159.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cooranbong (Lake Macquarie AWS) {station 061412}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","18.4","27.9","0","","","ESE","30","14:02","23.3","78","","SW","2","1022.1","26.7","55","","E","17","1020.0"
"","2016-03-2","14.9","29.4","0","","","ESE","30","13:33","21.1","85",""," ","Calm","1021.2","27.3","61","","E","13","1019.4"
"","2016-03-3","16.7","29.9","0","","","ESE","30","14:46","22.3","87",""," ","Calm","1021.7","28.5","64","","E","17","1019.7"
"","2016-03-4","17.8","27.5","0","","","E","31","16:37","23.5","83","","N","7","1021.9","25.9","63","","E","17","1020.0"
"","2016-03-5","14.5","28.3","0","","","E","28","14:39","20.8","93",""," ","Calm","1021.8","27.1","55","","E","17","1019.7"
"","2016-03-6","13.4","28.1","0.2","","","E","35","13:50","21.2","90",""," ","Calm","1023.0","27.2","65","","ESE","20","1021.0"
"","2016-03-7","15.3","29.4","0","","","E","26","15:14","21.5","95",""," ","Calm","1022.1","28.3","58","","E","17","1018.7"
"","2016-03-8","14.9","28.1","0","","","ESE","33","12:23","22.1","94",""," ","Calm","1023.3","27.4","63","","E","13","1022.2"
"","2016-03-9","18.5","31.1","0","","","E","30","14:30","23.0","83","","NNE","4","1022.0","29.2","57","","E","15","1018.2"
"","2016-03-10","17.9","31.9","0","","","ESE","24","14:06","22.3","98",""," ","Calm","1020.0","28.3","65","","ESE","15","1018.5"
"","2016-03-11","20.0","29.5","0.2","","","ESE","33","14:21","22.9","88",""," ","Calm","1020.3","28.4","67","","E","15","1017.4"
"","2016-03-12","17.8","30.1","0","","","E","26","13:24","22.7","88",""," ","Calm","1019.9","28.2","60","","E","13","1017.8"
"","2016-03-13","16.3","28.6","0","","","E","26","15:19","22.0","88",""," ","Calm","1020.3","27.5","61","","ESE","17","1017.6"
"","2016-03-14","17.6","30.4","0","","","E","24","12:39","21.0","98","","WNW","2","1016.7","27.2","68","","E","9","1013.6"
"","2016-03-15","20.9","25.2","0.2","","","SSW","24","12:57","21.5","88","","SSW","7","1018.6","23.3","77","","SW","7","1018.3"
"","2016-03-16","19.7","25.3","6.2","","","SSE","20","16:30","19.8","94","","S","7","1019.3","23.0","82","","SW","4","1017.9"
"","2016-03-17","18.1","24.8","24.4","","","SSW","17","13:26","20.6","93","","SSE","2","1016.9","23.5","72","","ESE","7","1013.1"
"","2016-03-18","14.9","28.5","1.0","","","NNW","28","14:34","19.9","99",""," ","Calm","1004.5","24.6","76","","N","7","999.4"
"","2016-03-19","10.6","23.8","0.4","","","SE","24","14:05","18.9","50","","W","6","1010.8","22.8","42","","SSE","9","1011.0"
"","2016-03-20","11.8","22.3","0","","","S","31","13:01","18.9","74","","S","7","1017.4","20.3","65","","SW","7","1016.3"
"","2016-03-21","15.6","23.0","17.6","","","SSW","28","13:41","16.2","91","","SW","4","1018.2","22.4","54","","SSE","11","1016.0"
"","2016-03-22","14.7","24.3","1.8","","","S","26","17:11","18.2","72","","SW","9","1017.5","20.9","65","","SSW","9","1015.1"
"","2016-03-23","12.6","26.2","0.2","","","E","19","14:59","19.4","67","","SW","6","1018.3","25.1","37","","SSW","6","1017.2"
"","2016-03-24","11.9","27.2","0","","","ESE","26","15:15","17.9","94",""," ","Calm","1021.0","26.5","39","","E","13","1019.1"
"","2016-03-25","12.6","25.4","0","","","NW","13","11:56","18.4","94",""," ","Calm","1018.9","24.0","63",""," ","Calm","1016.8"
"","2016-03-26","12.6","27.1","0.2","","","E","26","13:45","19.4","98",""," ","Calm","1018.7","25.6","61","","E","13","1016.1"
"","2016-03-27","13.8","27.3","0","","","E","28","15:39","18.5","99",""," ","Calm","1017.7","24.6","69","","ESE","15","1016.0"
"","2016-03-28","15.5","28.0","13.0","","","E","17","14:44","19.6","99",""," ","Calm","1018.4","27.1","65","","ESE","7","1015.0"
"","2016-03-29","18.3","26.5","0.2","","","S","24","13:58","21.6","93","","NNW","4","1017.1","25.2","72","","S","9","1015.0"
"","2016-03-30","18.9","27.9","0.2","","","WSW","22","11:41","21.0","92",""," ","Calm","1015.3","26.6","37","","WNW","6","1012.7"
"","2016-03-31","10.9","25.9","0","","","SE","26","15:06","18.9","63","","WSW","6","1017.3","24.8","51","","SE","7","1016.0"
