"Daily Weather Observations for Lakes Entrance, Victoria for March 2016"
"Prepared at 13:03 GMT on Thursday 14 April 2016   IDCJDW3041.201603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Lakes Entrance (Eastern Beach Road) {station 084150}"
""
"","Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
"","2016-03-1","15.2","28.0","0","","","","","","20.3","81","0"," ","Calm","","","","","","",""
"","2016-03-2","17.3","28.6","0","","","","","","21.6","80","0"," ","Calm","","","","","","",""
"","2016-03-3","19.0","24.9","0","","","","","","19.9","82","8"," ","Calm","","","","","","",""
"","2016-03-4","16.9","27.5","0","","","","","","20.7","89","8"," ","Calm","","","","","","",""
"","2016-03-5","19.7","25.3","0","","","","","","24.4","76","0","W","22","","","","","","",""
"","2016-03-6","17.0","24.8","0.4","","","","","","19.9","93","4","NW","9","","","","","","",""
"","2016-03-7","18.5","25.4","0.4","","","","","","19.8","100","8","W","4","","","","","","",""
"","2016-03-8","19.0","30.6","0","","","","","","20.7","98","8"," ","Calm","","","","","","",""
"","2016-03-9","18.1","34.6","0","","","","","","30.5","31","8","NNW","22","","","","","","",""
"","2016-03-10","19.6","24.4","2.4","","","","","","20.6","95","8"," ","Calm","","","","","","",""
"","2016-03-11","19.1","25.6","15.7","","","","","","21.7","91","8"," ","Calm","","","","","","",""
"","2016-03-12","20.6","23.2","0","","","","","","21.9","95","8","E","9","","","","","","",""
"","2016-03-13","19.7","23.0","2.8","","","","","","20.4","100","8"," ","Calm","","","","","","",""
"","2016-03-14","19.0","22.2","0","","","","","","21.5","86","8"," ","Calm","","","","","","",""
"","2016-03-15","16.7","21.0","9.2","","","","","","16.7","87","8","W","22","","","","","","",""
"","2016-03-16","16.4","","0","","","","","","19.3","76","0","E","19","","","","","","",""
"","2016-03-17","","35.5","","","","","","","","","","","","","","","","","",""
"","2016-03-18","13.6","20.4","2.2","","","","","","19.0","95","8","NE","13","","","","","","",""
"","2016-03-19","12.3","17.2","21.2","","","","","","14.0","77","8","W","22","","","","","","",""
"","2016-03-20","11.0","18.6","2.6","","","","","","11.8","97","8","NE","9","","","","","","",""
"","2016-03-21","11.6","18.6","2.6","","","","","","13.8","97","7","NW","19","","","","","","",""
"","2016-03-22","13.0","20.0","4.7","","","","","","14.3","100","6","W","9","","","","","","",""
"","2016-03-23","9.5","23.8","0","","","","","","13.1","99","0"," ","Calm","","","","","","",""
"","2016-03-24","13.0","19.2","0.4","","","","","","16.5","94","8","NW","19","","","","","","",""
"","2016-03-25","15.5","20.4","0.6","","","","","","16.4","94","8","W","9","","","","","","",""
"","2016-03-26","12.3","21.8","0","","","","","","15.1","80","0","NW","9","","","","","","",""
"","2016-03-27","13.9","18.4","0.8","","","","","","14.4","97","8","W","9","","","","","","",""
"","2016-03-28","13.9","17.4","0","","","","","","14.2","82","8"," ","Calm","","","","","","",""
"","2016-03-29","13.7","17.1","0.6","","","","","","14.0","99","8"," ","Calm","","","","","","",""
"","2016-03-30","13.6","15.9","10.4","","","","","","13.7","100","8","W","22","","","","","","",""
"","2016-03-31","13.0","21.8","12.9","","","","","","13.6","81","0","NW","13","","","","","","",""
